Company Name,Job Title,Location,Country,Job Description,Salary Estimate,Avg Salary,Size,Industry,Sector,Revenue,Rating,Recommend,CEO,Benefits,Opportunities,Comp Benefits,Culture,Management,WorkLife Balance,Pros,Cons,Num Listings,Reviews URL,Benefits URL
"Visa
4.1",Data Scientist - Manager,Buenos Aires,Argentina,"Company Description

As the world's leader in digital payments technology, Visa's mission is to connect the world through the most creative, reliable, and secure payment network - enabling individuals, businesses, and economies to thrive. Our advanced global processing network, VisaNet, provides secure and reliable payments around the world, and is capable of handling more than 65,000 transaction messages a second. The company's dedication to innovation drives the rapid growth of connected commerce on any device and fuels the dream of a cashless future for everyone, everywhere. As the world moves from analog to digital, Visa is applying our brand, products, people, network, and scale to reshape the future of commerce.
At Visa, your individuality fits right in. Working here gives you an opportunity to impact the world, invest in your career growth, and be part of an inclusive and diverse workplace. We are a global team of disruptors, trailblazers, innovators, and risk-takers who are helping drive economic growth in even the most remote parts of the world, creatively moving the industry forward, and doing meaningful work that brings financial literacy and digital commerce to millions of unbanked and underserved consumers.",,,Más de 10 000 empleados,Soporte informático,Tecnologías de la información,Más de $10 000 millones (USD),4.1,82 %,93 %,4.3,3.8,3.9,4.1,3.7,4.0,,,54,https://www.glassdoor.com.ar/Evaluaciones/Visa-Inc-Evaluaciones-E3035.htm,https://www.glassdoor.com.ar/Benefits/Visa-Inc-Benefits-E3035.htm
"CIDER S.A.
3.2",Data Analyst / Data Scientist,Argentina,Argentina,"Argentina, CABA - Paternal
Nos encontramos en búsqueda de Data Analyst - Data Scientist para importante empresa multinacional de telecomunicaciones.

Serán sus funciones principales: Desarrollar soluciones de Business Intelligence

Requerimos:
Desarrollo de dashboards y reportes en Power BI
Manejo de base de datos y lenguaje SQL",,,No se sabe,,,,3.2,60 %,N/A,2.0,2.9,2.9,2.5,2.4,2.6,,,54,,https://www.glassdoor.com.ar/Benefits/CIDER-Benefits-E2608216.htm
"Kunan S.A - Tu socio tecnologico
4.4",Data Scientist USA,Córdoba,Argentina,"We are looking to expand our Artificial Intelligence Team to the USA market. We are seeking ten high talented professionals in the field with at least two years of experience, aeger to learn constantly to be part of an innovative company specialized in Artificial Intelligence focused on Machine Learning. If you are someone proactive and a self - tought person this is your chance to blow up your mind. You will be part of a cross-functional team with software engineers and data scientists oriented to develope extraordinary platforms.

We are a well-known technology company based in Cordoba since 2004. As experts, we specialize in supporting organizations in the adoption and implementation of technologies. We provide agile and innovative responses to the growing and dynamic market demand. Our Head Office is located in Cordoba and we have landed in Chile since 2020 Industry 4.0 and digital transformation are revolutionizing the way value is created in all industries and this poses a great challenge for all organizations. ""We make life easier for organizations with technology"" Our technological solutions: -Conversational Virtual Assistants -Whapp (Omnichannel commercial Platform) -KunING Tech (Software Engineering) -Remote DBA (Remote Database Administration) These Tools are developed with the latest technologies such as Big data and analytics, artificial intelligence, machine learning, Software engineering and CRM.

Requisitos

Python (Advance) R (Advance), SPSS (Intermediate). Bases de Datos : Hana, Teradata, Oracle (Intermediate), Big Query (Basic). Machine Learning and AI: Keras, Tensorflow, Pythorch, Scikit-Learn (Intermediate). Frameworks: Anaconda (Advance), Jupyter Notebooks (Advance). Data Analysys and mathematical modelling: Pandas, NumPy, SciPy, Scikit-Learn (Advance). Data Visualization: Mtplotlib, Seaborn (Advance). Specific knowledge in: -Computer Vision -Image processing -Analytical and statistical techniques applied to large volumes of data -Distributed computing -Predictive processing/predictive coding -Recommendation Systems -AutoML -Deep Learning -PNL

Beneficios

3 weeks of Vaction period Work kit Day off on your birthday + birthday present. Training and certifications according to technical demands. English Training Benefits to acquire school supplies for your kids Discount for Siglo 21 University and IES Recognition and Refered Programs Udemy Training Platform Celebration and presents on special dates Club La Voz (if you live in Córdoba)",,,De 1 a 50 empleados,Soporte informático,Tecnologías de la información,Desconocido/no corresponde,4.4,100 %,N/A,4.0,3.5,3.6,4.6,4.1,4.8,,,54,https://www.glassdoor.com.ar/Evaluaciones/KUNAN-Evaluaciones-E2531452.htm,https://www.glassdoor.com.ar/Benefits/KUNAN-Benefits-E2531452.htm
"Fusemachines
3.0",Data Scientist,Buenos Aires,Argentina,"About Fusemachines
Fusemachines is a leading AI strategy, talent, and education services provider. Founded by Sameer Maskey Ph.D., Adjunct Associate Professor at Columbia University, Fusemachines has a core mission of democratizing AI. With a presence in 4 countries (Nepal, the United States, Canada, and the Dominican Republic and more than 250 full-time employees) Fusemachines seeks to bring its global expertise in AI to transform companies around the world.
Job functions
We are looking for intellectually curious, highly motivated individuals to join our Data Science & Analytics team. You will partner with our Engineering, Product, and Operations teams to identify critical issues to the business, develop a deep understanding of them, and design scalable solutions. You will leverage your quantitative and modeling skills to transform signals into insights, and insights into actions. You should have strong analytical skills, excellent communication abilities, and a knack for working across teams in a fast-paced environment.",,,De 51 a 200 empleados,Tecnologías de la información,Desconocido/no corresponde,,3.0,64 %,N/A,,3.0,2.6,3.2,2.7,3.3,,,54,,
"Tecnoap
4.1",SSR Data Scientist,Ensenada,Argentina,"Employment Information
Reference: ZR_6_JOB
Modality: Full time
Country: Argentina
City: Buenos Aires – Ensenada
Sector: Big Data & Analytics
Work experience: 1-3 years
Job Description
We are looking for passionate people on the disciplines of data analysis, statistics, machine learning algorithms, construction of predictive models, anomaly detection models and in general «data driven solutions» in the business domains managed by our organization. Management of data mining tools and programming languages such as Python, R, Rapidminer, SAS or others is required.",,,De 51 a 200 empleados,"Energía, minería e infraestructura pública",Desconocido/no corresponde,,4.1,87 %,N/A,,3.8,3.4,4.2,3.6,3.8,,,54,,
"JPMorgan Chase Bank, N.A.
3.8",Data Scientist Sr,Buenos Aires,Argentina,"Responsibilities
Converts data to actionable insights, and leverages data visualization tools to effectively tell a story
Develops advanced analytics using a limited assortment of modeling methods, algorithms and techniques, e.g., predictive modeling, text mining, statistical forecasting and analysis, optimization, and simulation modeling
Uses data analysis techniques to develop insights that lead to new recommendations presented to management
Leverages a variety of statistical and mathematical techniques and algorithms to analyze a variety of datasets to solve complex, unstructured business problems
Develops statistical models and designs controlled experiments to test ideas and validate hypotheses
Researches, develops and implements new methods of measuring and analyzing data sets and processes",,,Más de 10 000 empleados,Banca y Servicios de crédito,Finanzas,Más de $10 000 millones (USD),3.8,72 %,79 %,,3.6,3.8,3.8,3.4,3.5,,,54,https://www.glassdoor.com.ar/Evaluaciones/Chase-Evaluaciones-E690765.htm,
"Accenture
4.1",Data Science for Healthcare Research Specialist,Buenos Aires,Argentina,"Welcome!
Accenture Research is a global, award-winning team providing insights and analysis to Accenture and its clients throughout the world. Joining Accenture Research translates into continual opportunities to expand on what you can do. Our researchers come together with a wide variety of skills and backgrounds to create talented teams of problem-solvers. We hope you’ll want to join us!
About Accenture Research
Accenture Research uncovers trends and shape data-driven insights through market research and business intelligence for Accenture and its clients. Accenture Research combines deep understanding of Accenture clients’ industries with leading-edge research techniques to discover the most pressing issues facing organizations today.",,,Más de 10 000 empleados,Consultorías empresariales,Administración y consultoría,Más de $10 000 millones (USD),4.1,86 %,93 %,4.3,4.0,3.7,4.1,3.7,3.6,,,54,https://www.glassdoor.com.ar/Evaluaciones/Accenture-Evaluaciones-E4138.htm,https://www.glassdoor.com.ar/Benefits/Accenture-Benefits-E4138.htm
"Rootstrap
4.6",Data Scientist - Ssr,Buenos Aires,Argentina,"The Semi Senior Data Scientist will be part of the design, training, and execution of data models, working independently with little support from more experienced members of the team.
They also participate in curating datasets, cleaning and preparing data, as well as measuring models’ performance, collaborating with Data Engineers to comprehend the whole ML/Data pipeline.
The main objective of this role is to develop well-designed data models that could be used for recommended systems, classifiers, computer vision applications, virtual assistants, translation apps, chatbots, etc, while also sharing their knowledge with less experienced members.

What are the main responsibilities of this role?
Identify potential in existing data models to solve business problems.",,,No se sabe,Tecnologías de la información,Desconocido/no corresponde,,4.6,99 %,N/A,,4.2,4.2,4.6,4.2,4.4,,,54,https://www.glassdoor.com.ar/Evaluaciones/Rootstrap-Evaluaciones-E2062227.htm,
"Equifax
3.9",Data Analyst - USIS,Buenos Aires,Argentina,"Equifax is where you can power your possible. If you want to achieve your true potential, chart new paths, develop new skills, collaborate with bright minds, and make a meaningful impact, we want to hear from you.

Work directly with Data and Analytics professionals, IT, Sales, and customers to design, document, test, and support the construction of internal and customer facing Data Visual solutions that tell the desired insights story. Follow existing strategies, standards and best practices in the areas of data visualization, data access and data integration within Equifax’s new big data analytical platforms. Create beautiful and informative presentation-ready visualizations and analyses for internal or external clients using Spotfire and/or other open source visualization technologies. Build wireframes and mock-ups of dashboards and reports as needed to communicate visualization/functionality internally and to clients
What you’ll do",,,Más de 10 000 empleados,Investigación y desarrollo,Administración y consultoría,De $1000 a $5000 millones (USD),3.9,75 %,86 %,3.8,3.8,3.8,3.8,3.6,3.9,,,54,https://www.glassdoor.com.ar/Evaluaciones/Equifax-Evaluaciones-E232.htm,https://www.glassdoor.com.ar/Benefits/Equifax-Benefits-E232.htm
"IQVIA
4.0",Sr Lab Data Analyst,Buenos Aires,Argentina,"JOB OVERVIEW
Responsibilities:
Identification of the database set up and programming gaps and solves issues through using the global issue escalation/communication policy
Understanding and verification of error logs generated by various systems and SAS programs and communicate effectively to the programming/support team to resolve if any issues in the Data Transmission
Independently, create and/or review new SAS programs created according to requirements and maintain proper documentation
Capable of taking up, independently or providing inputs for, SAS programming activities pertaining to ongoing study requirements or any other adhoc projects in the department",,,Más de 10 000 empleados,Biotecnología e industria farmacéutica,Farmacéutica y biotecnología,Más de $10 000 millones (USD),4.0,83 %,89 %,3.6,3.9,3.6,4.0,3.6,3.7,,,54,https://www.glassdoor.com.ar/Evaluaciones/IQVIA-Evaluaciones-E8347.htm,https://www.glassdoor.com.ar/Benefits/IQVIA-Benefits-E8347.htm
"Microsoft
4.4",Customer Success Account Manager,Buenos Aires,Argentina,"Microsoft is on a mission to empower every person and every organization on the planet to achieve more. Our culture is centered on embracing a growth mindset, a theme of inspiring excellence, and encouraging teams and leaders to bring their best each day. In doing so, we create life-changing innovations that impact billions of lives around the world. You can help us to achieve our mission.

Customer Success: Microsoft aspires to help our customers achieve their own digital transformation, leveraging the power of Microsoft Cloud solutions and support offerings. To this end, Microsoft invests in a dedicated Customer Success team that will help Microsoft customers successfully realize their business outcomes.
Responsibilities
As a Customer Success Account Manager, you are the primary customer facing role responsible for customer success through the management of program deliveries and strong customer relationships. The prevailing business priority is the customers successful adoption and productive use of Microsoft cloud technologies. You are front and center with our customers supporting their digital journey and empowering them to achieve more!",,,Más de 10 000 empleados,Desarrollo de equipos informáticos,Tecnologías de la información,Más de $10 000 millones (USD),4.4,91 %,97 %,4.3,4.2,4.1,4.4,4.1,4.2,,,54,https://www.glassdoor.com.ar/Evaluaciones/Microsoft-Evaluaciones-E1651.htm,https://www.glassdoor.com.ar/Benefits/Microsoft-Benefits-E1651.htm
"Equifax
3.9",Data Scientist Intermediate,Buenos Aires,Argentina,"Equifax is looking for an experienced Data Scientist, who will be responsible for attributes development, testing, and delivery with Python in our technical environment, leveraging advanced data and analytical methodologies, AI, ML/DL to design and deliver attributes bundles based on use cases.
This individual is also capable of data delivery, design of data structures (AVRO schema), and processes balancing immediate deliverables with future reusability, while evangelizing best practices for data solution architecture. This individual will promote a culture of creativity, problem-solving, experimentation, innovation, and execution. The ability to be detail-oriented, highly organized, and priority-driven are a must in order to be successful in this fast-paced environment.

What You’ll Do
Be a part of the Attributes Development team that works closely with cross-functional teams across D&A and technology within the organization.",,,Más de 10 000 empleados,Investigación y desarrollo,Administración y consultoría,De $1000 a $5000 millones (USD),3.9,75 %,86 %,3.8,3.8,3.8,3.8,3.6,3.9,,,54,https://www.glassdoor.com.ar/Evaluaciones/Equifax-Evaluaciones-E232.htm,https://www.glassdoor.com.ar/Benefits/Equifax-Benefits-E232.htm
"Equifax
3.9",Data Scientist Senior - Innovación,Buenos Aires,Argentina,"Equifax is looking for an experienced Data Scientist, who will be responsible for attributes development, testing, and delivery with Python in our technical environment, leveraging advanced data and analytical methodologies, AI, ML/DL to design and deliver attributes bundles based on use cases.
This individual is also capable of data delivery, design of data structures (AVRO schema), and processes balancing immediate deliverables with future reusability, while evangelizing best practices for data solution architecture. This individual will promote a culture of creativity, problem-solving, experimentation, innovation, and execution. The ability to be detail-oriented, highly organized, and priority-driven are a must in order to be successful in this fast-paced environment.

What You’ll Do
Be a part of the Attributes Development team that works closely with cross-functional teams across D&A and technology within the organization.",,,Más de 10 000 empleados,Investigación y desarrollo,Administración y consultoría,De $1000 a $5000 millones (USD),3.9,75 %,86 %,3.8,3.8,3.8,3.8,3.6,3.9,,,54,https://www.glassdoor.com.ar/Evaluaciones/Equifax-Evaluaciones-E232.htm,https://www.glassdoor.com.ar/Benefits/Equifax-Benefits-E232.htm
