Company Name,Job Title,Location,Country,Job Description,Salary Estimate,Avg Salary,Size,Industry,Sector,Revenue,Rating,Recommend,CEO,Benefits,Opportunities,Comp Benefits,Culture,Management,WorkLife Balance,Pros,Cons,Num Listings,Reviews URL,Benefits URL
"BASF Belgium Coordination Center Comm.V.
4.1",Data Scientist - Gene Discovery (Bioinformatics),Gand,Belgique (French),"We are looking for a proactive, enthusiastic, and innovative Scientist for the 'Gene Discovery' group of BASF Seed and Traits R&D (Research & Development), located in the Innovation Centre, Gent. The Gene Discovery group is part of a modern Trait Research department that focuses on the discovery, design, engineering, and testing of important crop plants and/or microbe traits.
Key responsibilities are the generation and analysis of a diverse suite of cutting-edge 'omics-related data sets to drive the discovery of new lead genes and gene variants for important traits of interest.
RESPONSIBILITIES

The data scientist leads, designs, implements, and oversees data analysis activities within different research programs, providing high quality conclusions in consultation with a Program Leader. You will be an essential member of multi-disciplinary functional teams and actively participate in the entire discovery process through frequent interactions with biologists, biostatisticians, group- and program leads. The successful candidate will also be part of our Data Scientists community within Trait Research, which is dedicated to bioinformatics and data analysis as part of the research pipeline.

What you can expect:









Because we are counting on innovative solutions, on sustainable actions, and on connected thinking. And on you. Become a part of our formula for success and develop the future with us - in a global team that embraces diversity and equal opportunities irrespective of gender, age, origin, sexual orientation, disability or belief.

Please note that we do not return paper applications including folders. Please submit copies only and no original documents.

Please upload the documents, summarized in a PDF if possible.",36 k € - 96 k € (Estimation de l'employeur),,Plus de 10.000 employés,Production chimique,Industrie manufacturière,Plus de 10 milliards de dollars US,4.1,86 %,94 %,4.3,3.7,4.0,4.0,3.6,3.8,,,232,https://fr.glassdoor.be/Avis/BASF-Avis-E4231.htm,https://fr.glassdoor.be/Benefits/BASF-Benefits-E4231.htm
"AMA European Consulting
5.0",Data Scientist,Saint-Gilles,Belgique (French),"Strong interpersonal skills required
Data Science & programming: Python, R, SQL, SAS, Java or similar
Data Visualization & Reporting: Tableau, Power BI, Qlik or similar
Data Manipulation & Analytics: Alteryx, KNIME, RapidMiner or similar
Data Warehousing: SQL Server, Snowflake, Azure, AWS Redshift, Google Big Query, SAP or similar
Data Integration: Databricks, Talend, SSIS, Pentaho, Informatica or similar
Job Types: Full-time, Freelance
Schedule:",36 k € - 96 k € (Estimation de l'employeur),,Inconnu,,,,5.0,100 %,N/A,,5.0,4.0,5.0,4.0,4.0,,,232,,
Toqua,Data Scientist,Gand,Belgique (French),"Do you want to build an innovative product with a positive climate impact?
Then Toqua is the right place for you.
Toqua is a fast-growing, award-winning AI start-up based in Ghent, Belgium.
We reduce emissions at a global scale, by bringing the fuel-saving potential of Machine Learning to shipping. Our goal is to deliver cutting-edge Machine Learning to the whole industry through APIs, accelerating the decarbonization of shipping.
Toqua consists of a young & dynamic team that values ideas over hierarchy.
We’re convinced work should be a place of permanent learning that lifts up yourself and those around you. Most importantly, we believe job satisfaction comes from working on something you care about.
Job Description",36 k € - 96 k € (Estimation de l'employeur),66,,,,,,,,,,,,,,,,232,,
"Dedalus SA
3.5",Data Scientist,Gand,Belgique (French),"Fondée à Florence (Italie) en 1982, Dedalus est le principal fournisseur de logiciels de santé et de diagnostic en Europe et l'un des plus importants au monde. La structure de l'actionnariat assure stabilité et grande capacité financière grâce à la présence d'Ardian, la plus grande société d'investissement privée en Europe et la quatrième dans le monde. Dedalus Group aide à la transformation numérique de 6 100 hôpitaux et 5 300 laboratoires dans le monde, en prenant en charge la gestion des soins de plus de 330 millions de patients. Nous employons plus de 6 000 personnes dont plus de 2 000 représentent la plus grande équipe de logiciels de R&D du secteur en Europe. Nous sommes présents dans plus de 40 pays différents à travers le monde, offrant une opportunité unique de travailler dans un environnement multiculturel et très dynamique.

Data Scientist",36 k € - 96 k € (Estimation de l'employeur),,Entre 1.001 et 5.000 employés,Développement de logiciels,Informatique,Ne sait pas / non applicable,3.5,63 %,85 %,,3.0,3.1,3.3,3.3,3.7,,,232,https://fr.glassdoor.be/Avis/Dedalus-Avis-E1142991.htm,
"Ex Libris
4.0",Data Scientist (remote) - Search & Analytics,Anvers,Belgique (French),"We are looking for a Data Scientist to join our Search and Analytics team. Search and Analytics is a central technology team at Clarivate that develops best in class algorithmic services and search platforms for our products to enable differentiated capabilities. We take pride in innovating on behalf of our customers and delivering value to the business.
As a Data scientist you will be part of driven group doing applied research work and identifying ML methods that could be used to solve the different problems faced by our business units and implement the solutions which will help optimize the systems and help the company to innovate.
Location: This position can be based in US, Canada or EU countries where we operate
About You – experience, education, skills, and accomplishments
Bachelor's degree in Computer Science, Statistics, Technology, or Engineering, strongly preferred, or equivalent work experience.
Minimum 3-5 years proven track record in the application of ML and NLP",36 k € - 96 k € (Estimation de l'employeur),,De 1 à 50 employés,Informatique,Entre 1 et 5 millions de dollars US,,3.9,75 %,92 %,,3.5,2.9,3.9,3.7,4.0,,,232,,
"AppTweak
4.8",Junior Data Scientist,Belgique,Belgique (French),"We are looking for a passionate Junior Data Scientist, with or without experience, to join our second-stage rocket ship!

As a data scientist, you are at the origin of our next product features. You’ll join an R&D team of data scientists who work hand-in-hand with the Product team, developers, and ASO Experts to build machine learning and statistical algorithms that empower our software. Our projects cover most of the standard spectrum of data science from classifiers and regressors on tabular data, to natural language processing, outliers detection in time series, or even computer vision. Our sector moves fast, and so do we: we remain on the cutting edge. These new features will be used by over 1500 customers worldwide, including mobile leaders like Paypal, Warner Bros, Expedia, Electronic Arts, etc.

You’ll join an R&D team of 4 data scientists, you report to our head of Data Science and weekly sync with the CEO, CTO and CPO.",36 k € - 96 k € (Estimation de l'employeur),,De 51 à 200 employés,Services web,Informatique,Entre 5 et 25 millions de dollars US,4.8,89 %,100 %,4.0,4.0,3.7,4.9,4.5,4.3,,,232,,https://fr.glassdoor.be/Benefits/AppTweak-Benefits-E2955944.htm
"TechWolf BV
4.9",Data Scientist,Gand,Belgique (French),"TechWolf empowers people to thrive at work. Every day, hundreds of people use our AI-driven Skills Intelligence to identify people’s skills and to better connect employees with projects, learning opportunities and career moves.

All of this begins with our team. We’re committed to our work, having fun, bringing a disruptive product into the world and most importantly to each other’s success.

A large part of the value we deliver originates from the diverse and complex customer data we work with, and we’re looking for a Data Scientist to join our customer-focused engineering team. In this role, you will dig deep into enterprise datasets, will build scalable approaches to derive valuable insights and will take part in the Working closely with the Product and Customer Solutions team, you can impact both projects for specific customers and product development tracks affecting our entire customer base.",36 k € - 96 k € (Estimation de l'employeur),,De 1 à 50 employés,Solutions logicielles et réseau d''entreprise,Informatique,Ne sait pas / non applicable,4.9,100 %,N/A,,4.9,4.9,5.0,5.0,4.2,,,232,https://fr.glassdoor.be/Avis/TechWolf-Avis-E6153911.htm,
CIRB,Data Scientist,Bruxelles,Belgique (French),"Le Centre d’Informatique pour la Région Bruxelloise (CIRB) est le leader de la transition numérique à Bruxelles. Nous accompagnons nos clients – les institutions publiques bruxelloises – dans leur parcours digital.
Ainsi, pour offrir aux Bruxellois une Région durable, ouverte sur le monde et à l’économie dynamique, nous mutualisons des technologies de pointe en matière d’infrastructures, de plateformes et de services ICT.
Nos collaborateurs constituent notre première ressource pour relever ces défis.
Plus de 550 collègues enthousiastes vous attendent au CIRB, au cœur même de Bruxelles. La satisfaction de nos clients est au centre de nos préoccupations. Être orienté solutions est notre mantra. Qui va de pair avec le plaisir de travailler en équipe et notre attachement à équilibrer vie professionnelle et vie privée.
Envie de rejoindre une organisation où la connectivité se vit en mode numérique et social ? Envoyez-nous votre candidature dès maintenant !",36 k € - 96 k € (Estimation de l'employeur),,Inconnu,,,,,,,,,,,,,,,232,,
"KPMG
4.1",Data Scientist,Zaventem,Belgique (French),"Advisory - Advisor
Location
Zaventem HQ
Roles & Responsibilities

In a world where stakeholders are consistently expected to provide more diverse digital experiences, data scientists are continuously challenged – to work is to grow. The KPMG Lighthouse is currently looking for talents in the field of data science, people who are able to exploit data to create smart digital solutions, but who are also able to inspire about the art of the possible. The tasks of a data scientist are diverse, and we are not looking for the unicorn data scientist, but a mindset focused on learning on the job is vital!",36 k € - 96 k € (Estimation de l'employeur),,Entre 1.001 et 5.000 employés,Management et conseil aux entreprises,Entre 25 et 100 millions de dollars US,,4.0,82 %,91 %,,4.2,3.6,4.1,3.8,3.3,,,232,,
"Luminus
4.0",Generation Data Scientist – AI/ML expert,Seraing,Belgique (French),"Mission
Striving for operational excellence through continuous improvement of existing processes and implementation of new, innovative techniques are one of the core pillars of the Generation department. It goes without saying that power plant data plays a central role in our organization.
We are looking for a dynamic, motivated and energetic colleague who is passioned by Artificial intelligence and machine learning to support Generation by developing and optimizing tools (algorithms, monitoring- and reporting tools) and to maintain the quality of the data. You will be working closely with Generation experts to develop value generating algorithms in order to improve performances (reliability, availability, efficiency, output) of our production assets and to roll-out these digital tools. You work closely together with technical key players in the generation department and with the IT department.
Tasks, responsibilities",36 k € - 96 k € (Estimation de l'employeur),,Entre 1.001 et 5.000 employés,Énergie et exploitation des ressources naturelles,Ne sait pas / non applicable,,4.0,80 %,N/A,4.5,3.5,3.7,3.8,3.5,4.0,,,232,,https://fr.glassdoor.be/Benefits/Luminus-Benefits-E1673549.htm
