Company Name,Job Title,Location,Country,Job Description,Salary Estimate,Avg Salary,Size,Industry,Sector,Revenue,Rating,Recommend,CEO,Benefits,Opportunities,Comp Benefits,Culture,Management,WorkLife Balance,Pros,Cons,Num Listings,Reviews URL,Benefits URL
"Lima Consulting Group, LLC
4.3",Data Scientist (Brasil: Remoto),Trabalho remoto,Brasil,"Somos a Lima Consulting, apaixonados por dados e tecnologia, estamos revolucionando a transformação digital no Brasil, conectando as empresas aos melhores resultados para os seus negócios.
Estamos em um estágio de crescimento, buscando pessoas incríveis para se juntar ao #teamLima.
Somos uma empresa de oportunidades iguais. Não discriminamos com base em raça, religião, cor, nacionalidade, gênero, orientação sexual, idade, estado civil ou deficiência.
Quer se juntar ao tempo de Martech mais inovador do mercado? Vem pra LIMA!
O que esperamos de você
Postura mão na massa para contribuir na construção de soluções para nossos clientes;
ativa Participação em um tempo multidisciplinar (squad/tribo);
Compartilhamento de conhecimento com os colegas;",,,De 1 a 50 funcionários,Menos de US$ 1 milhão,,,4.4,93 %,,5.0,4.0,3.8,4.4,4.2,4.2,,,73,,https://www.glassdoor.com.br/Benefits/Lima-Consulting-Group-Benefits-E964053.htm
"Streetbees
3.4",Data Scientist,Trabalho remoto,Brasil,"Streetbees is a market intelligence platform that gathers in-the-moment qualitative behavioural data at a quantitative scale directly from consumers, in their own words.
Unilever, Mars, PepsiCo, Sony Pictures, Carlsberg, Ikea, Vodafone, L’Oreal and other market leading brands use Streetbees consumer data insights to unlock growth.
Streetbees platform is powered by data from 4.5 million bees, across 190 countries and 2.5 billion data points.
We’re looking to add a Data Scientist to our Machine Learning team in a revenue critical team, working alongside Market Research strategists - to help them deliver insights for our clients about how they can improve their products, or new products that they should consider launching, developing new tools and improving existing ones, to deliver excellence to our clients.
We are looking for someone who is passionate about turning the raw material of data into advanced insights that will guide the future of brands that many millions of people use in their daily lives, and working with the latest in machine learning to extract insights not possible before using traditional analytics. If you are excited by the idea of applying the latest in machine learning to disrupt an industry, defining what will become the new normal but doesn’t exist today, then this could be for you.",,,De 51 a 200 funcionários,Pesquisa e desenvolvimento,Gerenciamento e consultoria,Desconhecido/Não se aplica,3.4,56 %,,,3.5,3.4,3.5,3.1,3.3,,,73,,
"4flow
4.2",Junior Data Scientist,Campinas,Brasil,"What can you expect from us?
As part of the 4flow management team, you will automate and improve logistics processes using artificial intelligence. In particular, you will take on the following tasks:
Analysis and evaluation of large and complex amounts of data (Data Science, Data Base and Big Data)
Perform data maintenance, adjustments and improvements
Support in the development of digital solutions for use by our customers
Identification of potential for the automation and optimization of logistics processes
Development and implementation of various optimization models using machine learning and statistical methods
That's why you're a good fit for us:",,,De 1.001 a 5.000 funcionários,Consultoria empresarial,Gerenciamento e consultoria,De US$ 25 a US$ 100 milhões,4.2,86 %,,4.7,4.1,3.5,4.4,4.1,4.0,,,73,https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/4flow-Avalia%C3%A7%C3%B5es-E948354.htm,https://www.glassdoor.com.br/Benefits/4flow-Benefits-E948354.htm
"HP
4.2",Machine Learning Data Scientist,Porto Alegre,Brasil,"At HP, we believe in the power of ideas. Our vision is to create technology that makes life better for everyone, everywhere — every person, every organization, and every community around the globe. This motivates us — inspires us — to do what we do. To make what we make. To invent, and to reinvent. To engineer experiences that amaze.
In the Transformation Organization (TO), we are looking for visionaries who are willing to push boundaries to help us rewrite the rules for HP Inc . The TO will accelerate transformation through embracing agile new ways of working, investing in the digital literacy of our workforce, and using the power of data, AI, automation, and robotics to extract cost and complexity from across our business.
The Enterprise Business Planning program is transforming how HP does enterprise-wide planning and forecasting, from WW LTP to weekly account planning in countries. This effort is multi-dimensional in nature, including (1) elements of organizational design, (2) process redesign, (3) applying sophisticated technology and application tools, and (4) leading advanced change management techniques to deliver the full value of large-scale transformation.",,,Mais de 10.000 funcionários,Desenvolvimento de hardware,Tecnologia da informação,Desconhecido/Não se aplica,4.2,87 %,,4.0,3.8,3.7,4.4,3.9,4.2,,,73,https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/HP-Inc-Avalia%C3%A7%C3%B5es-E1093161.htm,https://www.glassdoor.com.br/Benefits/HP-Inc-Benefits-E1093161.htm
"Samsung Electronics
3.6",Data Science Intern,Campinas,Brasil,"Position Summary
SRBR AI team is looking for interns to help our team to generate innovative health features for Samsung wearable and mobile devices. The interns will have opportunity to work with experienced data scientists, machine learning and AI specialists and to contribute to projects that can cause impact to millions of people worldwide.
The interns can contribute to activities related to data analysis, signal processing, data processing, design of experiments and many others.
Role and Responsibilities
Main responsibilities:
1. Define and specify data analysis target and support modeling/verification/test/application.
2. Research and support the insight and data preparation to support AI R&D projects (innovative algorithms, datasets, pipelines, etc).
3. Contribute to data gathering and processing techniques and to perform exploratory data analysis
4. Contribute to define and experiment signal processing techniques
5. Contribute to design and evaluate feature extraction techniques and machine learning models",,,De 1.001 a 5.000 funcionários,Desenvolvimento de hardware,Tecnologia da informação,Mais de US$ 10 bilhões,3.6,59 %,,3.8,3.3,3.8,3.1,3.0,2.9,,,73,https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/Samsung-Electronics-America-Avalia%C3%A7%C3%B5es-E4206.htm,https://www.glassdoor.com.br/Benefits/Samsung-Electronics-America-Benefits-E4206.htm
"Oxitec
3.3",Research & Development Assistant,Campinas,Brasil,"Our Mission
Oxitec’s mission is to save lives and improve livelihoods by developing safe, highly-effective biologically-engineered solutions to control disease-transmitting and crop-destroying insects globally.
To do our work, we leverage our world-class team of scientists, engineers, public health and agricultural experts, entrepreneurs, community engagement experts and others to build safe, targeted, sustainable and highly effective genetically modified insect technologies that can be applied in the fields of public health and food security.
We do our work with a commitment to safety, effectiveness, scientific integrity, and transparency, making Oxitec’s technologies one of the largest self-limiting insect platforms in the world. Oxitec’s technology has been studied and analyzed by independent researchers, academics and independent collaborators for more than a decade, with more than 100 scientific, peer-reviewed papers published on our work. You can find a sample of the growing body of scientific evidence here .",,,De 201 a 500 funcionários,Biotecnologia e farmacêutica,Farmacêutica e biotecnologia,De US$ 1 a US$ 5 milhões,3.3,59 %,,2.5,2.9,3.3,3.4,3.1,3.2,,,73,https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/Oxitec-Avalia%C3%A7%C3%B5es-E676455.htm,https://www.glassdoor.com.br/Benefits/Oxitec-Benefits-E676455.htm
"IBM
4.3",4Q Associates Program - IBM Consulting Internship,Hortolândia,Brasil,"Introdução
Na IBM, o trabalho é mais que uma tarefa. É um chamado para construir. Para projetar. Para codificar. Para consultar. Para pensar junto com os clientes e vender. Para construir mercados. Para inventar. Para colaborar. Não apenas para fazer algo melhor, mas para tentar coisas que você nunca imaginou serem possíveis. Para liderar nesta nova era da tecnologia e resolver alguns dos problemas mais desafiadores do mundo.

Seu papel e responsabilidades
Unleash your potential - for our clients and your career

Joining IBM Services as an Associate offers you an opportunity to work on client teams, using technologies to
help business transform the way they work.

As an Associate, you'll develop relevant skills and quickly gain meaningful experience. Your network of experts
and mentors will provide career coaching and experience with leading technology, while you solve clients' most
challenging problems with future-defining solutions.


You are a great thinker - and you are passionate about making change. Develop these great ideas for customer
and help define how companies interact with the world. Combine your expertise and your business and
technical interests to help transform global companies.


You understand that a business strategy is data driven. After all, a cognitive business is a thinking business.
Analyze data and forecast trends to make relevant recommendations to customers, using cognitive tools to
research and analyze data.


By providing guidance, you are building on your experience. Understanding the user is an art (combined with a
lot of research), and you never tire of making interactions. As an Associate Designer for IBM customers, you
will focus on customer needs and creating world-class digital experiences.


When you create and perform interactions, you solve problems, whether it's just fixing a bug or creating an
application that changes the way how we live. Take on variety of activities: high-performance design,
development and maintenance, and scalability of databases and server applications.


You are not scared of complex scenarios. You are innovative and want to make a difference using technology.
Join us as an Expert Associate Technician to gain specialized skills in technology products or industry
solutions that will enable you to design, create and build the infrastructure our customers need to reinvent their
business.

Discover more:


To be enrolled in a higher education course related to technology, such as: Engineering (Computing, Control
and Automation, Electrical, Industrial, Mechatronics, Civil, Materials, Production, Telecommunications,
Mechanical, Metallurgical, Physics), Computer Science, Information Systems, Computer Electronics and
Telecommunications, Programming and System Analysis, Security, Database Technology, Software
Development, Math and Statistics, Network Administration, Web Development, Big Data or Artificial
Intelligence.
Graduation predicted to at least the end of 2021, 2022 (for technologist courses you can enroll from the 3rd
semester).
Intermediate English
Availability to work 6 hours daily: from 9am to 3pm.
Studying at night or availability for changing.


We're looking for passionate, original thinkers who want to drive progress, grow their network and further their
careers. If you see yourself as someone who never stops learning, who believes no problem is too big to solve,
and who wants to unleash your potential, IBM services is for you.",,,Mais de 10.000 funcionários,Serviços de apoio à tecnologia da informação,Tecnologia da informação,Mais de US$ 10 bilhões,4.3,90 %,,4.2,4.0,3.8,4.4,3.8,3.9,,,73,https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/IBM-Avalia%C3%A7%C3%B5es-E354.htm,https://www.glassdoor.com.br/Benefits/IBM-Benefits-E354.htm
"Uber
4.2","Data Scientist / Data Analyst, Safety",Osasco,Brasil,"About the Team
The Safety and Insurance Data Science team provides insights and analytical solutions that are timely, accurate, and actionable to drive safety and deliver insurance. We partner closely with a highly cross-functional team including product management, engineering, operations, and policy teams to make the Uber platform as safe as possible through new products and policies.
What You'll Do
Refine ambiguous questions and generate new hypotheses about the product through a deep understanding of the data, our customers, and our business
Design experiments and interpret results to draw detailed and impactful conclusions.",,,Mais de 10.000 funcionários,Internet e serviços Web,Tecnologia da informação,Mais de US$ 10 bilhões,4.2,79 %,,4.4,3.5,3.9,3.9,3.5,3.6,,,73,https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/Uber-Avalia%C3%A7%C3%B5es-E575263.htm,https://www.glassdoor.com.br/Benefits/Uber-Benefits-E575263.htm
"Experian
4.6",Senior Data Scientist,São Paulo,Brasil,"Descrição da empresa

Um dos nossos objetivos é sermos reconhecidos como uma companhia ágil, voltada a tecnologia e inovação. Portanto, acreditamos que trabalhar conectados como um time único e em um ambiente dinâmico e desafiador é extremamente importante para o crescimento pessoal e profissional dos nossos colaboradores. Para isso, buscamos pessoas engajadas e comprometidas com o nosso propósito, que se adaptem facilmente às contínuas mudanças e mantenham as atitudes positivas, mesmo em circunstâncias desafiadoras.

Descrição da vaga

Unidade de Negócio / Vice Presidência: DataLab
Data Science",,,Mais de 10.000 funcionários,Pesquisa e desenvolvimento,Gerenciamento e consultoria,De US$ 1 a US$ 5 bilhões,4.6,92 %,,4.1,4.3,4.3,4.5,4.3,4.4,,,73,https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/Experian-Avalia%C3%A7%C3%B5es-E42406.htm,https://www.glassdoor.com.br/Benefits/Experian-Benefits-E42406.htm
"Ascential
3.8",Data Scientist Specialist,São Paulo,Brasil,"Fortes habilidades de análise de dados e a capacidade de transformar dados em insights para apoiar decisões de negócios;
Pensador(a) estratégico(a) com habilidades de resolução de problemas através de soluções precisas para melhorar o serviço e a experiência de nossos clientes;
Excelente comunicação verbal e escrita para apresentações e comunicação com clientes e também para relacionamento com áreas internas.
Capacidade de trabalhar de forma eficaz em um ambiente dinâmico e em rápida mudança.
Conhecimento Avançado em Excel e Power Point (ou Google Sheets e Slides)
Se possível conhecimento em PBI
Experiência em empresas de tecnologia ou e-commerce é desejável;",,,De 1.001 a 5.000 funcionários,Internet e serviços Web,Tecnologia da informação,De US$ 100 a US$ 500 milhões,3.8,65 %,,,3.5,3.6,3.7,3.6,4.1,,,73,https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/Ascential-Avalia%C3%A7%C3%B5es-E750255.htm,
