Company Name,Job Title,Location,Country,Job Description,Salary Estimate,Avg Salary,Size,Industry,Sector,Revenue,Rating,Recommend,CEO,Benefits,Opportunities,Comp Benefits,Culture,Management,WorkLife Balance,Pros,Cons,Num Listings,Reviews URL,Benefits URL
"Drax
3.6",Data Scientist,Vancouver,Canada (English),"Data Scientist

At Drax we are working towards a zero-carbon, sustainable future and you can help make this future a reality.
If you are a strong communicator who is strategic, technical and who values quality, then the Data Scientist position maybe your next best move.

So, what will you be doing?

You will further the knowledge base of Drax Group with exploratory and iterative data science programmes.",$88K - $109K (Glassdoor Est.),"$97,824",1001 to 5000 Employees,Energy & Utilities,"Energy, Mining, Utilities",$2 to $5 billion (USD),3.6,74 %,86 %,,3.3,3.7,3.6,3.3,3.7,,,620,https://www.glassdoor.ca/Reviews/Drax-Reviews-E37485.htm,
"Desjardins
4.2",Data Scientist,Montreal,Canada (English),"At Desjardins, we believe in equity, diversity and inclusion. We're committed to welcoming, respecting and valuing people for who they are as individuals, learning from their differences, embracing their uniqueness, and providing a positive workplace for all. At Desjardins, we have zero tolerance for discrimination of any kind. We believe our teams should reflect the diversity of the members, clients and communities we serve.
If there's something we can do to help make the recruitment process or the job you're applying for more accessible, let us know. We can provide accommodations at any stage in the recruitment process. Just ask!
Being a data scientist at Desjardins means having the drive to develop a passion for data models, machine learning concepts and quantitative fields (mathematics, finance, actuarial science, statistics, etc.).
We develop and train a wide variety of predictive and prescriptive models so we can do what's best for our members and clients.
Thanks to the models developed to measure the impact of interest rates and inflation, and even various analyses like spatial analyses, we can measure the natural disaster risks that our members and clients could face. Other initiatives focus on risk quantification and customer loyalty models.
The data scientist teams at Desjardins play a strategic role in the organization.",$88K - $109K (Glassdoor Est.),,10000+ Employees,Banking & Lending,Finance,$25 to $50 million (USD),4.2,87 %,94 %,4.1,4.0,3.9,4.3,3.9,4.2,,,620,https://www.glassdoor.ca/Reviews/Desjardins-Reviews-E7822.htm,https://www.glassdoor.ca/Benefits/Desjardins-Benefits-E7822.htm
"Loblaw Companies Limited
3.6",Data Scientist Coop,Brampton,Canada (English),"Referred applicants should not apply directly to this role.
All referred applicants must first be submitted through Workday by a current Loblaw Colleague.
Location:
1 Presidents Choice Circle, Brampton, Ontario, L6Y 5S5
At Loblaw, we help millions of Canadians get through their best days, worst days, celebration days, and every day. Through our innovation and quality products, we’re here for our friends, neighbours, family members and colleagues.

We succeed through collaboration and commitment and set a high bar for ourselves and those around us.

We’re looking for adaptable people who are thrilled to join us in our goal of helping Canadians Live Life Well®. Whether you are just starting your career, re-entering the workforce, or looking for a new job, this is where you belong. We promote leaders at every level and support our people to follow their passion.
Term Length: 8 months
Term Start: January 9th, 2023
Term End: August 25th, 2023


Full time
Temporary (Fixed Term)",$88K - $109K (Glassdoor Est.),"$107,716",10000+ Employees,Retail & Wholesale,$10+ billion (USD),,3.6,67 %,71 %,3.5,3.4,3.2,3.5,3.2,3.4,,,620,https://www.glassdoor.ca/Reviews/Loblaw-Companies-Reviews-E4141.htm,https://www.glassdoor.ca/Benefits/Loblaw-Companies-Benefits-E4141.htm
"FPT Software
3.9",Machine Learning Engineer,Remote,Canada (English),"Responsibility
Refactor prototypes of predictive models into highly performant, production ready solutions
Work closely with Data Engineers and Data Scientists to create analytical variables, metrics, and models
Work closely with data scientists to solve difficult engineering and machine learning problems and produce high-quality code
Choose and use the right analytical libraries, programming languages, and frameworks for each task
Contribute to building client capabilities by coaching team members on data science methodologies and approaches
Contribute to best coding and engineering practice across AI projects",$88K - $109K (Glassdoor Est.),,10000+ Employees,Information Technology Support Services,Information Technology,$500 million to $1 billion (USD),3.9,80 %,84 %,,3.9,3.4,3.8,3.6,3.6,,,620,,
"Loblaw Companies Limited
3.6","Data Science, Co-op",Brampton,Canada (English),"Referred applicants should not apply directly to this role.
All referred applicants must first be submitted through Workday by a current Loblaw Colleague.
Location:
1 Presidents Choice Circle, Brampton, Ontario, L6Y 5S5
At Loblaw, we help millions of Canadians get through their best days, worst days, celebration days, and every day. Through our innovation and quality products, we’re here for our friends, neighbours, family members and colleagues.

We succeed through collaboration and commitment and set a high bar for ourselves and those around us.

We’re looking for adaptable people who are thrilled to join us in our goal of helping Canadians Live Life Well®. Whether you are just starting your career, re-entering the workforce, or looking for a new job, this is where you belong. We promote leaders at every level and support our people to follow their passion.
Term Length: 8 months
Term Start: January 9th, 2023
Term End: August 25th, 2023


Full time
Temporary (Fixed Term)",$88K - $109K (Glassdoor Est.),"$107,716",10000+ Employees,Retail & Wholesale,$10+ billion (USD),,3.6,67 %,71 %,3.5,3.4,3.2,3.5,3.2,3.4,,,620,https://www.glassdoor.ca/Reviews/Loblaw-Companies-Reviews-E4141.htm,https://www.glassdoor.ca/Benefits/Loblaw-Companies-Benefits-E4141.htm
"Loblaw Companies Limited
3.6",Data Scientist,Brampton,Canada (English),"Referred applicants should not apply directly to this role.
All referred applicants must first be submitted through Workday by a current Loblaw Colleague.
Location:
1 Presidents Choice Circle, Brampton, Ontario, L6Y 5S5
At Loblaw, we help millions of Canadians get through their best days, worst days, celebration days, and every day. Through our innovation and quality products, we’re here for our friends, neighbours, family members and colleagues.

We succeed through collaboration and commitment and set a high bar for ourselves and those around us.

We’re looking for adaptable people who are thrilled to join us in our goal of helping Canadians Live Life Well®. Whether you are just starting your career, re-entering the workforce, or looking for a new job, this is where you belong. We promote leaders at every level and support our people to follow their passion.
Data Scientist, Brampton, ON
Full time
Regular",$88K - $109K (Glassdoor Est.),"$107,716",10000+ Employees,Retail & Wholesale,$10+ billion (USD),,3.6,67 %,71 %,3.5,3.4,3.2,3.5,3.2,3.4,,,620,https://www.glassdoor.ca/Reviews/Loblaw-Companies-Reviews-E4141.htm,https://www.glassdoor.ca/Benefits/Loblaw-Companies-Benefits-E4141.htm
"Metro Supply Chain
3.4",Data Analyst - Supply Chain Analytics,Mississauga,Canada (English),"JOIN OUR TEAM

Metro Supply Chain is a strategic supply chain solutions partner for some of the world’s fastest growing and most recognizable organizations. We advance our customers’ business through innovative, real-world solutions within a culture that supports our communities, protects our environment and enables our team to thrive. Over the past 40+ years, we’ve grown into a significant operation of more than 80 sites across North America and Europe and 6,000 team members.

Embracing and driving change is critical to our success. As such we are relentlessly focused on innovating at every level of our business, investing in new technologies and products, and attracting the best talent to drive the company forward.

RESPONSIBILITIES:


Why Join Us
We are committed to building and fostering a diverse workplace where people feel included and valued. We encourage applications from all qualified individuals.
Should you require accommodation for a special ability or need during the recruitment process, please reach out to a member of our Human Resources Team. #HP",$88K - $109K (Glassdoor Est.),"$63,018",5001 to 10000 Employees,Taxi & Car Services,Transportation & Logistics,Unknown / Non-Applicable,3.4,60 %,86 %,3.0,2.7,2.9,3.2,3.0,3.2,,,620,https://www.glassdoor.ca/Reviews/Metro-Supply-Chain-Inc-Reviews-E1045469.htm,https://www.glassdoor.ca/Benefits/Metro-Supply-Chain-Inc-Benefits-E1045469.htm
"Loblaw Companies Limited
3.6",Data Scientist Co-op,Brampton,Canada (English),"Referred applicants should not apply directly to this role.
All referred applicants must first be submitted through Workday by a current Loblaw Colleague.
Location:
1 Presidents Choice Circle, Brampton, Ontario, L6Y 5S5
At Loblaw, we help millions of Canadians get through their best days, worst days, celebration days, and every day. Through our innovation and quality products, we’re here for our friends, neighbours, family members and colleagues.

We succeed through collaboration and commitment and set a high bar for ourselves and those around us.

We’re looking for adaptable people who are thrilled to join us in our goal of helping Canadians Live Life Well®. Whether you are just starting your career, re-entering the workforce, or looking for a new job, this is where you belong. We promote leaders at every level and support our people to follow their passion.
Term Length: 8 months
Term Start: January 9th, 2023
Term End: August 25th, 2023


Full time
Regular",$88K - $109K (Glassdoor Est.),"$107,716",10000+ Employees,Retail & Wholesale,$10+ billion (USD),,3.6,67 %,71 %,3.5,3.4,3.2,3.5,3.2,3.4,,,620,https://www.glassdoor.ca/Reviews/Loblaw-Companies-Reviews-E4141.htm,https://www.glassdoor.ca/Benefits/Loblaw-Companies-Benefits-E4141.htm
UpSourced HR,Data Scientist,Ontario,Canada (English),"This is a remote position.
This organization, located in the Toronto area, provides a platform that is focused on the future of work diagnostic & up-skilling assessment that identifies real skill gaps to make predictive decisions to improve our client’s organizational workforce skill, performance and agility.


The company has a very ambitious project and roadmap to establish key solutions and measures that will help anchor our solution as a very positive disrupter that empowers workers, their companies and their communities. The company has a bold vision for the work and is growing the team with curious, impact and socially driven individuals who aim to make a difference in their work.









5-7 years’ experience: Azure Data Lake, Databricks Machine Learning Python code development Regression analysis R, Mplus Data modelling, statistics and algorithms Individuals with confidence in data analytics and presentation, along with a drive to develop new analytics informed solutions encouraged to apply.",$88K - $109K (Glassdoor Est.),,Unknown,,,,,,,,,,,,,,,620,,
"White Bay Search
5.0",Data Scientist | Cleantech SAAS Platform | Remote Working,Vancouver,Canada (English),"$90,000 - $110,000 + Equity
Work for a company that's making a difference for the environment
Remote working

The Company:

This exciting start-up is an innovative cleantech company, bringing energy reducing technology solutions to consumers, trade, utilities, and government to help create a more sustainable future. They are building a dynamic enterprise software-as-a-service platform and are looking for people with a passion, curiosity, and purpose for using their skills and creativity to make the world a better place. They are a provider of data services, applications and intelligence to governments and utilities in the areas of energy efficiency and renewable energy. They’ve developed a data framework that provides continuous data optimization of energy efficiency data using proprietary algorithms that power white-label applications and or hosted services for energy efficiency programs. Their applications include an opportunity map for energy intensity, digital building audit tools, engagement tools and an online marketplace.




We are looking for a data scientist that will help discover the information hidden in vast amounts of data, and help this company make smarter decisions to deliver even better products. Your primary focus will be in applying data mining techniques, doing statistical analysis, understanding GIS and geo-spatial mapping and building high quality prediction systems integrated with our products. Specifically, you will automate their building energy scoring using machine learning techniques, build recommendation systems, and further develop their catalog of products for energy efficiency and renewable building improvements.
The ideal candidate will have a passion for putting analytical data skills towards solving complex problems with a focus on geo-spatial techniques, working well with teams, and fighting hard to meet deadlines and build break-out products.




If you’re looking for an opportunity to join a cutting-edge start-up, working on some of the most exciting applications and technology in the business, don’t hesitate in putting forward an application! To automatically receive notifications upon new roles and market updates, follow our LinkedIn page: https://www.linkedin.com/company/white-bay-search/",$88K - $109K (Glassdoor Est.),"$100,000",1 to 50 Employees,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,5.0,100 %,100 %,,5.0,5.0,5.0,5.0,5.0,,,620,,
Ottawa Hospital Research Institute,data scientist,Ottawa,Canada (English),"Technical terminology
Medical
Applied statistics and mathematics experience
Science
Area of work experience
Research
Workplace information",$88K - $109K (Glassdoor Est.),$58.26,1 to 50 Employees,,,,,,,,,,,,,,,620,,
"Sky Systems Inc
3.1",Data Scientist (FRENCH Bilingual ) - REMOTE,Toronto,Canada (English),"Title: Data Scientist
Location: Montreal
Duration: 09/23/2023 (Extendable)
Key points/Highlights:
12 months renewable.
Telework for an indefinite period but could be called upon to go to the office occasionally (Flexible)
Description:
The Data Scientist applies strong expertise in artificial intelligence through use of machine learning, data mining, and information retrieval to design, prototype and build advanced analytics engines and services.",$88K - $109K (Glassdoor Est.),$95.00,1 to 50 Employees,,,,3.1,100 %,N/A,,1.4,1.7,1.9,1.7,1.9,,,620,,
