Company Name,Job Title,Location,Country,Job Description,Salary Estimate,Avg Salary,Size,Industry,Sector,Revenue,Rating,Recommend,CEO,Benefits,Opportunities,Comp Benefits,Culture,Management,WorkLife Balance,Pros,Cons,Num Listings,Reviews URL,Benefits URL
"Tvarit GmbH
4.0",Data Scientist - Intern/Work Student,Frankfurt am Main,Deutschland,"Tvarit GmbH develops and delivers solutions in the field of artificial intelligence (AI) for the Manufacturing, automotive and process industries. With its software products, Tvarit makes it possible to its customers to make intelligent and well-founded decisions, e.g., in the forward-looking Maintenance, increasing the OEE and predictive quality. We have renowned reference customers, a competent technology, a well research team from renowned Universities and the award of renowned AI prize (e.g. EU Horizon 2020) which makes Tvarit one of the most innovative AI companies in Germany and Europe. We are looking for a self-motivated person with a positive ""can-do"" attitude and excellent oral and written communication skills in English.
We are looking for Data Scientist - Intern/Work Student, who will design and develop data-driven solutions using state-of-the-art methods. You should be someone with strong and proven experience in working in data-driven solutions. If you feel you’re enthusiastic to transform business requirements into insightful data-driven solutions, you are welcome to join our fast-growing team to unlock the best potential in you.",52.000 € - 57.000 € (Arbeitgeber-Schtz.),,1 bis 50 Mitarbeiter,IT-Kundenbetreuung,Informationstechnologie,Unbekannt/Nicht zutreffend,4.0,83 %,100 %,,3.8,3.9,4.0,4.0,4.5,,,549,,
"Yelp
3.5",Data Scientist (m/f/d) (Remote),Heimarbeit,Deutschland,"At Yelp, it’s our mission to connect people with great local businesses. Yelp’s unique dataset contains billions of interactions between users and local businesses around the globe, from a user reviewing a neighborhood coffee shop to requesting a repair quote with a photo of a leaky faucet. Data Scientists at Yelp work to make sense of these interactions to deliver impactful analyses and products to our users, business partners, and the general public.

The Data Science team performs analyses, builds models, and designs experiments that directly impact Yelp’s business and users. Our centralized team is the most wide-ranging consumer of data at Yelp, adept at tasks from modeling content growth and user behavior to sharing insights about the health of local economies. With varied backgrounds and expertise, we strive for learning and growth in a collaborative environment.

This opportunity has the option to be fully remote throughout Germany.

We’d love to have you apply, even if you don't feel you meet every single requirement in this posting. At Yelp, we’re looking for great people, not just those who simply check off all the boxes.",52.000 € - 57.000 € (Arbeitgeber-Schtz.),,5.001 bis 10.000 Mitarbeiter,Internet & Webdienste,Informationstechnologie,1 bis 5 Milliarden $ (USD),3.5,62 %,74 %,3.7,3.6,3.7,3.9,3.5,3.9,,,549,,https://www.glassdoor.de/Benefits/Yelp-Benefits-E43314.htm
DeepSign GmbH,Data Scientist/Engineer,Heimarbeit,Deutschland,"DeepSign is an award-winning Cybersecurity startup focused on securing work computers from cyberattacks with stolen credentials, using the latest research on behavioral biometrics.

As part of this we collect data about user’s keyboard and mouse usage, attempt to normalize this data to make it less dependent on the specific system setup, extract various metrics, and train machine learning models on those This involves a lot of data.

Tasks

Analyze data to find correlations
Help improve our data pipeline
Find out which data is most valuable
Requirements

Benefits",52.000 € - 57.000 € (Arbeitgeber-Schtz.),,,,,,,,,,,,,,,,,549,,
"Solera
2.8",Data Scientist / Deep Learning Engineer,Heimarbeit,Deutschland,"The Role
As Data Scientist / Deep Learning Engineer in the VI Core Team, you will contribute to a largely self-sufficient team that develops, delivers, runs, maintains and evolves innovative machine learning powered services that provide significant value to Solera’s customers.
What You’ll Do
As Data Scientist / Deep Learning Engineer in the VI Core Team, you will contribute to a largely self-sufficient team that develops, delivers, runs, maintains and evolves innovative machine learning powered services that provide significant value to Solera’s customers.
What You’ll Bring
Degree in a quantitative discipline
Deep understanding of and proven ability to apply data science and machine learning concepts such as deep learning, CNN (in particular computer vision), instance segmentation, boosting, hypothesis testing, statistical analysis, NLP, transformers, predictive modelling, time series",52.000 € - 57.000 € (Arbeitgeber-Schtz.),,5.001 bis 10.000 Mitarbeiter,IT-Hardware,Informationstechnologie,1 bis 5 Milliarden $ (USD),2.8,44 %,37 %,3.7,2.9,3.2,2.7,2.5,3.0,,,549,,https://www.glassdoor.de/Benefits/Solera-Benefits-E42515.htm
"Emma – The Sleep Company
3.9",Junior Marketing Data Scientist,Frankfurt am Main,Deutschland,"Ready to lead, disrupt and reinvent the sleep industry?

We are Emma – The Sleep Company. We revolutionize sleep by pushing the boundaries of what technology can do for rest. Our aim is to awaken people's best by enhancing their sleep. We are one of Europe’s fastest-growing sleep innovation companies with 850 + team members representing over 65 nationalities at our international offices in Frankfurt, Manila, Lisbon, and Shanghai and Mexico City.


This is what you'll do:
Develop state-of-the-art models and solutions to increase our marketing efficiency and support our decision-making
Evaluate the impact of our marketing activities (through attribution, incrementality tests and media mix models) and derive meaningful actions from data which will be used to steer our marketing budgets",52.000 € - 57.000 € (Arbeitgeber-Schtz.),,501 bis 1.000 Mitarbeiter,Geschäfte für Möbel & Haushaltsartikel,Einzel- & Großhandel,500 Millionen bis 1 Milliarde $ (USD),3.9,77 %,82 %,3.2,3.9,3.3,3.8,3.6,3.4,,,549,https://www.glassdoor.de/Bewertungen/Emma-Bewertungen-E2114470.htm,https://www.glassdoor.de/Benefits/Emma-Benefits-E2114470.htm
"Deutsche Bank
3.9",Data Scientist (m/w/d),Bonn,Deutschland,"Über uns
Die Deutsche Bank AG überzeugt ihre 19 Millionen Kunden der Marken Deutsche Bank und Postbank mit hoher Kompetenz und attraktiven Angeboten aus einer Hand. Für jeden Bedarf die beste Lösung zu finden, ist dabei unser täglicher Anspruch im Privat-, Geschäfts- und Firmenkundenbereich. Ein Anspruch, den wir nur mit Kolleginnen und Kollegen erfüllen können, die mit viel Freude und Engagement sowie mit ihrer Persönlichkeit zu begeistern wissen. Der Tribe Customer Analytics hat die Vision ""Turn data into business & customer value“. Wir machen die Vertriebskanäle erfolgreich, in dem wir die besten Kunden-Ansprachen zur Verfügung stellen. Mit einem state-of-the-art Leadmanagement, das kundenzentriert denkt und einer hoch entwickelten Analytics geben wir den Touchpoints die Möglichkeit, den Kunden effizient anzusprechen und echten Mehrwert zu bieten. Im Squad ""Lead Automation & Orchestration Postbank“ suchen wir eine/-n Data Scientist, der/die uns in der Bewertung und Messung von Kunden-Ansprachen unterstützt. Der Fokus liegt auf der Erstellung und Weiterentwicklung von automatisierten Reports und der Analyse durchgeführter Kampagnen. Das Ergebnis zeigt wirkungsvoll Verbesserungsmöglichkeiten auf und trägt dazu bei, effizienter zu werden.",52.000 € - 57.000 € (Arbeitgeber-Schtz.),,Mehr als 10.000 Mitarbeiter,Bank- & Kreditwesen,Finanzen,Mehr als 10 Milliarden $ (USD),3.9,78 %,89 %,3.7,3.7,3.6,3.8,3.5,3.8,,,549,https://www.glassdoor.de/Bewertungen/Deutsche-Bank-Bewertungen-E3150.htm,https://www.glassdoor.de/Benefits/Deutsche-Bank-Benefits-E3150.htm
"AMAI GmbH
5.0",Junior Data Scientist (m/w/d),Karlsruhe,Deutschland,"Wer wir sind
Wir sind ein interdisziplinäres Team aus AI-Experten aus Karlsruhe mit der Mission europäische Unternehmen bei der Integration von Machine Learning in ihre Produkte und Prozesse zu unterstützen. Zum nächstmöglichen Zeitpunkt suchen wir Dich als Junior Data Scientist (m/w/d). Als Teil des Teams bist Du Experte rund um das Thema Daten und Machine Learning. Lass uns gemeinsam die Welt ein Stückchen intelligenter machen.
Was du machst
Du kennst dich mit Data Science, Machine Learning oder Deep Learning aus?
Du hast Lust, Maschinen intelligent zu machen?
Du hast schon mit Python, PyTorch oder Tensorflow und Docker gearbeitet?",52.000 € - 57.000 € (Arbeitgeber-Schtz.),,1 bis 50 Mitarbeiter,,,,5.0,100 %,N/A,,5.0,5.0,5.0,5.0,5.0,,,549,,
Cozero,Data Scientist in Climate Tech (f/m/x),Heimarbeit,Deutschland,"Cozero is a Berlin-based ClimateTech startup that transforms every company into a low-emission business. Our SaaS platform offers a fully digital end-to-end Carbon Action Platform (CAP) to track, forecast, and manage corporate emission data and most effectively match them to low-emission solutions on the market to reduce their carbon footprint. Based on our platform, carbon reduction becomes actionable. Become part of a ClimateTech startup empowering companies to master their path to carbon neutrality. Together, we reduce a major share of global carbon emissions.

Tasks

Turn data into information, information into insight and insight into business decisions
Interpret data and analyze results using statistical and machine learning techniques
Build statistical and machine learning models that generate insights from a multitude of datasets from client data and external sustainability databases
Requirements



Benefits

We are psyched about getting to know you - join our team of Cozero and shape the future of digital corporate carbon management!",52.000 € - 57.000 € (Arbeitgeber-Schtz.),,Unbekannt,,,,,,,,,,,,,,,549,,
"Allianz Technology
4.0",Data Scientist Intern (m/f/d),Unterföhring,Deutschland,"Are you thinking of next steps in your career path? You deserve a company that really cares about its talents!
At Allianz Technology, we are looking for a Data Scientist intern to be part of an international team of Data Scientists.
You will have the opportunity to contribute and shape different data products for Data Science, Machine Learning and Artificial Intelligence along the insurance value chain.
We are looking for people who have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.

As part of Allianz Technology, the Data Modelling and Engineering (DME) department oversees a number of key functions.

DMEI packages 5 key solutions based on the Allianz Core Insurance Data Model to streamline vital business operations:",52.000 € - 57.000 € (Arbeitgeber-Schtz.),,Mehr als 10.000 Mitarbeiter,Anlage- & Vermögensverwaltung,Finanzen,Mehr als 10 Milliarden $ (USD),4.0,81 %,90 %,4.1,3.6,3.6,3.9,3.5,3.9,,,549,https://www.glassdoor.de/Bewertungen/Allianz-Bewertungen-E3062.htm,https://www.glassdoor.de/Benefits/Allianz-Benefits-E3062.htm
"CHECK24 Vergleichsportal
3.3",Data Scientist (m/f/d) Shopping,München,Deutschland,"CHECK24 – we are a leading tech company in Germany that offers steep career mobility, fast decision-making and a stable work environment. Online shopping is a fast-growing area, with exciting potential. We apply state-of-the-art technologies and AI. This is where we need you:

You will work as a Data Scientist (m/f/d) in our shopping department – specifically, construction market – an area that continues to experience rapid revenue growth.

Quick decision-making, excellent resources and strong involvement in application development, working at CHECK24 offers numerous opportunities for personal and professional development.

Would you like to join? We are looking forward to your application as Data Scientist (m/f/d) at CHECK24 Vergleichsportal Elektronik & Haushalt GmbH.",52.000 € - 57.000 € (Arbeitgeber-Schtz.),,1.001 bis 5.000 Mitarbeiter,Werbung & Öffentlichkeitsarbeit,Medien & Kommunikation,Unbekannt/Nicht zutreffend,3.3,62 %,67 %,3.5,3.3,3.0,3.3,3.1,3.3,,,549,,https://www.glassdoor.de/Benefits/CHECK24-Benefits-E948746.htm
"Logistics Management Institute
4.2",Junior Data Scientist,Stuttgart,Deutschland,"Overview:
LMI is a consultancy dedicated to powering a future-ready, high-performing government, drawing from expertise in digital and analytic solutions, logistics, and management advisory services. We deliver integrated capabilities that incorporate emerging technologies and are tailored to customers’ unique mission needs, backed by objective research and data analysis. Founded in 1961 to help the Department of Defense resolve complex logistics management challenges, LMI continues to enable growth and transformation, enhance operational readiness and resiliency, and ensure mission success for federal civilian and defense agencies.

LMI has been named a 2022 #TopWorkplace in the United States by Top Workplaces!
We are honored to be recognized as a company that values a people-centered culture, and we are grateful to our employees for making this possible!

LMI is seeking a Junior Data Scientist to support a Special Operations customer in Kelley Barracks, Germany.
Responsibilities:
Qualifications:",52.000 € - 57.000 € (Arbeitgeber-Schtz.),,1.001 bis 5.000 Mitarbeiter,Unternehmensberatung,Management & Beratung,100 bis 500 Millionen $ (USD),4.2,86 %,94 %,,3.9,4.0,4.2,3.8,4.3,,,549,,
"DB Schenker
3.5",Data Scientist (*),Essen,Deutschland,"At DB Schenker, you are part of a global logistics network that connects the world. A network that allows you to shape your career by encouraging you to contribute and truly make a difference. With more than 76,000 colleagues worldwide, we welcome diversity and thrive on individual backgrounds, perspectives and skills. Together as one team, we are Here to move.
The Global Data Strategy & Analytics department is on a mission to turn DB Schenker into a data-driven company. Our Data Science team focuses on designing advanced analytics solutions to solve potential business use cases in logistics utilizing Machine Learning, AI techniques, Data Visualization tools and Big Data technologies in cooperation with our Software Engineering team, internal business units and global IT.

Your tasks:

Co-operate with internal business units to find use cases that potentially can be supported by data analytics and machine learning solutions",52.000 € - 57.000 € (Arbeitgeber-Schtz.),,Mehr als 10.000 Mitarbeiter,Speditionen,Transport & Logistik,Unbekannt/Nicht zutreffend,3.5,64 %,78 %,3.0,3.2,3.3,3.4,3.0,3.3,,,549,https://www.glassdoor.de/Bewertungen/DB-Schenker-Bewertungen-E592946.htm,https://www.glassdoor.de/Benefits/DB-Schenker-Benefits-E592946.htm
