Company Name,Job Title,Location,Country,Job Description,Salary Estimate,Avg Salary,Size,Industry,Sector,Revenue,Rating,Recommend,CEO,Benefits,Opportunities,Comp Benefits,Culture,Management,WorkLife Balance,Pros,Cons,Num Listings,Reviews URL,Benefits URL
Blue Crow Sports Group,Football Data Scientist,Madrid,España,"Job Title: Football Data Scientist
Department: Football (Soccer) Research & Development
Reports to: Director, Football (Soccer) Research & Development
Status: Full-Time
Location: Blue Crow Sports Group - Madrid Office, Spain

Blue Crow Sports Group is hiring a Football Data Scientist to work within our Research & Development department. This role reports directly to our Director of Football R+D and will be based at our office in Madrid, Spain. Working primarily with our partner C.D. Leganes, the successful candidate will develop statistical analysis and apply a wide range of data science techniques to support decision-making in areas such as scouting and recruitment, player development as well as first team and academy tactical and performance aspects. The Football Data Scientist will play a primarily role designing and implementing algorithms to extract actionable insights from large datasets and communicate results through data visualization and interactive tools to help accelerate our understanding of the game.",30 mil € - 60 mil € (Est. de la empresa),,,,,,,,,,,,,,,,,473,,
"Santander
3.9",Data Scientist Analyst,Boadilla del Monte,España,"Data Scientist Analyst
Country: Spain
WHAT YOU WILL BE DOING
Banco Santander is looking for a Data Scientist Analyst, based in our Boadilla del Monte office.
WHY YOU SHOULD CONSIDER THIS OPPORTUNITY.
At Santander (www.santander.com) we are key players in the transformation of the financial sector. Do you want to join us?
Credit Risk, Interest Rate Risk, liquidity risk, operational risk, reputational risk… There are many types of risks, that's why it analysis and quantification is key for our purpose of being a Simple, Personal and Fair bank. Working on risks means doing it from a management perspective that contributes to the sustainable progress of people and companies. Santander is proud of being an organization where there are equal opportunities regardless of gender identity, culture and disability. Our mission is to contribute to help more people and business prosper.",30 mil € - 60 mil € (Est. de la empresa),,Más de 10 000 empleados,Banca y actividades crediticias,Finanzas,Más de 10 000 millones (USD),3.9,74 %,N/A,4.0,3.7,3.9,3.7,3.4,3.4,,,473,https://www.glassdoor.es/Opiniones/Santander-Opiniones-E828048.htm,https://www.glassdoor.es/Benefits/Santander-Benefits-E828048.htm
"Quibim
5.0",Data Scientist,España,España,"Join our team!
We are looking for Data Scientists to join our R&D Department. As part of the Advanced Development and Clinical AI team or the Strategic Projects and Frontiers of AI team, you will be part of the innovation that will change the medical imaging market, transforming imaging data into actionable predictions.
Your main tasks will be:
Design and develop medical imaging analysis algorithms.
Research activities in the framework of internal and external projects.
Participate in planning and executing activities focused on publishing about Quibim’s scientific research.
Customer interaction to improve the product and to see the use of the developments at the customers premises.",30 mil € - 60 mil € (Est. de la empresa),,De 1 a 50 empleados,,,,5.0,N/A,N/A,,,,,,,,,473,,
"Eli Lilly
4.0",Research Scientist - Molecular Pharmacology,Alcobendas,España,"At Lilly, we unite caring with discovery to make life better for people around the world. We are a global healthcare leader headquartered in Indianapolis, Indiana. Our 35,000 employees around the world work to discover and bring life-changing medicines to those who need them, improve the understanding and management of disease, and give back to our communities through philanthropy and volunteerism. We give our best effort to our work, and we put people first. We’re looking for people who are determined to make life better for people around the world.
The Quantitative Biology and Biophysics Department in Lilly Research Laboratories is seeking a highly experienced in vitro pharmacologist to join our team located at Alcobendas (Madrid), Spain.
SUMMARY OF THE POSITION
The successful candidate will:
Provide support and expertise to drug discovery programs across different therapeutic areas, from target validation to clinical candidate selection.
Lead project strategy and direction in collaboration with the Therapeutic Area, Chemistry and Structural Biology.",30 mil € - 60 mil € (Est. de la empresa),,Más de 10 000 empleados,Biotecnología e industria farmacéutica,Farmacéutica y biotecnología,Más de 10 000 millones (USD),4.0,75 %,82 %,4.4,3.6,3.7,4.0,3.5,3.8,,,473,https://www.glassdoor.es/Opiniones/Eli-Lilly-and-Company-Opiniones-E223.htm,https://www.glassdoor.es/Benefits/Eli-Lilly-and-Company-Benefits-E223.htm
"Microsoft
4.4",Data & Applied Scientist II,Barcelona,España,"Why work at WebXT

Inside Microsoft's Web Experiences Team

Our team develops advanced search technology that powers Bing image search experiences. The search experience is more than just finding an image on a web page that matches a query – it’s about training sophisticated machine learnt models to drive ranking and triggering, using word embeddings and deep learning to understand the quality of matches, online learning to react quickly to change, natural language processing to understand queries, taking advantage of big data and signals from millions of people across the web. Pulling together and combining information from multiple sources to provide the user with results that best match their intent. Machine learning, deep learning, natural language processing, computer vision, big data mining and information retrieval - it’s all part of the job.

This is a fun and fast paced environment, where developers are empowered to collaborate and innovate. This is a great opportunity to work on something highly strategic to Microsoft, and an opportunity to directly impact millions of users in an exciting area.",30 mil € - 60 mil € (Est. de la empresa),,Más de 10 000 empleados,Equipos informáticos,Tecnologías de la información,Más de 10 000 millones (USD),4.4,91 %,97 %,4.3,4.2,4.1,4.4,4.1,4.2,,,473,,https://www.glassdoor.es/Benefits/Microsoft-Benefits-E1651.htm
SpotLab,Data Scientist,Madrid,España,"We are looking to hire a full time Data Scientist, who will develop, train and deploy machine learning and image processing algorithms for the diagnosis of medical images.

Your responsibilities will encompass:

Developing solutions for medical image analysis using neural networks and automatic image processing.
Preparing the working environment to organize and clean the data, the ground truth, and everything needed to evaluate different algorithms and pipelines.
Interacting with medical specialists and product managers to understand the needs and assess technical feasibility.",30 mil € - 60 mil € (Est. de la empresa),,Desconocido,,,,,,,,,,,,,,,473,,
"DIVERSA Technologies
2.0",SCIENTIST,Santiago,España,"DIVERSA (www.diversatechnologies.com) is a biotechnology company located
in Santiago de Compostela, Spain.
At DIVERSA we specialize in the formulation and intracellular delivery of
therapeutic molecules, offering them opportunities to develop into the clinic.
Molecules that otherwise would not reach their site of action, can now be
delivered to the target with their therapeutic properties intact thanks to our
patented delivery technology.
DIVERSA’s ambition is to prompt the development of innovative therapies for the
ultimate benefit of patients, starting a therapeutic revolution.
DIVERSA offers an open position as Scientist. This position is a unique
opportunity to add value to the growing field of biotechnology in Galicia
(https://www.galiciabio.tech/) and to develop a professional career in a biotech
company projected to be a reference in the sector of drug delivery and
nanomedicine.
Position Summary
The employee will be integrated in a multidisciplinary team and contribute
with his/her highly specialized knowledge to test and develop
formulations for the delivery of therapeutic molecules (small drugs,
proteins, peptides, oligonucleotides, etc.) towards developing applications
for in-vitro and in-vivo therapies. The employee will be involved in codevelopment agreements for third parties with high expectations and
strict deadlines. The employee must be proactive and have a great positive
mindset, flexibility, and adaptability to changes.
Areas of Responsibility

Responsible for procurement of lipid excipients, lab reagents and
consumables.
Develop analytical methods for drug substance and drug product.
Determine physical and chemical stability of nanoparticle formulations
and conduct process development activities.
Executing experiments, including establishing novel technologies inhouse.
Support method transfer from R&D to management team, as needed
Support analysis of various nanocarriers candidates, and
author/review SOPs and/or certificates of analysis.
Support product release and stability activities, as needed.
Coordinate equipment installation, qualification and calibration
activities if needed. Troubleshoot equipment related problems with
instrument manufacturers to resolve issues.
Provide technical support and training to DIVERSA new staff (product
use, protocols).
May be required to perform other related duties as required and/or
assigned.
Qualifications and Experience

Degree in Pharmacy, Biology, and/or Biotechnology or similar.
Expertise in the field of nanotechnology and biotechnology.
Preferably experience at a pharmaceutical or biotech company.
Demonstrated expertise in design, development, and analysis of
nanocarriers.
In-depth knowledge and experience with a range of standard chemistry
laboratory instrumentation, purification techniques, and data analysis.
In-depth knowledge and experience with physical characterization of
nanoparticles (DLS, NTA, TEM).
Good understanding of drug/lipid design principles, PK, toxicity,
pharmacodynamics, etc.
Demonstrated experience with in-vitro testing of formulations.
Knowledge and experience with a range of standard biological
experiments (e.g., confocal microscopy, flow cytometry, cell culturing,
western blot, cytotoxicity and uptake experiments, etc).
Demonstrated experience working as part of a collaborative team in a
cross-disciplinary setting.
Ability to perform routine and complex bench and instrumental
analysis.
Willingness to learn new analytical tests, instrumentation, and
procedures.

Conditions
Full-time indefinite contract (6 months trial period)
Flexible schedule working hours to reconcile work and family life
Competitive salary
An interdisciplinary research environment
DIVERSA provides excellent opportunities for personal growth.
If you are interested, please send us a one-page CV, motivation letter, and
two letters of recommendation to info@diversatechnologies.com
Application for Scientist). Only candidates selected for an
interview will be contacted. More info can be requested at the same email.
DIVERSA Technologies, S.L., is an equal opportunity employer.",30 mil € - 60 mil € (Est. de la empresa),,De 1 a 50 empleados,,,,2.0,N/A,N/A,,3.0,1.0,1.0,1.0,1.0,,,473,,
WayOps,Data Scientist (Remote),Madrid,España,"En WayOps buscamos un perfil Data Scientist que quiera continuar su carrera profesional formando parte de un equipo Data & AI de primer nivel y trabajando en proyectos cloud con las últimas tecnologías.
La persona seleccionada participará en múltiples proyectos encargándose de realizar el análisis exploratorio de los datos, tratamiento de variables y elaboración de modelos científicos utilizando técnicas de aprendizaje automático. Además, participará en la industrialización del código científico y elaboración de cuadros de mandos.
EXPERIENCIA & CONOCIMIENTOS
El perfil a incorporar deberá contar con 3-4 años de experiencia como Científico de Datos utilizando Python, 1-2 años de experiencia en entornos Cloud, así como 1-2 años de experiencia en modelado de datos y elaboración de cuadros de mandos. Además, se valorarán conocimientos en Spark y experiencia previa en industrialización de código científico.",30 mil € - 60 mil € (Est. de la empresa),45.000,,,,,,,,,,,,,,,,473,,
"Nextail
4.5",Internship Program: Data Science Optimization,Trabajo en remoto,España,"We are looking for a Data Science Intern, with exposure and interest in Optimization, with good programming skills and business oriented. This new team member will be instrumental in growing our business internationally as we continue to make the retail world a better, more sustainable place.
At Nextail, we empower retailers to create better experiences while using fewer of the world's resources. The cloud-based platform uses artificial intelligence, prescriptive analytics, and optimization to deliver agile merchandising decisions. To date, we’re backed by more than $12M in funding from leading venture capital investors and are working with global retailers like Versace, River Island, and Pepe Jeans.
The DS Team is part of the Product Team, our goal is to multiply the impact of our product on the business. Data Science Techniques, AI, ML, Optimisation, Simulation, Visualization, are the tools we always have at hand when we face a problem, but we will never use them in vain. We work together with Product Managers, Developers, Data Engineers and Business Experts to solve the end to end problem.",30 mil € - 60 mil € (Est. de la empresa),,De 51 a 200 empleados,Software empresarial y soluciones de red,Tecnologías de la información,Desconocido/No aplicable,4.5,93 %,92 %,4.2,4.2,4.0,4.4,4.0,4.7,,,473,,https://www.glassdoor.es/Benefits/Nextail-Benefits-E1842587.htm
"GeneraliEspaña
3.7",DATA SCIENTIST (h/m),Madrid,España,"Descripción
Participar en el desarrollo de modelos analíticos para resolver problemas de negocio y facilitar la extracción de conclusiones sobre los datos.
1. Participar en la definición de requerimientos a partir de las historias de usuario enviadas por las áreas de negocio para ser desarrolladas por el CoE y participar en la documentación de los proyectos que sean llevados a cabo por el CoE.
2. Colaborar en el análisis de técnicas y casos de uso existentes en el mercado en lo referente a modelos analíticos de datos para identificar aquellas cuya aplicación pudiera ser útil para el CoE Analytics.
3. Desarrollar algoritmos usando estadística y matemáticas para ejecutar funciones analíticas que sean requeridas por las áreas usuarias del CoE. Así como aplicación de algoritmos de Deep Learning para realizar los proyectos de analítica avanzada de la compañía.
4. Preparación y análisis de datos estructurados y no estructurados, para extraer conocimiento que pueda aprovecharse para el desarrollo de soluciones.
5. Revisar los datos empleando métodos estadísticos de cara a descubrir anomalías y contradicciones, monitorizar el rendimiento y la efectividad de los modelos implementados y aportar análisis que faciliten la toma de decisiones a las distintas Áreas de Negocio de la compañía.",30 mil € - 60 mil € (Est. de la empresa),,Más de 10 000 empleados,Compañías de seguros,Seguros,Más de 10 000 millones (USD),3.7,70 %,83 %,4.2,3.1,3.5,3.6,3.3,3.7,,,473,https://www.glassdoor.es/Opiniones/Generali-Opiniones-E10665.htm,https://www.glassdoor.es/Benefits/Generali-Benefits-E10665.htm
