Company Name,Job Title,Location,Country,Job Description,Salary Estimate,Avg Salary,Size,Industry,Sector,Revenue,Rating,Recommend,CEO,Benefits,Opportunities,Comp Benefits,Culture,Management,WorkLife Balance,Pros,Cons,Num Listings,Reviews URL,Benefits URL
Tellux,Data Scientist H/F,Petit-Couronne,France,"À propos de TELLUX :
TELLUX est une startup rouennaise fondée en 2019.
Tellux développe des systèmes automatiques de mesure pour améliorer la préservation de l'environnement sur les chantiers de BTP. Tellux accélère l'analyse des sols en la rendant plus facile, plus précise et permet de réduire les risques d'erreurs, les coûts et les délais des grands chantiers de revalorisation des friches industrielles. Nous sommes au cœur des enjeux environnementaux de préservation et de réutilisation des sols. Nous sommes les premiers à réaliser des analyses numériques de matériaux, de strates de sols et de polluants à partir d’imagerie hyperspectrale et d’algorithmes de deep learning.
TELLUX c'est aussi un collectif de 14 personnes aux compétences et aux parcours variés, fédérés autours de valeurs fortes à la fois humaines et environnementales !",35 k € - 50 k € (Estimation de l'employeur),42,,,,,,,,,,,,,,,,1093,,
"Métropole Rouen Normandie
3.2",Data scientist (H/F),Petit-Couronne,France,"Offre n°142JCTX
Créée le 12/10/2022
Actualisée le 12/10/2022

76 - PETIT COURONNE
L'Hyperlab est un outil innovant d'analyse de sols, en temps réel, mobile et à haute précision. La plate-forme est composée de modules d'acquisition de données hyperspectrales, de modules d'analyse de ces données par IA, et de modules de restitution métier.
Rattaché(e) au directeur de la Technologie, vous participez au développement des algorithmes et des pipelines d'analyse de données utilisés au cœur de cette plateforme. Au sein de l'équipe tech data et au coeur du réacteur de la technologie développée par Tellux, vous serez amené(e) à travailler avec d'autres data scientists, mais également avec les Machine Learning Engineers, et les utilisateurs métiers tels que chimistes, ingénieurs Sites et Sols Pollués ou encore géologues.

Missions :

Profil recherché :
Disposant d'expériences significatives dans la modélisation en Intelligence Artificielle, vous êtes issu(e) d'une formation BAC + 5 type école d'ingénieur ou équivalent universitaire en Data Sciences.

Compétences techniques et aptitudes recherchées :
Votre maîtrise des techniques de modélisation en python ( sikitlearn, pytorch, tensorflow ) est primordiale
Votre culture dans le monde du traitement de signal et de l'image vous permettra d'être force de proposition
Vous avez un bon esprit d'analyse et de synthèse
Vous fonctionnez de manière collaborative et disposez d'un esprit souple et curieux
Vous êtes rigoureux(se), organisé(e), dynamique et autonome
Vous aimez relever des challenges et vous avez le sens du travail en équipe

Contrat à durée indéterminée

35H Horaires normaux



2 ans Exigé


TELLUX
Ingénierie, études techniques
76 - PETIT COURONNE
TELLUX accélère l'analyse de la pollution des sols en la rendant plus facile, plus précise et permet de réduire les risques d'erreurs, les coûts et les délais des grands chantiers. Elle est la première entreprise au monde à utiliser l'imagerie hyperspectrale pour l'analyse des sols.",35 k € - 50 k € (Estimation de l'employeur),,Inconnu,,,,3.2,56 %,N/A,5.0,2.5,2.8,3.1,2.8,4.1,,,1093,,https://www.glassdoor.fr/Benefits/M%C3%A9tropole-Rouen-Normandie-Benefits-E1545229.htm
Sightengine,Audio & Speech Recognition Data scientist,Télétravail,France,"Remote
RESPONSIBILITIES
Architect, design and implement solutions to process and understand spoken languages
Propose and build solutions to analyze non-speech audio
Supervise model training, model updates and continuous improvement strategies
Work with native speakers to improve support for smaller languages
Stay at the forefront of advances in Audio, NLP and Speech Processing
REQUIREMENTS
you have experience running research experiments and are familiar with Tensorflow, PyTorch or equivalents",35 k € - 50 k € (Estimation de l'employeur),,Inconnu,,,,,,,,,,,,,,,1093,,
"BNP Paribas
3.8",Data Scientist Etudes et Modèles Statistiques H/F,Paris,France,"Data Scientist Etudes et Modèles Statistiques- H/F
Le Département Etudes & Management de la Connaissance Client (EMC2) de BCEF RETAIL recherche son prochain Data Scientist Etudes et Modèles Statistiques - H/F

Sur le terrain, ça donne quoi ?
Le département EMC2 a pour mission d’analyser et modéliser les données de nos clients et de l’environnement afin d’optimiser la prise de décision business tout au long de la chaîne de valeur.
Le périmètre d’intervention est l’ensemble des métiers et fonctions de la Banque Commerciale En France ().



Capacité à communiquer - à l'oral et par écrit
Capacité d'adaptation
Capacité d'organisation
Rigueur
Capacité à collaborer / travail d'équipe
Analyse de données
Connaissances en matière de Data
Mathématiques appliquées et algorithmes
Modèles prédictifs",35 k € - 50 k € (Estimation de l'employeur),,Plus de 10 000 employés,Services bancaires et de prêts,Finance,Plus de 10 milliards de dollars US,3.8,77 %,86 %,4.0,3.5,3.4,3.7,3.3,3.8,,,1093,https://www.glassdoor.fr/Avis/BNP-Paribas-Avis-E10342.htm,https://www.glassdoor.fr/Benefits/BNP-Paribas-Benefits-E10342.htm
"Inetum
3.4",Data Scientist Junior – Energie H/F,Saint-Ouen,France,"Mission
Acteur majeur de la transformation digitale, Inetum Consulting est le cabinet de Conseil en Management du Groupe Inetum, fer de lance de son approche sectorielle. Composé de plus de 200 collaborateurs, nous accompagnons nos clients des secteurs publics et privés dans leurs projets de transformation et de recherche de solutions innovantes à forte valeur ajoutée. Nous intervenons en déclinaison de leurs stratégies opérationnelles.

Intégré(e) dans une équipe projet et sous la supervision d’un responsable d’Inetum Consulting, vous assurez le pilotage et la réalisation de projets de gestion et de valorisation de la donnée dans le domaine de l’Energie.",35 k € - 50 k € (Estimation de l'employeur),,Plus de 10 000 employés,Services d’assistance informatique,Informatique,Entre 1 et 5 milliards de dollars US,3.4,68 %,67 %,2.9,3.2,2.9,3.2,3.1,3.5,,,1093,https://www.glassdoor.fr/Avis/Inetum-Avis-E9028.htm,https://www.glassdoor.fr/Benefits/Inetum-Benefits-E9028.htm
"Groupe Yves Rocher
3.6",Data Scientist,Paris,France,"Réf: 105688

Lieu:
FR - Paris, FR

Type de contrat: CDI / Unlimited Term
Marque: Yves Rocher
Equipe: Direction Customer Experience Transformation
Data Scientist

Voulez-vous faire partie d’une entreprise à mission qui reconnecte les femmes & les hommes à la Nature ?

Prêt(e) à découvrir une nouvelle opportunité au sein du Groupe Rocher ?

Rejoignez la marque Yves Rocher ! De la plante à la peau, nous maîtrisons l’ensemble du cycle de vie de nos produits. Devenir salarié Yves Rocher, c’est faire partie d’un réseau de personnes passionnées et positives, engagées dans la protection de la biodiversité tout en servant avec excellence tous nos consommateurs.

CDI – Data Scientist – Yves Rocher

Le monde change, se transforme et Yves Rocher s’inscrit pleinement dans cette évolution.
Au sein de l’équipe Data for Business, venez écrire une nouvelle page de son histoire !


Vous voulez être un acteur de la data, vous savez tout ce que la data peut apporter et voulez contribuer à la création d’une nouvelle équipe focussée sur le business, c’est pourquoi :

Vous garantissez la qualité de nos data nous permettant une relation parfaite avec nos clientes
Vous êtes le contact privilégié de nos équipes d’analyse commerciale pour la préparation des données, leur permettant des analyses plus fines
Vous assurez la détection des clientes fraudeuses sur nos marchés et communiquez avec les services Clients et Fraude pour mettre en œuvre les plans d’action
Vous alertez les Equipes Centrales de la marque en cas de dysfonctionnement des outils data et vérifier l’adéquation de la solution apportée


Vous avez une bonne connaissance de SQL et Python.
Vous avez une première expérience en Data Science/Data Engineering dans un environnement Big Data
Vous avez une bonne pratique de l’anglais vous permettant d’évoluer dans un contexte international
Vous aimez les responsabilités et voulez être notre référent qualité de la donnée
Vous travaillez avec efficacité avec d’autres services, même non expert, et êtes notre ambassadeur pour améliorer nos process
avec vous, nos problèmes trouvent une solution !

Prêt à faire bouger les lignes avec nous ? N’attendez plus et postulez !

Le Groupe Rocher accueille tous les talents et analyse chaque candidature avec la même attention sans distinction de genre, d’orientation sexuelle, d’âge, de culture, ou de handicap.

Comme pour la Nature, nous sommes convaincus que la diversité est une force pour nos entreprises.

https://groupe-rocher.com/nos-valeurs",35 k € - 50 k € (Estimation de l'employeur),,Plus de 10 000 employés,Magasins d’accessoires personnels et de beauté,Commerce de détail et de gros,Entre 1 et 5 milliards de dollars US,3.6,65 %,74 %,4.1,3.0,3.0,4.1,3.2,3.7,,,1093,https://www.glassdoor.fr/Avis/Groupe-Rocher-Avis-E846136.htm,https://www.glassdoor.fr/Benefits/Groupe-Rocher-Benefits-E846136.htm
"McKinsey & Company
4.4","Data Scientist (full time, all seniority levels) - QuantumBlack",Paris,France,"Who You'll Work With
Based in Paris and working across the region, as a consultant data scientist you will work closely with our clients, data engineers and all types of McKinsey consultants on interdisciplinary projects, using maths, stats and machine learning to derive structure and knowledge from raw data across various industry sectors.
This hybrid client-facing/technical role will allow you to use state of the art technologies to solve highly impactful business problems, whilst also leveraging your strong communication skills to convey complex intractable ideas to non-technical audiences.
Who you are
This full time position is for a data scientist across all seniority levels with strong intrinsic technical ability and an aptitude to solving complex problems using technology.",35 k € - 50 k € (Estimation de l'employeur),,Plus de 10 000 employés,Conseil aux entreprises,Management et conseil aux entreprises,Ne sait pas / non applicable,4.4,91 %,94 %,4.5,4.5,4.4,4.3,4.1,3.0,,,1093,https://www.glassdoor.fr/Avis/McKinsey-and-Company-Avis-E2893.htm,https://www.glassdoor.fr/Benefits/McKinsey-and-Company-Benefits-E2893.htm
"Fnac Darty
3.3",Data Scientist F/H,Ivry,France,"Nous sommes les partenaires de vos cartes cadeaux à Noël, de vos moments de pause lecture en gare, vous avez sûrement déjà acheté une machine à laver dans l'un de nos magasins ou même commandé votre première machine à café sur l’un de nos sites. Aujourd’hui on vos propose de nous rejoindre au sein de la Digital Factory FNAC DARTY.
Nous recherchons un.e Data Scientist pour rejoindre le pôle Data de la Digital Factory. Les missions du pôle Data sont la collecte de données de navigation et de données produits, leur traitement, consolidation et stockage et enfin leur exploitation via des visualisations et des algorithmes de machine learning à forte valeur ajoutée (par exemple le moteur de recherche interne du site fnac.com ou le moteur de recommandation de produits).
Nous recherchons un.e data scientist pour participer à la valorisation des données web du groupe au travers du développement (de la conception à la mise en production) d’algorithmes variés de machine learning : recommandation, classification, prédiction, NLP et prochainement computer vision.",35 k € - 50 k € (Estimation de l'employeur),,Inconnu,,,,3.3,60 %,N/A,4.2,2.9,3.2,3.3,3.5,3.3,,,1093,https://www.glassdoor.fr/Avis/Groupe-Fnac-Darty-Avis-E4867843.htm,https://www.glassdoor.fr/Benefits/Groupe-Fnac-Darty-Benefits-E4867843.htm
"Louis Vuitton
3.5",Data Scientist (F/H),Paris,France,"Poste
Louis Vuitton s’est engagé depuis plusieurs années dans sa transformation digitale avec au cœur de cette transformation, l’innovation digitale.

Aujourd’hui, Louis Vuitton souhaite s’organiser et renforcer ses équipes afin de pouvoir dégager tout le potentiel de valeur de ses données, à l’échelle pour l’ensemble des métiers de l’entreprise, et notamment sur les problématiques en zones (Amériques, Japon, Chine, Europe…).

Il s’agit de transformer les métiers en étant au cœur de l’activité et en collaborant au quotidien avec les équipes, tout en bénéficiant du support, des outils, des méthodes, des capacités d’industrialisation et de l’accompagnement de la Direction Data Science et Intelligence Artificielle de la maison Louis Vuitton.
Le/la candidate sera amené(e) à travailler directement avec les équipes métiers, en se localisant dans les mêmes bureaux lorsque cela est nécessaire.",35 k € - 50 k € (Estimation de l'employeur),,Plus de 10 000 employés,Industrie des biens de consommation,Industrie manufacturière,Plus de 10 milliards de dollars US,3.5,56 %,73 %,4.2,3.1,3.3,3.3,3.0,2.9,,,1093,https://www.glassdoor.fr/Avis/Louis-Vuitton-Avis-E667150.htm,https://www.glassdoor.fr/Benefits/Louis-Vuitton-Benefits-E667150.htm
"Airbus
4.0",Data Scientist H/F,Marignane,France,"Job Description:
Et si VOTRE aventure commençait avec NOUS !
Nous vous proposons de travailler dans une entreprise leader mondial dans son domaine, tournée vers le digital, à la pointe de la recherche et de l’innovation.
Êtes-vous intéressé(e) par la vision stratégique qui contribue à alimenter les hélicoptères Airbus existants et futurs ? Dans la transformation digitale d'Airbus pour nos familles d'hélicoptères ?
Nous recherchons un ""scientifique des données h/f"" très motivé(e), possédant des compétences techniques de base et une expérience en analyse de données et en science des données possédant un fort esprit intrapreneurial.
Airbus Helicopters SAS
Permanent Contract / CDI / Unbefristet / Contrato indefinido
Professional / Expérimenté(e) / Professionell / Profesional
Information Mgmt and Digital Technology <JF-IM-DI>",35 k € - 50 k € (Estimation de l'employeur),,Plus de 10 000 employés,Aérospatiale et Défense,Aérospatiale et défense,Plus de 10 milliards de dollars US,4.0,86 %,89 %,4.4,3.6,3.8,3.8,3.5,4.0,,,1093,https://www.glassdoor.fr/Avis/Airbus-Avis-E3059.htm,https://www.glassdoor.fr/Benefits/Airbus-Benefits-E3059.htm
