Company Name,Job Title,Location,Country,Job Description,Salary Estimate,Avg Salary,Size,Industry,Sector,Revenue,Rating,Recommend,CEO,Benefits,Opportunities,Comp Benefits,Culture,Management,WorkLife Balance,Pros,Cons,Num Listings,Reviews URL,Benefits URL
Howin Development Company Limited,Data Scientist,Hong Kong,Hong Kong,"Howin Development Co.Ltd is a Cyberport Incubation Alumni company in transportation and Fintech.
We are recruiting Research Analyst / Data Scientist
Details:
R&D activities include machine learning (ML) model and Artificial Intelligence
(AI) strategy for clustering and predicting:
Data Source (App): mobile phones (iOS and Android)
AI strategy: visuals, analysis, clustering and classification
Deliverables: test tech stack, AI strategy, performance measurement , R&D",HK$20K - HK$50K (Employer Est.),"HK$35,000",,,,,,,,,,,,,,,,165,,
Shangri-La Hotels,Data Scientist (152788),Hong Kong,Hong Kong,"Shangri-La Group

Headquartered in Hong Kong SAR, the Shangri-La Group has grown from a single hotel business to a diverse and integrated global portfolio comprising quality real estate and investment properties, wellness and lifestyle facilities. Today, the Group owns, operates and manages 100+ hotels under our family of four brands: Shangri-La, Kerry Hotels, JEN by Shangri-La, and Traders.

We are part of the Kuok Group, one of Asia's most dynamic multinational conglomerates and a leader in properties, logistics, agribusiness, maritime and hospitality. From our strong base in Asia, we have expanded into key gateway cities and markets around the world. Our properties sit on some of the world’s most prestigious addresses and exotic destinations. Through the environments we have created, we enable people to come together to live, work, play, eat, and rest well.

An opportunity has arisen in our Global Headquarter under the Strategy & Business Transformation Department to work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.


Analyse data from company databases to drive optimisation and improvement of customer analytics, commercial performance and business strategies.
Develop custom data models and algorithms to apply to large data sets.
Use predictive modelling to increase and optimise customer experiences, revenue generation, advertisement targeting and other business outcomes.
Develop processes and tools to monitor and analyse model performance and data accuracy.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Coordinate with different functional teams to implement models and monitor outcomes.


Undergraduate degree in Statistics, Mathematics, Computer Science, Business Analytics, Information Technology, or related disciplines.
At least 7 years of relevant experience gained from multinaitonal companies with experience dealing with large scale customer data.
Coding knowledge and experience using statistical computer languages (R, Python, SQL, etc.) to manipulate data and draw insights from large data sets.
Experience creating and using advanced machine learning algorithms, statistical modelling: regression, simulation, scenario analysis, modelling, clustering, decision trees, neural networks, etc.
Good understanding of real-world applications and limitations of advanced statistical techniques and machine learning techniques
Experience using business intelligence platforms (eg. Tableau, PowerBI) to visualize, explore and share data.
Google Analytics, Adwords, Facebook Insights, etc.
A drive to learn and master new technologies and techniques.
Strong problem-solving skills with an emphasis on product development.
Self-motivated, adaptable in a fast-paced environment and with a strong sense of ownership.
Able to initiate and drive projects to completion with minimal guidance.
Excellent written and verbal communication skills for coordinating across teams.",HK$20K - HK$50K (Employer Est.),,Unknown,,,,,,,,,,,,,,,165,,
"Siemens
4.1",Associate Data Scientist,Hong Kong,Hong Kong,"Associate Data Scientist
Siemens Mobility Limited

If you really want to make a difference – make it with us

Mobility goes digital. Siemens Mobility is the world’s leading provider of mobility solutions that enable the efficient, safe and environmentally friendly transport of people and goods – and help improve the quality of everyday life for millions of people in Hong Kong. Driven by innovation, we develop intelligent solutions for the increasing digitalization of the transport sector. Our range of offerings includes rail vehicles, rail automation, road traffic management systems and rail electrification. Our data-driven services offer customers value-added that is unique, and not only in our industry. We are looking for the best talent to shape the technology of the future. Come build your career in one of the best companies in the world! Welcome to visit: https://www.mobility.siemens.com/hk/en.html",HK$20K - HK$50K (Employer Est.),,10000+ Employees,Electronics Manufacturing,Manufacturing,$10+ billion (USD),4.1,85 %,89 %,3.9,3.8,3.7,4.1,3.7,4.1,,,165,https://www.glassdoor.com.hk/Reviews/Siemens-Reviews-E3510.htm,https://www.glassdoor.com.hk/Benefits/Siemens-Benefits-E3510.htm
"MSD
4.2",Data Scientist,Hong Kong Island,Hong Kong,"Job Description
THE OPPORTUNITY
This role involves being a technical contributor on our company's own next best action product, which supports our therapeutic area partners across the organization. You will be developing and writing code to produce reusable modules for analyses, statistical and ML models
This role is catered to a generalist and supports a wide range of possible tasks. These include descriptive statistics, supporting data visualization platforms, building out machine learning and advanced statistical models, which will sometimes be from scratch, and sometimes be from an existing prototype. This will involve understanding essential statistical and programming methods that ensure low bias models and parameterizing and modularizing code to support future model scalability and efficiency

Regular
Domestic
1",HK$20K - HK$50K (Employer Est.),,10000+ Employees,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),4.2,88 %,94 %,4.0,3.7,4.1,4.1,3.6,3.8,,,165,https://www.glassdoor.com.hk/Reviews/MSD-Reviews-E550581.htm,https://www.glassdoor.com.hk/Benefits/MSD-Benefits-E550581.htm
"Keyteo
4.2",Data Scientist - Hong Kong - (M/F),Hong Kong,Hong Kong,"Context of the job
KEYTEO Hong Kong is hiring a new permanent Consultant to work as Data Scientist for a project at one of our clients in the financial industry.
The Consultant will work full time onsite at the client.
Activities
The Data Scientist will work with the client's team, his/her responsibilities include:

Leverage data and machine learning technologies to transform data and text into actionable insights
Become an integral part of the product growth team while working closely with data and marketing

Required profile
Salary",HK$20K - HK$50K (Employer Est.),,201 to 500 Employees,Business Consulting,Management & Consulting,$25 to $50 million (USD),4.2,82 %,6 %,2.8,4.1,3.8,4.0,3.8,4.2,,,165,https://www.glassdoor.com.hk/Reviews/KEYTEO-Reviews-E1366784.htm,https://www.glassdoor.com.hk/Benefits/KEYTEO-Benefits-E1366784.htm
"Standard Chartered
3.9",Data Scientist - Mox,Quarry Bay,Hong Kong,"Job: Data and Analytics
Primary Location: Asia-Hong Kong-Quarry Bay
Schedule: Full-time
Employee Status: Permanent
Posting Date: 03/Oct/2022, 2:19:26 AM
Unposting Date: Ongoing

About Mox
Mox is built by and for the ones who aspire to live life to the fullest – we call them Generation Mox!
The name Mox reflects the endless opportunities we can create, - Mobile eXperience; Money eXperience; Money X (multiplier), eXponential growth, eXploration… it’s all up for us to define together.",HK$20K - HK$50K (Employer Est.),,10000+ Employees,Investment & Asset Management,Finance,$5 to $25 million (USD),3.9,79 %,90 %,3.6,3.7,3.7,3.9,3.4,3.6,,,165,https://www.glassdoor.com.hk/Reviews/Standard-Chartered-Bank-Reviews-E226853.htm,https://www.glassdoor.com.hk/Benefits/Standard-Chartered-Bank-Benefits-E226853.htm
"HKT
2.9",Associate Data Scientist,Hong Kong,Hong Kong,"At The Club@HKT, we believe the power of data relying in the hands of those who know how to transform them into tangible business values. We’re seeking an experienced Data Scientist to work together with our business units to identify hidden opportunities and to create incremental business values. More experienced candidates will also be considered as Senior Data Scientists.
Our ideal team member will have the mathematical, statistical and computer science expertise you’d expect, but a natural curiosity and creative mind that’s not so easy to find. We will rely on you to ask questions, connect the dots, and uncover opportunities that lie hidden within—all with the ultimate goal of realizing the data’s full potential. You will join a team of data scientists and data engineers, and “slice and dice” data using your own methods, creating new visions for the future.

Position overview",HK$20K - HK$50K (Employer Est.),,10000+ Employees,$1 to $5 million (USD),,,2.9,32 %,32 %,3.1,2.5,2.7,2.5,2.5,3.3,,,165,https://www.glassdoor.com.hk/Reviews/HKT-Reviews-E1803995.htm,https://www.glassdoor.com.hk/Benefits/HKT-Benefits-E1803995.htm
"DeepHealth Limited
4.0",Data Scientist,New Territories,Hong Kong,"DeepHealth Limited is a company that focuses on developing innovative technological solutions that solve health-related problems. Our company is looking for a Research Scientist who has a passion for research and development in the healthcare industry.
The appointee will work under the research team to develop innovative technological solutions which contribute to the healthcare industry.
Responsibilities:
· Conduct healthcare-related research for product development
· Explore advanced data analytics methods for analysis
· Provide support on data analysis of products/ services usage",HK$20K - HK$50K (Employer Est.),,Unknown,,,,4.0,100 %,N/A,,4.0,4.0,4.0,4.0,5.0,,,165,https://www.glassdoor.com.hk/Reviews/DeepHealth-Reviews-E4076984.htm,
Thinkcol Limited,Junior Data Scientist,Causeway Bay,Hong Kong,"Company Introduction
ThinkCol Transform is a leading artificial intelligence and data science consultancy firm. Having worked with various Fortune 500 multinational corporates, we transform companies to be more AI and data-driven through 4 dimensions of services – building AI solutions, consulting, heading machine learning and AI corporate trainings and organizing AI events. We aspire companies to always be at the forefront of analysis, insightful and innovative to promote self-sustaining data solutions continuously.
Job Description
With its own data scientists, UI/UX designers and business consultants, ThinkCol Transform is currently looking to expand its team and seeking to hire a data scientist. You will work closely with ThinkCol’s data scientists to develop machine learning models and conduct data science training. As a data scientist, you should be able to understand the business context of our customers, explore data and build analytical models and then present and converse these models to any level of audience.",HK$20K - HK$50K (Employer Est.),"HK$16,000",,,,,,,,,,,,,,,,165,,
"Intact
4.4",Data Scientist Intern/Co-op – Hong Kong – Intact Lab,Hong Kong Island,Hong Kong,"Who needs insurance? Everybody. That keeps us busy. Very busy. At the Intact Lab, we use machine learning, data science, software engineering, AI, agility, UX and design thinking to transform the customer experience for millions of Canadians. Simplifying insurance takes creativity, empathy and hard work. We explore, take risks, make mistakes, and learn all day, every day. Here, innovation is everyone's job. Ready to make your mark?
About the role
Calling all students interested in AI and machine learning! We have several fantastic opportunities for Data Scientist Interns/Co-ops to join our team. We are looking for students who can commit to a minimum of 3 months starting January or July 2023. We also offer 6-12 months placements/co-ops opportunities.
Artificial intelligence is shaping the future of insurance. Our latest lab is located in the Hong Kong Science and Technology Park to turn this vision into a reality. As Canada's largest home, auto and business insurer, we're here to cultivate the next generation of technology and talent. Together, we're helping our customers protect what matters to them most through the power of data science, machine learning and AI.",HK$20K - HK$50K (Employer Est.),,10000+ Employees,Insurance,$5 to $10 billion (USD),,4.4,92 %,97 %,,4.4,4.2,4.5,4.4,4.4,,,165,https://www.glassdoor.com.hk/Reviews/Intact-Reviews-E329903.htm,
