Company Name,Job Title,Location,Country,Job Description,Salary Estimate,Avg Salary,Size,Industry,Sector,Revenue,Rating,Recommend,CEO,Benefits,Opportunities,Comp Benefits,Culture,Management,WorkLife Balance,Pros,Cons,Num Listings,Reviews URL,Benefits URL
"Hewlett Packard Enterprise
4.3",Data Scientist,Bangalore,India,"Data Scientist

This role has been designated as ‘Edge’, which means you will primarily work outside of an HPE office.
Job Description:

Designs, develops and applies programs, methodologies and systems based on advanced analytic models (e.g. advanced statistics, operations research, computer science, process) to transform structured and unstructured data into meaningful and actionable information insights that drive decision making.

Uses visualization techniques to translate analytic insights into understandable business stories (eg. descriptive, inferential and predictive insights).

Embeds analytics into client’s business processes and applications. Combines business acumen and scientific methods to solve business problems.
Engineering
Specialist",₹10L - ₹10L (Glassdoor Est.),"₹10,12,129",10000+ Employees,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.3,90 %,96 %,3.8,3.9,3.6,4.4,3.9,4.3,,,1427,https://www.glassdoor.co.in/Reviews/Hewlett-Packard-Enterprise-HPE-Reviews-E1093046.htm,https://www.glassdoor.co.in/Benefits/Hewlett-Packard-Enterprise-HPE-Benefits-E1093046.htm
Ripik Technology Private Limited,Data Scientist,New Delhi,India,"Company Name - Ripik Technology Private Limited
Job Type - Permanent
Hybrid work culture(2 days work from office and 4 days work from home)
Location - Noida
Need immediate joiners or with maximum 1 month notice period.
Experience - 0-3 years
Job Description -
Expert in 2-3 programming languages and willing to learn more (Python & SQL - must have; Java/Scala/NodeJS - some knowledge/experience); experienced in DEVOPS (GIT & CI/CD tools) and Agile product development",₹10L - ₹10L (Glassdoor Est.),"₹10,00,000",,,,,,,,,,,,,,,,1427,,
"Astrotech Labs
3.5",Data Scientist,Remote,India,"Location:Remote
Department: Research
Employment Type: Full-Time
We are looking for someone for whom spending all day immersed in extracting insights from datasets and developing new simulated data-driven models and interpreting the results for everyone to understand represents a dream job.
Job Description
About AstroTech Labs
AstroTech Labs is a top-tier blockchain development consulting firm dedicated towards shaping the future of Web3. We help clients deliver high impact products by leveraging our expertise in blockchain infrastructure development services and financial incentives design.",₹10L - ₹10L (Glassdoor Est.),,1 to 50 Employees,,,,3.5,N/A,N/A,,,,,,,,,1427,,
"Shell
4.1",Associate Data Scientist,Bangalore,India,"The Role
Typically:
Works within a variety of well-defined and standard R&D techniques, procedures, and practices.
Works under general guidance and work instructions (work is being checked by manager or senior colleagues), which requires the job holder to apply a combination of applied and theoretical knowledge within a well-defined scope. Has knowledge about a specific discipline and may coach less experienced colleagues, but not yet regarded as an internal or external expert.
Supports the Data Analytics team in the design and execution of analytics projects.
Works with data and technology experts to help execute analytics projects and deploy solutions.
Develops optimal analytical models that address the business requirement, with acceptable levels of accuracy.",₹10L - ₹10L (Glassdoor Est.),"₹7,45,802",10000+ Employees,Energy & Utilities,"Energy, Mining, Utilities",$10+ billion (USD),4.1,82 %,89 %,4.2,3.7,3.9,4.1,3.6,3.9,,,1427,https://www.glassdoor.co.in/Reviews/Shell-Reviews-E5833.htm,https://www.glassdoor.co.in/Benefits/Shell-Benefits-E5833.htm
"Alpha Net Consulting
4.6",Data Scientist,India,India,"Data Scientist
Permanant WFH
Strong fundamentals in statistics, mathematics, and ML algorithms (neural networks, tree-based methods, optimizers, super/unsupervised learning, feature engineering)
Comfortable programming (but perhaps stronger stats/math/ML-applications), very comfortable debugging model & data pipelines.
- Strong attention to details - Drives projects forward. Clearly communicates blockers, next steps.
Very comfortable with Python, standard ML/AI frameworks & packages (TensorFlow, XGBoost, Scikit-learn, Pandas, Numpy)",₹10L - ₹10L (Glassdoor Est.),,201 to 500 Employees,Information Technology Support Services,Information Technology,$25 to $50 million (USD),4.6,94 %,94 %,1.0,4.3,4.4,4.5,4.6,4.4,,,1427,,https://www.glassdoor.co.in/Benefits/Alpha-Net-Benefits-E1291204.htm
"Think Future Technologies
4.3",Jr Data Scientist (Remote),Gurgaon,India,"Job Details:
We are currently in need of a Jr. Data Scientist to join our fast-growing team. The ideal candidate will
be intricately involved in running analytical experiments in a methodical manner, and will regularly
evaluate alternate models via theoretical approaches. You will be in the forefront of implementing
new models that tackle real enterprise problems and improving existing models. This is the perfect
opportunity for the successful candidate to become a part of an innovative and energetic team that
develops analysis tools which will influence both our products and clients.
Roles & Responsibilities:",₹10L - ₹10L (Glassdoor Est.),"₹5,69,126",201 to 500 Employees,Information Technology Support Services,Information Technology,$5 to $25 million (USD),4.3,94 %,97 %,3.9,4.2,4.0,4.3,4.1,4.2,,,1427,https://www.glassdoor.co.in/Reviews/Think-Future-Technologies-Reviews-E507016.htm,https://www.glassdoor.co.in/Benefits/Think-Future-Technologies-Benefits-E507016.htm
"Siemens
4.1",Data Scientist,Goa,India,"Smart Infrastructure Division in Siemens Ltd. is one of the leading global suppliers of products, systems, solutions, and services for the efficient, reliable, and intelligent transmission and distribution of electrical power. As the trusted partner for the development and extension of an efficient and reliable power infrastructure that industry and the portfolio they need.

This includes facilities and systems for the low-voltage and distribution power grid level, smart grid and energy automation solutions, power supply for industrial plants, and high-voltage transmission systems.

We make real what matters. This is your role...

You have an experience in Spark, Hadoop, HBase, SCALA, NoSQL, Java, Big Data, Solr, Python, Machine Learning, information retrieval.

Possess a desirable skills hands on experience in developing recommender systems at production scale and exposure towards DevOps and containers like Docker.",₹10L - ₹10L (Glassdoor Est.),,10000+ Employees,Electronics Manufacturing,Manufacturing,$10+ billion (USD),4.1,85 %,N/A,3.8,3.8,3.7,4.1,3.7,4.1,,,1427,https://www.glassdoor.co.in/Reviews/Siemens-Reviews-E3510.htm,https://www.glassdoor.co.in/Benefits/Siemens-Benefits-E3510.htm
Hellowork Technologies Pvt Ltd,Data Scientist,Mumbai,India,"ROLES AND RESPONSIBILITIES * Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions. * Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies. * Assess the effectiveness and accuracy of new data sources and data gathering techniques. * Develop custom data models and algorithms to apply to data sets. * Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes. SKILLSET REQUIRED * Strong problem-solving skills with an emphasis on product development. * Experience using statistical computer languages (R, Python, SQL, etc.) to manipulate data and draw insights from large data sets. * Experience working with and creating data architectures. * Knowledge of statistical techniques and concepts is preferred (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications. * Excellent written and verbal communication skills for coordinating across teams. * A drive to learn and master new technologies and techniques. CANDIDATE MUST HAVE * R, Python, SQL * Data architectures.",₹10L - ₹10L (Glassdoor Est.),"₹12,84,568",Unknown,,,,,,,,,,,,,,,1427,,
Deets Digital,Data Scientist,Bangalore,India,"As a Data Scientist you will become a core member of DeetsDigital’s data science team and execute projects / tasks in the best interest of client, taking ownership of your own projects
You will have a unique opportunity to be hands on and shape all stages of an interesting data science project. This includes a large variety of tasks for which your analytical skills coupled with solid technical knowledge are a key requirement. This role will give you the opportunity to:
Ø Develop and deploy Machine Learning algorithms for the analysis of diverse datasets
Ø Work with internal as well as external data partners to execute and deploy the solutions, respectively
Ø Lead from the front and guide not only junior team members to learn but sr. team members also in fine tuning their approach towards solutioning",₹10L - ₹10L (Glassdoor Est.),"₹15,00,000",,,,,,,,,,,,,,,,1427,,
Stackapps IT Services Pvt Ltd,Data Scientist,Hyderābād,India,"Hi,We are hiring for one of my client,eligible students can apply.
Job Location : Madhapur,Hyd.
Qualification: Any degree with good communication skills.
Required Skills: Python,Datascience
Job Type: Full-time
Salary: ₹500,000.00 - ₹800,000.00 per year
Schedule:
Day shift",₹10L - ₹10L (Glassdoor Est.),"₹6,50,000",,,,,,,,,,,,,,,,1427,,
