Company Name,Job Title,Location,Country,Job Description,Salary Estimate,Avg Salary,Size,Industry,Sector,Revenue,Rating,Recommend,CEO,Benefits,Opportunities,Comp Benefits,Culture,Management,WorkLife Balance,Pros,Cons,Num Listings,Reviews URL,Benefits URL
"Pico
3.4",Graduate Data Scientist,Dublin,Ireland,"The Role

We have open positions for highly qualified, creative graduates holding a degree in an engineering, scientific or quantitative discipline to join our award-winning Data Science team based in Dublin.

As a Data Scientist at Pico, you will have opportunities to

Apply advanced data science and machine learning techniques to solve challenging problems in the world of financial markets technology.
Work with customer-facing teams to understand and meet the needs of Pico’s end-users.",€51K - €76K (Glassdoor Est.),"€62,152",201 to 500 Employees,Financial Transaction Processing,Finance,$5 to $25 million (USD),3.4,51 %,65 %,5.0,3.3,3.4,3.0,3.0,2.9,,,76,https://www.glassdoor.ie/Reviews/Pico-Reviews-E832086.htm,https://www.glassdoor.ie/Benefits/Pico-Benefits-E832086.htm
"Musgrave
3.2",Data Scientist,Dublin,Ireland,"Musgrave is one of the Europe’s most successful family-owned businesses with a 140-year heritage in food and brand innovation, supporting communities across the island of Ireland and Spain.
Every day we feed one in three people in Ireland through 11 market leading food and beverage brands that include SuperValu, Centra, Frank and Honest and Musgrave Market Place. We are proud to support thousands of retail and foodservice family businesses who live and work in the heart of the communities they serve.
Our Data and Analytics team is expanding, and we are looking for passionate and talented Data Scientists to join the team and make Musgrave a truly data driven company. You will use advanced analytics and big data technologies to help us make smarter decisions; personalising customer’s needs across all channels, implementing more efficient processes, optimising marketing spend and driving new data-based income streams.
Reporting to the Head of Data & Analytics and working across Retail, Wholesale and Support areas, the main responsibilities of the role will include:",€51K - €76K (Glassdoor Est.),"€54,410",5001 to 10000 Employees,Wholesale,Retail & Wholesale,$2 to $5 billion (USD),3.2,43 %,68 %,3.4,2.7,2.5,3.0,2.8,2.7,,,76,https://www.glassdoor.ie/Reviews/Musgrave-Group-Reviews-E12849.htm,https://www.glassdoor.ie/Benefits/Musgrave-Group-Benefits-E12849.htm
VRAI,Data Scientist,Dublin,Ireland,"Data Scientist
About Us
We are democratising simulation training by bringing high end simulation capability, once the sole domain of elite roles such as pilots, surgeons and F1 drivers, to whoever needs it, whenever they need it, wherever they need it
Our insight is that VR, as well as being a great way of presenting data to a user, is also an incredibly powerful data capture medium. We combine virtual reality technology with data capture, analysis and machine learning (ML) in order to measure, evaluate and predict human performance and improve training outcomes.
VR simulation has the added benefit of reducing the cost and carbon footprint of traditional training. We are focussed on helping customers in aerospace, defence and offshore wind, working through both MoDs and OEM/Primes.",€51K - €76K (Glassdoor Est.),"€70,000",,,,,,,,,,,,,,,,76,,
"Health Service Executive
3.6","Grade VIII, Senior Data Scientist",Dublin,Ireland,"Job Title:
NRS12769 - Grade VIII, Senior Data Scientist

Reference:
NRS12769

Contract Type:
Permanent Wholetime
Permanent Part-time
Specified Purpose Wholetime
Specified Purpose Part-time

Closing date:
17/10/2022 15:00",€51K - €76K (Glassdoor Est.),"€32,829",5001 to 10000 Employees,National Services & Agencies,Government & Public Administration,$10+ billion (USD),3.6,67 %,69 %,3.2,3.3,3.1,3.1,2.8,3.2,,,76,https://www.glassdoor.ie/Reviews/Health-Service-Executive-Reviews-E229579.htm,https://www.glassdoor.ie/Benefits/Health-Service-Executive-Benefits-E229579.htm
"Alldus
4.7",Data Scientist,Dublin,Ireland,"Data Scientist (Mid-Level)

Dublin, Ireland

About the Company:

Our client is an innovative Virtual Reality organisation who create data driven VR simulation training for hazardous environments. They have created a training programme that combines authentic virtual training environments with cutting edge data capture and analytics capability. Machine Learning plays a big role in the ability to measure, predict and evaluate the performance of people at risk of danger in their role, which allows companies to improve training outcomes. This training allows organisations whose activities are Risky, Remote or Rare to measure, evaluate & predict performance.



As the Data Scientist you will have senior AI/ML direction from internationally recognised Professors of AI/ML and also be expected to operationalise guidance, lead a junior scientist and work with a cross functional group of colleagues and stakeholders to deliver outcomes.



Our client is looking for a Data Scientist to join their data team to work on developing machine learning (ML) algorithms. This role will be centred on the large simulation related datasets our client has gathered, helping to develop predictive analytics, and work towards their product vision of an adaptive learning environment.

The ideal candidate should have previous experience in applying ML concepts to design, prototype, and build complex, scalable, and sustainable services and products.",€51K - €76K (Glassdoor Est.),"€51,962",1 to 50 Employees,,,,4.7,93 %,N/A,,4.7,4.7,4.7,4.7,4.7,,,76,https://www.glassdoor.ie/Reviews/Alldus-International-Reviews-E2428039.htm,
"Mastercard
4.3",Principal AI/ML Engineer - Graph,Dublin,Ireland,"Our Purpose
We work to connect and power an inclusive, digital economy that benefits everyone, everywhere by making transactions safe, simple, smart and accessible. Using secure data and networks, partnerships and passion, our innovations and solutions help individuals, financial institutions, governments and businesses realize their greatest potential. Our decency quotient, or DQ, drives our culture and everything we do inside and outside of our company. We cultivate a
culture of inclusion
for all employees that respects their individual strengths, views, and experiences. We believe that our differences enable us to be a better team – one that makes better decisions, drives innovation and delivers better business results.
Job Title
Principal AI/ML Engineer - Graph
Principal Machine Learning Engineer – Graph based AI/ML Products

Mastercard is a global technology company. Our mission is to connect and power an inclusive, digital economy that benefits everyone, everywhere by making payment and data transactions safe, simple, smart, and accessible. Using secure data and networks, partnerships and passion, our innovations and solutions help individuals, financial institutions, governments, and businesses realize their greatest potential.

Overview
ML Engineering team leads AI/ML deployments across Mastercard platforms. The team is

responsible for planning the implementation of solutions, choosing the right technologies, and evaluating the evolution of the architecture as the needs change.

For this team, MasterCard is seeking a Principal Machine Learning Engineer who is passionate about implementation of Graph ML assets across platform (on premise, on cloud, hybrid). The person would be working closely with Program Team as well as Data Science team.

You will be responsible for:

Lead a portfolio and technical roadmap for Graph Machine Learning within Mastercard’s Cyber and Intelligence.

Work with different Data Science and Product Teams to understand their graph machine learning needs and translate them into requirements

Managing complex initiatives to ensure overall success, including scope, resourcing, and timely quality deliverables that meet stated goals

Responsible for deploying modern and large scale E2E Graph ML solutions

Provide technical leadership in everything from architectural design and service technologies.

Take ownership of production systems with a focus on delivery, continuous integration, and automation of machine learning workloads

Provide technical mentorship, guidance, and quality-focused code review to data scientists and ML engineers

All about you:

Experience working in AI/ML technology domain or similar

Demonstrated ability to build E2E graph ML products in an enterprise environment

Fluency in building and deploying software using modern engineering practices

Fluent in Graph ML Algorithms with demonstrated ability to implement them at scale in an enterprise environment

Proficiency with Python programming and machine learning libraries such as NumPy, Pandas, Scikit-learn, Tensorflow and/or PyTorch

Experience with Continuous Integration/Continuous Deployment (CI/CD) tools such as Jenkins

Self-starter and self-motivated with the proven ability to deliver results in a fast-paced, high-energy environment

Critical thinker who questions the status quo and strives for improvement

Excellent communication/presentation skills

We understand that you may not have all the criteria on this list. If you believe you have relevant experience and the capability to fulfil this role, we strongly encourage you to apply.",€51K - €76K (Glassdoor Est.),"€64,206",10000+ Employees,Financial Transaction Processing,Finance,$5 to $10 billion (USD),4.3,90 %,94 %,4.3,4.1,4.1,4.4,3.9,4.2,,,76,https://www.glassdoor.ie/Reviews/Mastercard-Reviews-E3677.htm,https://www.glassdoor.ie/Benefits/Mastercard-Benefits-E3677.htm
"WorkFusion
4.2",Sr. Data Scientist,Dublin,Ireland,"About us
Our mission is to accelerate the world’s transition to more meaningful work. By automating repetitive, data-intensive tasks and processes at scale, WorkFusion eliminates mundane business activities so companies can serve their customers faster and better. As a world leader in process automation for banking, financial services, and insurance, we offer an unrivaled digital workforce platform that enables enterprises to increase workforce capacity, enhance customer satisfaction, and ensure ongoing compliance. We compete in the world’s fastest-growing software segment and are growing at record pace with customers and team members spanning the globe.

Position
WorkFusion is looking for a skilled Sr. Data Scientist to join our NYC team in building exciting new automation capability through design and implementation of cutting-edge AI. This position requires a data scientist with a deep understanding of Machine Learning techniques and hands-on experience applying them to solve business problems. At WorkFusion, we apply machine learning and statistical techniques to classify and extract relevant information from vast amounts of structured and unstructured documents. This role encompasses data acquisition, feature engineering, model development and experimentation. An objective, data-driven approach to experimentation, combined with the ability to fit research to business objectives are key to success. In addition to active teamwork within our talented data science team; this role requires collaboration with Data Analysts, Professional Services, Product and other business stakeholders. This role presents the unique opportunity to apply machine learning and achieving tangible business outcomes while learning and growing professionally with a cross-cultural and talented Data Science team.",€51K - €76K (Glassdoor Est.),"€56,942",201 to 500 Employees,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.2,77 %,100 %,,4.1,4.3,4.1,4.1,4.0,,,76,https://www.glassdoor.ie/Reviews/WorkFusion-Reviews-E1106867.htm,
"Core
4.1",Senior Data Scientist,Dublin,Ireland,"Data Practice: Senior Marketing Data Scientist
Core’s Data Practice combines evidence-based insights with advanced Marketing Data Science and creative planning to achieve more effective outcomes for our clients.
Core Data’s range of solutions spans the full breadth of marketing science and data analytics, enabling clients to make better business and marketing decisions on their marketing strategy and investment.
Core Data are now recruiting a Senior Marketing Data Scientist whose will work on challenging data science projects with leading Irish and Global brands, across Auto, Financial Services, Utilities, FMCG, Retail, etc.
This role is suitable for accomplished data scientists who have a strong interest in marketing & business strategy. The projects will push you to create innovative approaches and give you plenty of opportunities to grow both your technical skills and business acumen.",€51K - €76K (Glassdoor Est.),"€67,500",201 to 500 Employees,Advertising & Public Relations,Media & Communication,$100 to $500 million (USD),4.1,86 %,N/A,4.2,3.7,3.4,4.3,3.9,3.5,,,76,https://www.glassdoor.ie/Reviews/Core-Reviews-E900287.htm,https://www.glassdoor.ie/Benefits/Core-Benefits-E900287.htm
"EATON
3.9",Senior Data Scientist,Dublin,Ireland,"Would you like to make a difference to the environment? Do you want to work for a global and ethical company? Join us and help us provide energy-efficient solutions that make a real impact. We make what matters work.
Centre for Intelligent Power located at Eaton’s global headquarters in Dublin, applies data science to transform all aspects of our company. We’re working on solving the technical challenges of today’s digital world, while developing groundbreaking technology that’s going to power the next generation of futuristic products and services. Our multidisciplinary team of data scientists, data engineers and UX/UI designers are developing products based on AI, Edge computing and Machine learning.
We’re continuing to expand our organisation and now recruiting a Senior Data Scientist who is passionate about his or her craft. The Data Scientist will be directly involved in the application of statistics, machine learning, and analytic approaches to answer challenging business questions. This work will help businesses across the enterprise solve critical business problems, uncover new business opportunities, and turn their large volumes of data into valuable, actionable insights.",€51K - €76K (Glassdoor Est.),"€72,689",10000+ Employees,Electronics Manufacturing,Manufacturing,$10+ billion (USD),3.9,80 %,85 %,3.5,3.6,3.7,3.9,3.4,3.7,,,76,https://www.glassdoor.ie/Reviews/Eaton-Reviews-E221.htm,https://www.glassdoor.ie/Benefits/Eaton-Benefits-E221.htm
"DX Compliance Solutions
2.7",Junior Data Scientist,Dublin,Ireland,"COMPANY OVERVIEW

Our Mission is to make compliance for Banks and FinTechs easier by providing innovative AML compliance software, protecting Banks & FinTechs against $Multi-Billion fines by changing the way that AML Transactions Monitoring is done.

JOB OVERVIEW

We’re looking for a smart Data Scientist to join our growing team, who is willing to take the responsibility for developing a product based on AI and Machine learning.",€51K - €76K (Glassdoor Est.),,1 to 50 Employees,,,,2.7,52 %,N/A,,2.7,2.8,2.7,2.7,3.4,,,76,https://www.glassdoor.ie/Reviews/DX-Compliance-Solutions-Reviews-E3670351.htm,
"Creme Global
3.9",Data Scientist/Statistical and Mathematical Modeller - Dublin 2,Dublin,Ireland,"Creme Global is an award-winning data science company with international customers and partners. Our clients include multinational companies, industry groups, government agencies and academic institutions in the food, cosmetics and chemicals industries. Creme Global’s multidisciplinary team, with backgrounds in mathematics, nutrition, physics, food science, computer science, economics and business develops and deploys our own cloud-based data science platform-product systems and provides scientific and technical services to meet our client's needs.
Creme Global is looking for an exceptional statistical modeller or data scientist who would enjoy working on challenging international client projects and being part of a scientific, dynamic and innovative Dublin city-centre-based company.
This role will involve working on a team of mathematical modellers, data engineers and software developers to design, develop and deploy our range of data applications and projects. Current projects include systems to gather and anonymise data and develop scientific and machine learning models which assess food safety and chemical risks to consumers in many areas including agriculture, cosmetics, bacteria growth, new food product development and the chemical/pesticide industry.",€51K - €76K (Glassdoor Est.),"€35,000",1 to 50 Employees,Computer Hardware Development,Information Technology,Less than $1 million (USD),3.9,73 %,63 %,,3.5,3.0,4.0,3.7,4.2,,,76,https://www.glassdoor.ie/Reviews/Creme-Global-Reviews-E425684.htm,
"Tata Consultancy Services
3.9",Data Scientist,Letterkenny,Ireland,"Job Type
Permanent
Category
IT
Location
Letterkenny, County Donegal, Ireland
Office Location
Job Details",€51K - €76K (Glassdoor Est.),"€57,946",10000+ Employees,Computer Hardware Development,Information Technology,$10+ billion (USD),3.9,75 %,86 %,3.7,3.7,3.1,4.0,3.3,3.9,,,76,https://www.glassdoor.ie/Reviews/Tata-Consultancy-Services-Reviews-E13461.htm,https://www.glassdoor.ie/Benefits/Tata-Consultancy-Services-Benefits-E13461.htm
"Barclays
4.0",FLM Liquidity Data Science AVP,Dublin,Ireland,"FLM Liquidity Data Science
Dublin, Ireland
As a FLM Liquidity Data Science you will form part of the Funding and Liquidity Management (FLM) team with the purpose of managing the day to day liquidity of Barclays Europe. The role will be focused on Business Intelligence to gain insights into client funding flows and behaviour, identify patterns and develop forecasting. The role will also be focused on streamlining liquidity data flows and lineage, including providing oversight for the shared service reporting provider.

Barclays is one of the world's largest and most respected financial institutions, with 329 years of success, quality and innovation behind us. We offer careers that provide endless opportunity – helping millions of individuals and businesses thrive, and creating financial and digital solutions that the world now takes for granted.

We are currently operating in a hybrid working environment, meaning that many colleagues spend part of their working hours at home and part in the office, depending on the nature of the role they are in. Please discuss the detail of the working pattern options for the role with the hiring manager.

We’re committed to providing a supportive and inclusive culture and environment for you to work in. This environment recognises and supports ways to balance your personal needs, alongside the professional needs of our business. Providing the opportunity for all our employees, globally to work flexibly empowers each of us to work in a way that suits our lives as well as enabling us to better service our customers’ and clients’ needs. Whether you have family commitments or you’re a carer, or whether you need study time or wish to pursue personal interests, our approach to working flexibly is designed to help you balance your life.
If you would like some flexibility then please discuss this with the hiring manager, and your request will be reviewed subject to business needs.

We are currently in the early stages of implementing a hybrid working environment, which means that many colleagues spend part of their working hours at home and part in the office, depending on the nature of the role they are in. We’re flexible on how this works and it may continue to change and evolve. Depending on your team, typically this means that colleagues spend a minimum of between 20% to 60% of their time in the office, which could be over a week, a month or a quarter. However, some colleagues may choose to spend more time in the office over a typical period than their role type requires. We also have a flexible working process where, subject to business needs, all colleagues globally are able to request work patterns to reflect their personal circumstances
Please discuss the detail of the working pattern options for the role with the hiring manager.


This role is deemed as a Controlled Function role under the Central Bank of Ireland Fitness and Probity Regulations and may require the role holder to hold mandatory regulatory qualifications or the minimum qualifications to meet internal company benchmarks.


• Providing near real time monitoring of key funding and liquidity metrics


• Proficient user of Excel


• Experience with programming languages such as Python or ‘R’


You will be based in our new flagship office, One Molesworth Street, which is in the heart of Dublin city centre. We are currently expanding which drives a culture of change and hard work ethic, nonetheless the company maintains an open, friendly atmosphere. This is enhanced through our unique onboarding programs and a number of committees which all employees are eligible to join.",€51K - €76K (Glassdoor Est.),,10000+ Employees,Banking & Lending,Finance,$10+ billion (USD),4.0,80 %,87 %,3.0,3.7,3.8,4.0,3.5,3.9,,,76,https://www.glassdoor.ie/Reviews/Barclays-Reviews-E3456.htm,https://www.glassdoor.ie/Benefits/Barclays-Benefits-E3456.htm
