Company Name,Job Title,Location,Country,Job Description,Salary Estimate,Avg Salary,Size,Industry,Sector,Revenue,Rating,Recommend,CEO,Benefits,Opportunities,Comp Benefits,Culture,Management,WorkLife Balance,Pros,Cons,Num Listings,Reviews URL,Benefits URL
"Hyntelo srl
5.0",Jr Data Scientist,Italia,Italia,"The Role
Hyntelo is seeking a Junior Data Scientist to join our Engineering and Data Science team in Pisa.
Your main responsibilities will be to develop ETL solutions, predictive models by leveraging machine learning algorithms and POCs based on the requests of our clients. You are proactive, you have strong critical thinking and you like developing code to train machine learning model and test them on real use cases.
Requirements
Strong knowledge of python (pandas, numpy, scikit-learn)
Good knowledge of statistics and machine learning
Basic knowledge of natural language processing and computer vision
Basic knowledge of code versioning (git)
Plus:
Soft skills:",5378 € (Stima azienda),,Da 51 a 200 dipendenti,Sviluppo di software,IT (Information Technology),Sconosciuto/Non applicabile,5.0,100 %,N/A,,4.0,4.0,5.0,5.0,5.0,,,141,,
"Thermo Fisher Scientific
3.8",Formulation Development and Analytical Development Scientist,Ferentino,Italia,"The Formulation and Analytical Development Scientist is required to be technical leader in formulation projects and point of reference for Customers. The scientist works with a multidisciplinary project team for the success of the project and customer satisfaction.
Main activities:
Plan routine tasks and sample analyses to support formulation and process development including formulation buffers preparation, buffer exchange, analytical testing panel.
Draw up Master Batch Record and Protocol describing process step, laboratory techniques, calculations, materials measurement, operation of laboratory equipment.
Ensure, via email, conference calls and meetings, an appropriate and clear communication with customers relating to the analytical and formulation activities followed.
In agreement with his Supervisor, is responsible for planning activities for the assigned projects in line with the related project plans.
Requirement
Soft skills:
EDUCATION & EXPERIENCE
PhD, BA or MS in Chemistry/ Pharmacy/ Biological Sciences or similar.
Good knowledge of Microsoft Office (Microsoft Word, Excel, Powerpoint).
Pharmaceutical background or previous experience in R&D Company.
At least 3-5 years in technical field or in a related area (QC, AD,FD).
English fluent.",5378 € (Stima azienda),,Oltre 10.000 dipendenti,Biotecnologia e farmaceutica,Farmaceutico e biotecnologico,Più di $ 10 miliardi (USD),3.8,77 %,91 %,3.7,3.7,3.6,3.8,3.4,3.5,,,141,https://www.glassdoor.it/Recensioni/Thermo-Fisher-Scientific-Recensioni-E658.htm,https://www.glassdoor.it/Benefits/Thermo-Fisher-Scientific-Benefits-E658.htm
"PwC
3.7",Junior Data Scientist - Milano [CNS],Italia,Italia,"Line of Service
Advisory
Industry/Sector
FS X-Sector
Specialism
Data, Analytics & AI
Management Level
Associate
Vuoi essere al centro di prospettive di crescita uniche?
Entra nella practice Technology Consulting di PwC e diventa:",5378 € (Stima azienda),,Da 5.001 a 10.000 dipendenti,Contabilità e imposte,Finanza,$ 500 milioni - $ 1 miliardo (USD),3.7,86 %,89 %,3.2,4.0,3.1,3.6,3.6,2.6,,,141,,https://www.glassdoor.it/Benefits/PwC-Benefits-E8450.htm
"Amazon EU SARL (Italy Branch)
3.8",2023 Data Science Internship,Torino,Italia,"Enrolled in Master’s or Ph.D. degree in math, statistics, computer science, or related science field.
Understanding of Machine Learning, Deep Learning, Forecasting, Experiments and Causal Inference
Proficiency in model development, model validation and model implementation
Experience with MySQL/PostgreSQL/Redshift
Proficiency with data scripting languages (e.g. SQL, Python, R etc.) or statistical/mathematical software (e.g. R, SAS, or Matlab)
Great design and problem-solving skills, passion for quality and engineering excellence at scale
Job summary

Please note we may also have internship opportunities in Austria, France, Germany, Ireland, Luxembourg, Israel, Spain, Poland, UK

Are you a MS or PhD student interested in a 2023 Internship in Data Science? At Amazon, we're working to be the most customer centric company on earth. To get there, we are looking for motivated and talented driven people.

If you’re insatiably curious and always want to learn more, then you’ve come to the right place. Depending on your location, country, job status and other requirements, some or all of the following benefits may be available to you as an intern.

We are looking for a customer obsessed Data Scientist Intern who can innovate in a business environment, building and deploying machine learning models to drive step-change innovation and scale it to EU/worldwide. If this describes you, come join our data science teams at Amazon for an exciting internship opportunity.

If you’re successful during your internship, you could be considered for a graduate role after finishing your university studies

Internship start dates vary throughout the year. Internship length can vary between 3 - 6 months for Full Time and 6 - 12 months for Part Time.

Key job responsibilities
Please note this is not a remote internship opportunity

EU Student Programs Team

Amazon is an equal opportunities employer. We believe passionately that employing a diverse workforce is central to our success. We make recruiting decisions based on your experience and skills. We value your passion to discover, invent, simplify and build. Protecting your privacy and the security of your data is a longstanding top priority for Amazon. Please consult our Privacy Notice (https://www.amazon.jobs/en/privacy_page) to know more about how we collect, use and transfer the personal data of our candidates.",5378 € (Stima azienda),,Oltre 10.000 dipendenti,Servizi Internet e web,IT (Information Technology),Più di $ 10 miliardi (USD),3.8,74 %,80 %,3.9,3.9,3.9,3.7,3.5,3.4,,,141,,https://www.glassdoor.it/Benefits/Amazon-Benefits-E6036.htm
"DiaSorin
3.3",Molecular R&D Scientist,Bresso,Italia,"Your Mission
Responsible for initiating & executing scientific research and/or development strategies for the company in collaboration with the team. lnvestigates the feasibility of applying scientific principles & concepts to potential inventions, products & problems. Executes laboratory research. Maintains broad knowledge of state-of-the-art principles & theories. May act as spokesperson on corporate research & development.
Main Responsibilities
Your Contributions
Investigates the feasibility of applying scientific principles & concepts to potential inventions, products & problems.
Executes and may to plan laboratory research as for a project or projects.",5378 € (Stima azienda),,Da 1.001 a 5.000 dipendenti,Biotecnologia e farmaceutica,Farmaceutico e biotecnologico,$ 100 - $ 500 milioni (USD),3.3,49 %,89 %,2.5,3.1,3.5,3.0,2.6,3.2,,,141,,https://www.glassdoor.it/Benefits/DiaSorin-Benefits-E361582.htm
Modelway SRL,Data Scientist,Italia,Italia,"Company Description
Modelway is a software engineering company, expert in AI Solutions, New Generation Control System and Numerical Optimization. By exploiting the data of a system, our mission is to develop and engineer software solutions in the world of engineering such as virtual sensors, prediction algorithms, digital twins, data analytics, deep learning, controls, and optimizations. We operate as R&D and innovation suppliers for several companies in automotive, railway, energy and industry 4.0.
Job Description
Modelway is looking for passionate talented Data Scientist with background in Machine Learning and Deep Learning.
The profile we are interested in, is a flexible person with a good knowledge of AI to face the industry challenges.
If you have these interests, Modelway could be a challenging opportunity for you.",5378 € (Stima azienda),,,,,,,,,,,,,,,,,141,,
"Blutec Srl
3.5",Data Scientist,Trento,Italia,"In Blutec offriamo consulenza di alto livello per la progettazione di soluzioni informatiche per efficientare la gestione HR, grazie alla collaborazione con Zucchetti che ci ha portati ad essere Top Partner, utilizzando tutti gli applicativi della Suite HR Zucchetti.
Negli ultimi anni il nostro servizio si è arricchito aggiungendo, alla consulenza informatica nel mondo degli applicativi HR, consulenza negli ambiti:
Payroll in outsourcing
Energy
People Management
Privacy
Progettiamo soluzioni ad hoc per i nostri clienti in tutta Italia e abbiamo sede a Rimini, Bologna, Milano e Trento.",5378 € (Stima azienda),,Da 1 a 50 dipendenti,,,,3.5,79 %,N/A,,2.8,3.6,3.2,2.1,2.9,,,141,,
"Musixmatch
4.8","Data Scientist, Machine Learning & AI",Bologna,Italia,"ABOUT MUSIXMATCH:

Musixmatch is the leading music metadata company, featuring the world’s largest lyrics catalog and +70M user contributors. Musixmatch is the trusted global partner of companies like Spotify, Apple, Amazon Music, Meta, Google, MTV, Shazam, Vevo and has a partnership with +100,000 music publishers including Sony/ Music Publishing, Universal Music Publishing, Warner/Chappell, Kobalt, BMG Rights, and the Harry Fox Agency.

We are a bunch of creatives who care about our work and what we do. We believe that participation and collaboration are key to getting things done well. We are looking for tech-savvy people who are eager to learn in a fast-paced environment, who have an international outlook on life, and who love taking on new challenges.

For our AI & Machine Learning team we’re now looking for a Data Scientist, Machine Learning & AI Engineer in our HQ in Bologna (Italy).",5378 € (Stima azienda),,Da 51 a 200 dipendenti,Hardware,IT (Information Technology),Sconosciuto/Non applicabile,4.8,97 %,97 %,4.0,4.3,4.5,4.8,4.7,4.6,,,141,https://www.glassdoor.it/Recensioni/Musixmatch-Recensioni-E1173061.htm,https://www.glassdoor.it/Benefits/Musixmatch-Benefits-E1173061.htm
i-EM,Data Scientist,Italia,Italia,"Location: Via Lampredi 45, 57121 – Livorno – Italy
Keywords: Data Science, Machine learning, Deep Learning, Python, Renewable energies, smart grids, e-mobility
Role Code: IEMDSC_2022002
i-EM is looking for a professional to be included in the Data Science team to develop, train, and deploy Machine Learning models for the energy sector customer needs.
The models to be developed include:
Renewable power plants simulation
Automatic anomaly detection
Production Forecasting",5378 € (Stima azienda),,Sconosciuto,,,,,,,,,,,,,,,141,,
Rationence SRL,Junior Data Scientist,Italia,Italia,"Rationence S.r.l. nasce a Milano nel gennaio 2015 come società di consulenza nel campo della Business Intelligence e degli Analytics.
L’attenzione alla persona e la formazione continua delle risorse costituiscono i valori guida della mission aziendale.
Sviluppiamo progetti innovativi ad alto valore aggiunto, proponendoci ai clienti come punto di riferimento nella creazione di soluzioni finalizzate alla trasformazione dei dati aziendali in conoscenza a supporto del business.
Siamo alla ricerca di neolaureati con passione per i dati, da formare e inserire come Junior Data Scientists nel nostro team su progetti di Business Intelligence ed Analytics.
Requisiti:",5378 € (Stima azienda),,,,,,,,,,,,,,,,,141,,
"Credit Agricole
3.7",Data Scientist Junior M/F,Parma,Italia,"Informazioni generali

Entità

Il Gruppo bancario Crédit Agricole Italia, attraverso le banche commerciali Crédit Agricole Italia e Crédit Agricole FriulAdria, è presente sul territorio nazionale con oltre 1.100 punti vendita in 11 regioni ed è settimo player bancario per masse amministrate con circa 10.000 dipendenti e oltre 2 milioni di clienti. Completano il Gruppo, Crédit Agricole Leasing Italia e Crédit Agricole Group Solutions.

Responsabilità, orientamento al cliente e alle persone, fiducia, innovazione sono i valori che ispirano il Gruppo e che si concretizzano nel payoff “Una grande banca, tutta per te”:

Una grande banca, solida e affidabile, parte del Gruppo Crédit Agricole che conta 52 milioni di clienti in 49 Paesi nel mondo
Riferimento

2022-64093

Data di pubblicazione

24/01/2022

Descrizione dell'incarico
Funzione aziendale

Tipo di Funzione Crédit Agricole S.A. - Operations
Altre funzioni aziendali

Tipo di Funzione Crédit Agricole S.A. - Marketing & Comunicazione
Tipo di Funzione Crédit Agricole S.A. - Risk Management / Controlli permanenti
Tipo di Funzione Crédit Agricole S.A. - Crediti
Job Title

Data Scientist Junior M/F
Contratto

Tempo indeterminato
Posizione da Responsabile

No
Mission del ruolo

Il ruolo prevede la gestione dei big data e si focalizza sullo sviluppo di modelli e strategie sulla base delle fonti a disposizione, con lo scopo di effettuare decisioni utili al business aziendale.
Nello specifico l'inserimento potrà avvenire in diverse strutture del Gruppo, e, in base al focus di attività, prevedrà le seguenti attività :
definizione, aggiornamento e sviluppo di nuovi modelli statistico-predittivi “c.d. modelli di propensione” (relazionali e commerciali) attraverso l'analisi di grandi volumi di dati e l'utilizzo di applicativi innovativi;
realizzazione di modelli statistici previsionali, utili al Risk Management e alla Direzione Credito, avvalendosi di tecniche di intelligenza artificiale per la profilazione ed il clustering dei clienti;
definizione dei criteri di segmentazione e sotto-segmentazione della clientela in linea con il modello di servizio, supportandone la messa a terra; supporto le strutture di IT nella definizione dei contenuti e nell’alimentazione di un database unico, funzionale all'individuazione di soluzioni digital innovative; identificazione di nuove fonti informative, anche esterne all’azienda (dati di 3° parti) guidandone l’integrazione con i sistemi aiziendali.
Sede di lavoro
Area geografica

Europa, Italia, Emilia - Romagna, Parma
Sede di lavoro

Parma
Criteri candidato
Livello minimo richiesto d'istruzione

Laurea magistrale/specialistica (5 anni)
Formazione richiesta

Statistica, Ingegneria, Matematica, Informatica.

Livello minimo richiesto di esperienza

0-2 anni
Tipo di esperienza

Sono gradite ma non vincolanti precedenti esperienze in ambito gestione e analisi dati, in contesti anche differenti da quello bancario.

Caratteristiche personali

Competenze tecniche

Sono richieste capacità di analisi e approccio quantitativo (utilizzo di software per l'analisi statistica come SPSS, SAS, Python, R, Hadoop, Spark, Cloudera, Gretl).

Lingue

Inglese B2 e/o Francese B2",5378 € (Stima azienda),,Da 5.001 a 10.000 dipendenti,Investimenti e gestione patrimoniale,Finanza,Più di $ 10 miliardi (USD),3.7,72 %,86 %,3.2,3.4,3.4,3.7,3.3,3.6,,,141,https://www.glassdoor.it/Recensioni/Cr%C3%A9dit-Agricole-Recensioni-E4252.htm,https://www.glassdoor.it/Benefits/Cr%C3%A9dit-Agricole-Benefits-E4252.htm
"PwC
3.7",Junior Data & Analytics Consultant [CNS],Italia,Italia,"Line of Service
Advisory
Industry/Sector
FS X-Sector
Specialism
Data and Analytics Technologies
Management Level
Associate
Vuoi essere al centro di prospettive di crescita uniche?
Entra nella practice Technology Consulting di PwC e diventa:",5378 € (Stima azienda),,Da 5.001 a 10.000 dipendenti,Contabilità e imposte,Finanza,$ 500 milioni - $ 1 miliardo (USD),3.7,86 %,89 %,3.2,4.0,3.1,3.6,3.6,2.6,,,141,,https://www.glassdoor.it/Benefits/PwC-Benefits-E8450.htm
"Allianz Italy
4.0",DATA SCIENTIST - ALLIANZ SPA,Italia,Italia,"The Data Scientist will work withing the Advanced Analytics Solutions, whose mission is to develop and operate analytics and AI assets to improve the Company processes and business results. The Data Scientist will work in close collaboration with other resources from analytics and business users, to identify opportunities for business process improvement and develop appropriate analytical solutions.

KEY RESPONSIBILITIES

Good knowledge of applied statistics, machine learning algorithms, Natural Language Processing and Text Analytics techniques;
Good knowledge of programming languages for data analysis (Python, PySpark);
Skill in analyzing and manipulating large volumes of data, both structured and unstructured, from different sources;",5378 € (Stima azienda),,Oltre 10.000 dipendenti,Investimenti e gestione patrimoniale,Finanza,Più di $ 10 miliardi (USD),4.0,81 %,90 %,3.8,3.6,3.6,3.9,3.5,3.9,,,141,,https://www.glassdoor.it/Benefits/Allianz-Benefits-E3062.htm
"Euronext
3.9","Borsa Italiana - Associate, Junior Data Scientist",Italia,Italia,"Role Responsibilities
The candidate will:
Conducts exploration and investigation of solutions, including utilising artificial intelligence
Undertakes proof of concept design and development to create value for Monte Titoli
Extracts meaning from large scale, structured, unstructured and semi-structured data
Recommends underlying data systems, including big data solutions, and data analytic tool sets

Candidate Profile
The ideal candidate has:
Degree in Data Science, Computer Science, Software Engineering or Electronics / Electrical Engineering, or equivalent",5378 € (Stima azienda),,Da 501 a 1.000 dipendenti,Borse valori,Finanza,$ 100 - $ 500 milioni (USD),3.8,73 %,58 %,,3.3,3.8,3.4,3.3,3.5,,,141,,
"Viatris
3.6",Medical Scientific Liaison,Telelavoro,Italia,"7092 Mylan Italia S.r.l.
At VIATRIS, we see healthcare not as it is but as it should be. We act courageously and are uniquely positioned to be a source of stability in a world of evolving healthcare needs.

Viatris empowers people worldwide to live healthier at every stage of life.

We do so via:

Access – Providing high quality trusted medicines regardless of geography or circumstance;
Leadership – Advancing sustainable operations and innovative solutions to improve patient health; and
Partnership – Leveraging our collective expertise to connect people to products and services.

Every day, we rise to the challenge to make a difference and here’s how the Medical Scientific Liaison role will make an impact:",5378 € (Stima azienda),,Oltre 10.000 dipendenti,Biotecnologia e farmaceutica,Farmaceutico e biotecnologico,Sconosciuto/Non applicabile,3.6,63 %,76 %,5.0,3.3,3.7,3.2,3.0,3.4,,,141,,https://www.glassdoor.it/Benefits/Viatris-Benefits-E4143192.htm
