Company Name,Job Title,Location,Country,Job Description,Salary Estimate,Avg Salary,Size,Industry,Sector,Revenue,Rating,Recommend,CEO,Benefits,Opportunities,Comp Benefits,Culture,Management,WorkLife Balance,Pros,Cons,Num Listings,Reviews URL,Benefits URL
"S&P Global
4.1",Data Scientist,Ciudad de México,México,"As a Data Scientist at S&P Global, you will apply your advanced analytics skills to transform our vast datasets into tangible business value. You will slice and dice data, analyse information, communicate your findings and collaborate on product development. Outcome of your work will serve multiple business purposes, from commercialized software solution development, driving internal business decisions, to consulting external clients.
-
Equal Opportunity Employer:
S&P Global is an equal opportunity employer and all qualified candidates will receive consideration for employment without regard to race/ethnicity, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, marital status, military veteran status, unemployment status, or any other status protected by law. Only electronic job submissions will be considered for employment.",52 k$ - 62 k$ (Est. del Empleador),,Más de 10 000 empleados,Investigación y desarrollo,Administración y consultoría,De $5000 a $10 000 millones (USD),4.1,87 %,95 %,4.0,3.8,3.8,4.3,3.8,4.3,,,145,https://www.glassdoor.com.mx/Evaluaciones/S-and-P-Global-Evaluaciones-E1259396.htm,https://www.glassdoor.com.mx/Benefits/S-and-P-Global-Benefits-E1259396.htm
"Citi
3.9",Data Scientist Jr (C10),Ciudad de México,México,"¿Estás buscando aplicar tus conocimientos como Data Scientist?
¿Quisieras trabajar en una empresa que cuente con la tecnología adecuada, grandes volúmenes de datos de diversas fuentes y aplicar técnicas estadísticas avanzadas para proponer oportunidades de negocio?
En Citibanamex puedes desarrollar, implementar y ajustar soluciones analíticas que sean automáticas, replicables y escalables en distintos lenguajes de programación. Y si disfrutas de un ambiente laboral que promueva el aprendizaje e innovación continua. ¡Tenemos la mejor opción para ti!
Descripción:
Decision Science es un área en dónde analizamos grandes volúmenes de datos de diversas fuentes, con técnicas de análisis innovadoras, combinadas con nuevas plataformas tecnológicas y modelos de última generación, dando soluciones o áreas de oportunidad al negocio.
Decision Management
Specialized Analytics (Data Science/Computational Statistics)
Full time",52 k$ - 62 k$ (Est. del Empleador),,Más de 10 000 empleados,Gestión de activos e Inversiones,Finanzas,Más de $10 000 millones (USD),3.9,77 %,88 %,3.9,3.8,3.8,3.8,3.5,3.5,,,145,https://www.glassdoor.com.mx/Evaluaciones/Citi-Evaluaciones-E8843.htm,https://www.glassdoor.com.mx/Benefits/Citi-Benefits-E8843.htm
"Regroup
3.3",Data Scientist,Trabajo desde casa,México,"Regroup Mass Notification — a global company with headquarters in Dallas — is growing! We currently have openings for a Data Scientist. Regroup believes in working with talented yet humble people who care about our core mission: Keeping communities and organizations safe and informed.

We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help guide and improve our decision making process. We will rely on you to build data products to extract valuable business insights.

Responsibilities:

Develop an understanding of the company’s business model to identify financial trends and provide value-added analysis.",52 k$ - 62 k$ (Est. del Empleador),,De 51 a 200 empleados,Software empresarial y soluciones de red,Tecnologías de la información,Desconocido/no corresponde,3.3,59 %,54 %,,2.9,2.8,3.1,3.2,3.5,,,145,,
"EXL Services
3.7","Data Scientist, Retail & Media",Trabajo desde casa,México,"Company Overview and Culture
EXL (NASDAQ: EXLS) is a global analytics and digital solutions company that partners with clients to improve business outcomes and unlock growth. Bringing together deep domain expertise with robust data, powerful analytics, cloud, and AI, we create agile, scalable solutions and execute complex operations for the world’s leading corporations in industries including insurance, healthcare, banking and financial services, media, and retail, among others. Focused on creating value from data for driving faster decision-making and transforming operating models, EXL was founded on the core values of innovation, collaboration, excellence, integrity and respect. Headquartered in New York, our team is over 40,000 strong, with more than 50 offices spanning six continents. For information, visit www.exlservice.com.

For the past 20 years, EXL has worked as a strategic partner and won awards in its approach to helping its clients solve business challenges such as digital transformation, improving customer experience, streamlining business operations, taking products to market faster, improving corporate finance, building models to become compliant more quickly with new regulations, turning volumes of data into business opportunities, creating new channels for growth and better adapting to change. The business operates within four business units: Insurance, Health, Analytics, and Emerging businesses.


EXL provides consulting and analytics support to fortune 500 companies across multiple industry domains. For this role, you will be supporting the Retail & Media clients in US, with strategic analytics and enabling them to use data for making business decisions. Some of your responsibilities include –
Qualifications
EEO/Minorities/Females/Vets/Disabilities

Please be aware that EXL requires all employees to be vaccinated for COVID-19. This position will require the successful candidate to obtain and show proof of a vaccination. EXL is an equal opportunity employer, and will provide reasonable accommodation to those individuals who are unable to be vaccinated consistent with federal, state, and local law.

Please also note that the data shared through the job application will be stored and processed by EXL in accordance with the EXL Privacy Policy.",52 k$ - 62 k$ (Est. del Empleador),,Más de 10 000 empleados,Consultorías empresariales,Administración y consultoría,De $1000 a $5000 millones (USD),3.7,73 %,85 %,,3.5,3.2,3.5,3.3,3.6,,,145,,
"Axity
3.8",Data Scientist,Puebla,México,"Somos una compañía Multinacional con más de 35 años de trayectoria, expertos en la integración de soluciones de TI y Comunicaciones. Tenemos presencia en 6 países y somos más de 4000 colaboradores.
¡Buscamos talentos como tú!
Definir, asesorar, coordinar y/o ejecutar con visión integral las actividades del proyecto/servicio, desarrollando productos de complejidad avanzada, con calidad y de acuerdo a los tiempos asignados, a través de la correcta implementación de la solución.
Inglés intermedio - avanzado. Experiencia de 2 a 3 años como Data Scientist. Comprensión y expresión de conceptos abstractos lógicos/matemáticos. Traducción de problemas complejos a fuentes y metodologías analíticas. Identificación, interpretación y solución de problemas en los resultados y metodologías a través del planteamiento de pruebas intuitivas/técnicas. Uso de conceptos y herramientas de estadística y probabilidad. Manejo y modelado de datos en Python para cargar, visualizar, interpretar y transformar datos, así como obtener y justificar conclusiones. Manejo de conceptos y herramientas de aprendizaje de máquina. Capacidad funcional de Línea de Comando. Experiencia poniendo algoritmos en producción",52 k$ - 62 k$ (Est. del Empleador),"$57,000",De 5001 a 10 000 empleados,,,,3.8,85 %,N/A,3.3,3.6,3.3,3.7,3.4,3.2,,,145,,https://www.glassdoor.com.mx/Benefits/Axity-Benefits-E2116281.htm
The Getch,Machine Learning Engineer,Trabajo desde casa,México,"Role: Machine Learning Scientist/Engineer
Location: Mexico City, Mexico
Duration: Fulltime
Salary: MXN 30000-80000/Month
Languages: English Mandatory
Openings: 50+ positions
Required Qualifications:
· Bachelor's degree in a highly quantitative field (Computer Science, Engineering, Physics, Math, Operations Research or related) or equivalent experience",52 k$ - 62 k$ (Est. del Empleador),"$55,000",De 201 a 500 empleados,Internet y Servicios web,Tecnologías de la información,De $5 a $25 millones (USD),,,,,,,,,,,,145,,
"Tecnoap
4.1",DATA SCIENTIST,San Nicolás de los Garza,México,"Información del empleo
Modalidad: Jornada completa.
País: México.
Ciudad: San Nicolás de los Garza, N.L.
Requisitos: Licenciatura en Física, Matemáticas, carrera afin.
Ofrecemos:
Posición fija.
Rango de sueldo varia desde los $30,000 MXN libres hasta $50,000 MXN libres dependiendo de años de experiencia.",52 k$ - 62 k$ (Est. del Empleador),"$40,000",De 51 a 200 empleados,"Energía, minería e infraestructura pública",Desconocido/no corresponde,,4.1,87 %,N/A,3.0,3.8,3.4,4.2,3.6,3.8,,,145,,https://www.glassdoor.com.mx/Benefits/Tecnoap-Benefits-E2311865.htm
"AstraZeneca
4.2",AI Scientist,Guadalajara,México,"AI Scientist
Macclesfield, Sodertalje, Gothenburg, Gaithersburg, Chennai
Do you have expertise in, and passion for AI? Would you like to apply your expertise to impact a company that follows the science and turns ideas into life changing medicines? If so, AstraZeneca might be the one for you!
ABOUT THE OPERATIONS IT TEAM
Operations IT is a global IT capability supporting the Global Operations organisation. We business partner with Operations capability areas: Pharmaceutical Technology Development, Manufacturing & Global Engineering, Quality Control, Sustainability, Supply Chain, Logistics and Global External Sourcing and Procurement. We operate out of Operations hubs sites including in the UK, Sweden, US, and China; and out of our Global Technology Centres in India and Mexico.",52 k$ - 62 k$ (Est. del Empleador),,Más de 10 000 empleados,Biotecnología e industria farmacéutica,Farmacéutica y biotecnología,Más de $10 000 millones (USD),4.2,88 %,93 %,4.5,3.9,4.0,4.2,3.7,3.9,,,145,https://www.glassdoor.com.mx/Evaluaciones/AstraZeneca-Evaluaciones-E9214.htm,https://www.glassdoor.com.mx/Benefits/AstraZeneca-Benefits-E9214.htm
"Grupo Modelo
3.8",Data Scientist,México,México,"Dreaming big is in our DNA. Brewing the world’s most loved beers and creating meaningful experiences is what inspires us. We are owners, empowered to lead real change, deliver on tough challenges, and take accountability for the results. We are looking for talent that shares these values, that is ambitious, bold & resilient. We want talent that is looking for fast career growth, cross-functional experiences, global exposure and robust training & development.
We are seeking brilliant and curious individuals with a strong Data Science background.
Role Description

Build machine learning models through all phases of development, from design through training, evaluation, validation, and implementation in Production
Lead and partner with other data scientists and data engineers to help inform, build, and test models
Apply understanding of advanced machine learning practices to enhance product performance.",52 k$ - 62 k$ (Est. del Empleador),,Más de 10 000 empleados,Manufactura,De $5000 a $10 000 millones (USD),,3.8,70 %,83 %,3.9,3.9,3.7,3.8,3.6,3.0,,,145,,https://www.glassdoor.com.mx/Benefits/Grupo-Modelo-Benefits-E6289.htm
"Fibotech
5.0",Data Scientist,Monterrey,México,"Esta vacante viene de la bolsa de empleo Talenteca.com
Vacante para la empresa Fibotech en Monterrey, Nuevo León
En Fibotech buscamos científico de datos.

Trabajo 100% remoto

Se requiere nivel de ingles intermedio a avanzado

Requisitos

Experiencia de al menos 4 años",52 k$ - 62 k$ (Est. del Empleador),"$60,000",De 1 a 50 empleados,,,,5.0,N/A,N/A,,5.0,,,,,,,145,https://www.glassdoor.com.mx/Evaluaciones/FiboTech-Evaluaciones-E4334174.htm,
