Company Name,Job Title,Location,Country,Job Description,Salary Estimate,Avg Salary,Size,Industry,Sector,Revenue,Rating,Recommend,CEO,Benefits,Opportunities,Comp Benefits,Culture,Management,WorkLife Balance,Pros,Cons,Num Listings,Reviews URL,Benefits URL
DUN & BRADSTREET (SINGAPORE) PTE. LTD.,Junior Data Analyst/Scientist,Singapore,Singapore,"Responsibilities:
Perform data cleaning, pre-processing and feature engineering that will aid in the process of meaningful analysis.
Design predictive modelling and credit risk management solution.
Support machine learning operations
Monitor and design dashboards and interactive visualization for customer solution delivery.
Expand the database through the collection of the data from various sources.
Improve the quality of database through data integration and data analytics.",$3K - $5K (Employer Est.),"$3,750",,,,,,,,,,,,,,,,511,,
"99.co
4.0",Data Scientist,Queenstown Estate,Singapore,"99 Group is a leading real estate technology company that operates real estate portals across South East Asia, specializing in digital property advertising. Our Group's Data Science team works closely and collaboratively with Product, Marketing and Business units to derive insights and contribute to ML models and services for internal and external products. We are rapidly expanding and are seeking a versatile Data Scientist to join our mission of helping South East Asians find their ideal home.
What will you do?
The prospective candidate will :
Formulate ML problems based on business needs and data availability by working closely with business stakeholders and data team members.
Implement POCs after researching and evaluating state-of-the-art solutions solving the identified problems.",$3K - $5K (Employer Est.),"$6,650",201 to 500 Employees,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.0,82 %,89 %,3.2,3.8,3.3,4.1,3.6,4.0,,,511,https://www.glassdoor.sg/Reviews/99-Reviews-E943499.htm,https://www.glassdoor.sg/Benefits/99-Benefits-E943499.htm
Isosce Pte Ltd,Data Scientist,Singapore,Singapore,"We are recruiting for our client. The ideal candidate's favorite words are learning, data, scale, and agility. You will leverage your strong collaboration skills and ability to extract valuable insights from highly complex data sets to ask the right questions and find the right answers.
Responsibilities
The Data Scientist assists in design and implementing processes and logic to extract, transform, and load data from multiple data sources.
He/She works with business stakeholders to understand their requirements or problems.
He/She develops algorithms to support the use of case or metrics.
He/She analyses large, complex, multi-dimensional data from multiple sources using machine learning techniques, advanced statistical analysis and predictive modelling to obtain business insights and recommendations.",$3K - $5K (Employer Est.),"$7,000",,,,,,,,,,,,,,,,511,,
"Housing and Development Board
3.9",Data Scientist,Singapore,Singapore,"What the role is
The mission of Housing & Development Board (HDB) is to provide affordable, quality housing and a great living environment where communities thrive. To achieve its mission, HDB aims to be data-driven to the core and adopt evidence-based decision making in developing better housing policies service, improving service delivery and optimising operations.
What you will be working on
As a data scientist, you will play a key part in helping HDB begin its journey to be data-driven to the core. In this role, you will assume the following responsibilities: • Provide guidance to business units on data science and how it may help them • Conceptualise and execute data science projects for business units • Apply analytical techniques such as data mining, statistical analysis, machine learning etc • Develop actionable insights and present them clearly and in an easy-to-understand manner • Develop machine learning models • Work with IT units to operationalise data science projects e.g. deploy ML models • Identity opportunities to improve data science projects • Document, share and continuously improve data science practices • Certain degree of stakeholder management is required",$3K - $5K (Employer Est.),"$74,291",5001 to 10000 Employees,National Services & Agencies,Government & Public Administration,Unknown / Non-Applicable,3.9,68 %,88 %,3.8,3.5,4.0,3.9,3.5,4.0,,,511,https://www.glassdoor.sg/Reviews/Housing-and-Development-Board-Reviews-E416878.htm,https://www.glassdoor.sg/Benefits/Housing-and-Development-Board-Benefits-E416878.htm
"Home Team Science and Technology Agency (HTX)
3.3","Data Scientist, xData",Singapore,Singapore,"What the role is
What you will be working on
What we are looking for
Competencies have long been used as a framework to help focus employees' behaviour on things that matter most and help us drive success. We are looking for candidates with the following competencies:",$3K - $5K (Employer Est.),"$69,714",Unknown,,,,3.3,49 %,33 %,3.4,3.2,3.6,3.2,3.2,3.1,,,511,https://www.glassdoor.sg/Reviews/Home-Team-Science-and-Technology-Agency-Reviews-E3950709.htm,https://www.glassdoor.sg/Benefits/Home-Team-Science-and-Technology-Agency-Benefits-E3950709.htm
"Security & Intelligence Division
3.9",Data Scientist,Singapore,Singapore,"What the role is
What you will be working on
What we are looking for
Competencies have long been used as a framework to help focus employees' behaviour on things that matter most and help us drive success. We are looking for candidates with the following competencies:",$3K - $5K (Employer Est.),"$67,085",10000+ Employees,Accounting & Tax,Finance,$10+ billion (USD),3.9,80 %,89 %,3.1,4.1,3.4,3.9,3.6,3.0,,,511,https://www.glassdoor.sg/Reviews/EY-Reviews-E2784.htm,https://www.glassdoor.sg/Benefits/EY-Benefits-E2784.htm
"Real Estate Analytics
1.0",Data Scientist,Singapore,Singapore,"Duties & Responsibilities:
Build, validate, test, and deploy machine learning models or algorithms to solve real estate related problems
Optimise or design and build new framework and automation tools to enable teams to consume and understand data faster
Support various stakeholders by proposing and implementing data science models to extract insights
Key skills & qualifications required:
Solid knowledge in statistical analysis and machine learning models
Proficient in Python",$3K - $5K (Employer Est.),"$6,750",51 to 200 Employees,,,,1.0,N/A,N/A,,1.0,1.0,1.0,1.0,3.0,,,511,,
LION & ELEPHANTS,Senior Data Scientist,Singapore,Singapore,"We’re looking for a Senior Data Scientist with a passion for both math and technology to join our client – a leading bank for their growing Data Science Engineering team. This group writes the math and software that sit at the heart of our company and that runs over hundreds of terabytes of data daily to produce its models.
If you join our team, you will have the opportunity to stay on the cutting edge of research and then to put this research to practical use by building your own software and infrastructure systems. When you push out your code, you will be able to see the results of your efforts ripple throughout our systems in real-time. You will design your systems as you see fit, own your code, and your work will have a very direct, measurable impact on our core metrics.
Translate business questions and concerns into specific quantitative questions that can be answered with available data using sound methodologies. In cases where questions cannot be answered with available data, work with engineers to produce the required data.",$3K - $5K (Employer Est.),"$15,000",,,,,,,,,,,,,,,,511,,
"Government Technology Agency
3.8",Data Scientist (CDO Office),Singapore,Singapore,"What the role is
What you will be working on
What we are looking for
Competencies have long been used as a framework to help focus employees' behaviour on things that matter most and help us drive success. We are looking for candidates with the following competencies:",$3K - $5K (Employer Est.),"$77,769",1001 to 5000 Employees,National Services & Agencies,Government & Public Administration,Unknown / Non-Applicable,3.8,81 %,87 %,4.1,3.6,3.8,3.8,3.5,3.8,,,511,https://www.glassdoor.sg/Reviews/GovTech-Reviews-E1371268.htm,https://www.glassdoor.sg/Benefits/GovTech-Benefits-E1371268.htm
"Doctor Anywhere
2.9",[SG] Data Scientist,Singapore,Singapore,"About Doctor Anywhere
At Doctor Anywhere, we are guided by the core belief that healthcare should be simple, accessible and efficient for everyone. Since our launch in 2017, we've been disrupting the healthcare industry by developing innovative solutions to bridge gaps in the healthcare ecosystem. Our services integrate both digital and offline platforms to empower users to take charge of their health. Headquartered in Singapore, we have regional offices in Malaysia, Thailand, Philippines, Vietnam, and India, serving more than one million (and growing) users across Asia.

Our team and the role we are hiring for
The Data team within Doctor Anywhere oversees all of the company’s data-related requirements. The goal is to use the data to assist the company in decision making through analytics and building the AI solutions that will take the products to a higher level. This team works closely with our Product, Engineering, and Business to deliver the insight of data and value of AI products efficiently.",$3K - $5K (Employer Est.),"$31,724",501 to 1000 Employees,Healthcare Services & Hospitals,Healthcare,Unknown / Non-Applicable,2.9,48 %,59 %,2.9,2.9,2.8,2.8,2.6,3.0,,,511,https://www.glassdoor.sg/Reviews/Doctor-Anywhere-Reviews-E1876669.htm,https://www.glassdoor.sg/Benefits/Doctor-Anywhere-Benefits-E1876669.htm
