Company Name,Job Title,Location,Country,Job Description,Salary Estimate,Avg Salary,Size,Industry,Sector,Revenue,Rating,Recommend,CEO,Benefits,Opportunities,Comp Benefits,Culture,Management,WorkLife Balance,Pros,Cons,Num Listings,Reviews URL,Benefits URL
"Rolex
4.1",Chargé de projets - Data Scientist (H/F),Genève,Suisse (French),"Pour notre division Recherche & Développement, nous recherchons un Chargé de projets - Data Scientist (H/F) dont la mission principale sera d’apporter des solutions innovantes et élégantes en mettant à profit son expertise en Intelligence Artificielle (IA).
Responsabilités
Participer activement au déploiement des méthodes et outils en data science et IA au sein de l’entreprise
Piloter des projets transversaux en interne ainsi qu’avec des partenaires externes et être en mesure de challenger techniquement ses interlocuteurs
Intégrer des groupes d’expertise multi-divisions sur le savoir-faire et échanger sur les bonnes pratiques
Réaliser la veille dans son domaine d’expertise et la partager efficacement.
Profil",,,Entre 5''001 et 10''000 employés,Industrie des biens de consommation,Industrie manufacturière,Entre 5 et 10 milliards de dollars US,4.1,77 %,85 %,4.4,3.3,3.8,3.9,3.6,3.7,,,400,https://fr.glassdoor.ch/Avis/Rolex-Avis-E7198.htm,https://fr.glassdoor.ch/Benefits/Rolex-Benefits-E7198.htm
"Chanel
4.0",Stagiaire Data Scientist,Genève,Suisse (French),"Global Travel Retail Intern – Job Description : Data Scientist
The Global Travel Retail Team is looking for a data analyst who is well-versed in synthesizing business intelligence data to produce monthly reports on travel retail industry data, highlighting findings and recommending changes when needed. We are looking for someone to help build upon existing data models – adding to the models and bettering them where needed. We hope to find someone who can review our data for accuracy and ensure that it is presented in a clear and concise manner.
Tasks:
Maintain a good relationship with our travel retail data providers
Review data and make recommendations based on findings
Communicate with CHANEL’s travel retail community to ensure that they have all the data they need to make informed decisions
Contribute to CHANEL’s Monthly Reports to help the travel retail teams understand the data they are analyzing",,,Plus de 10''000 employés,"Grands magasins, magasins de vêtements et de chaussures",Commerce de détail et de gros,Plus de 10 milliards de dollars US,4.0,68 %,87 %,,3.3,3.9,3.8,3.4,3.4,,,400,https://fr.glassdoor.ch/Avis/Chanel-Avis-E10823.htm,
Zerofy,Data Scientist / Researcher,Heimarbeit,Suisse (French),"We are looking for a Data Scientist / Researcher to lead our analytics, data, and research efforts as part of our small and powerful remote-first team.

Zerofy is an early-stage startup with a big mission. We just shipped our first product and completed our first funding round. We are an experienced founding team with significant expertise both in technology and renewable energy with companies such as Apple, Meta, ABB etc. You’ll be joining the founders and a small technical team. If you are looking to join an impactful consumer product company early on, this is for you!

What you’ll do:
You’ll cover a pretty broad range of data-science related topics from researching up to implementing:",,,,,,,,,,,,,,,,,,400,,
"Procter & Gamble
4.1",Data Scientist (m/f/x),Lancy,Suisse (French),"Position: Data Scientist (m/f/x)
Location: Geneva
Do you have passion to transform P&G while enabling better decision-making through advanced analytics and machine learning; enhance business results and improving consumer's lives every single day?

If you have, join P&G: we offer you a career in Information Technology, starting as Data Scientist in Geneva.
What You Will Do:
“Get hands-on into the details” on Data Science, using state-of-the-art artificial intelligence, big data platforms and data visualization to discover solutions to problems requiring tremendous creativity. Partner with business leaders to fully understand the problem, and data engineers to automate & deploy your models into applications providing prescriptions to Sales and Marketing executives - that allow P&G to serve consumers worldwide in a better way.",,,Plus de 10''000 employés,Industrie des biens de consommation,Industrie manufacturière,Plus de 10 milliards de dollars US,4.1,85 %,88 %,4.3,4.0,4.1,4.2,3.8,3.4,,,400,https://fr.glassdoor.ch/Avis/Procter-and-Gamble-Avis-E544.htm,https://fr.glassdoor.ch/Benefits/Procter-and-Gamble-Benefits-E544.htm
"UBS
3.9","Graduate Talent Program 2023, Data Science - Switzerland",Zurich,Suisse (French),"Switzerland - Zürich
Business management, administration and support
Group Functions
Job Reference #
262292BR
City
Zürich
Type
Graduate GTP/Full-Time Analyst",,,Plus de 10''000 employés,Investissement et gestion des actifs,Finance,Plus de 10 milliards de dollars US,3.9,80 %,90 %,3.7,3.7,3.4,3.9,3.4,3.8,,,400,https://fr.glassdoor.ch/Avis/UBS-Avis-E3419.htm,https://fr.glassdoor.ch/Benefits/UBS-Benefits-E3419.htm
"Lafarge
3.8",Digital Junior Data Scientist (100%),Holderbank,Suisse (French),"Overview:
Holcim builds progress for people and the planet. As a global leader in innovative and sustainable building solutions, Holcim is enabling greener cities, smarter infrastructure and improving living standards around the world. With sustainability at the core of its strategy Holcim is becoming a net zero company, with its people and communities at the heart of its success. The company is driving circular construction as a world leader in recycling to build more with less. Holcim is 70,000 people around the world who are passionate about building progress for people and the planet through four business segments: Cement, Ready-Mix Concrete, Aggregates and Solutions & Products.

No agencies can be considered for this job posting, and no agency involvement is required unless contractually assigned.
Responsibilities:
Apply statistical and machine learning models on supply chain management



Education/Qualifications:
Experience:

Knowledge & Skills:
Language Requirements: Fluency in English is essential. Travel Requirements: 10%",,,Plus de 10''000 employés,Construction,"Services de construction, réparation et maintenance",Plus de 10 milliards de dollars US,3.8,76 %,79 %,3.3,3.4,3.7,3.5,3.3,3.3,,,400,https://fr.glassdoor.ch/Avis/Holcim-Avis-E1066149.htm,https://fr.glassdoor.ch/Benefits/Holcim-Benefits-E1066149.htm
"Procter & Gamble
4.1",Data Scientist - Operations Research Specialist (m/f),Lancy,Suisse (French),"Position: Data Scientist - Opeations Research Specialist (m/f)
Location: Geneva
“Get hands-on into the details” on Data Science, using state-of-the-art operations research and optimization techniques to optimize plans & discover solutions to problems requiring tremendous creativity. Partner with business leaders to fully understand the problem, and data engineers to automate & deploy your solutions into applications providing prescriptions to Sales and Marketing executives - that allow P&G to serve consumers worldwide in a better way.
In this role you will:
Report to a senior data scientist, be co-located within a DataScience and Analytics team, part of P&G’s global DataScience organization.",,,Plus de 10''000 employés,Industrie des biens de consommation,Industrie manufacturière,Plus de 10 milliards de dollars US,4.1,85 %,88 %,4.3,4.0,4.1,4.2,3.8,3.4,,,400,https://fr.glassdoor.ch/Avis/Procter-and-Gamble-Avis-E544.htm,https://fr.glassdoor.ch/Benefits/Procter-and-Gamble-Benefits-E544.htm
"Vitol
4.0",Desk Data Scientist,Genève,Suisse (French),"Company Description

We are the world’s largest independent energy and commodities trading company. Every day we use our expertise and logistical networks to distribute energy around the world, efficiently and responsibly. From 40 offices worldwide, we seek to add value across the energy supply chain, including deploying our scale and market understanding to help facilitate the energy transition. To date, we have committed over $1 billion of capital to renewable projects, and are identifying and developing low-carbon opportunities around the world.
Our people are our business. Talent is precious to us and we create an environment in which individuals can reach their full potential, unhindered by hierarchy. Our team comprises more than 65 nationalities and we are committed to developing and sustaining a diverse work force. Learn more about us here.
Our Geneva office is located very centrally, 5 minutes from the main train station and 1 minute from the lake. The office has a rooftop lunch area, with views over the lake and Alps. We organize regular activities to enable our people to meet colleagues from other teams in an informal setting, and to celebrate special achievements.",,,De 51 à 200 employés,Énergie et infrastructures,Énergie et exploitation des ressources naturelles,Entre 100 et 500 millions de dollars US,4.0,74 %,85 %,4.5,3.6,4.3,3.9,3.5,3.2,,,400,https://fr.glassdoor.ch/Avis/Vitol-S-A-Avis-E272853.htm,https://fr.glassdoor.ch/Benefits/Vitol-S-A-Benefits-E272853.htm
"Xebia
3.9",Data Scientist,Zurich,Suisse (French),"Description

As a senior data scientist you are capable of rapidly learning about the domain of our customers, build models and prototypes and coach data scientists in their way of working.

How will you help

in creating value with Data & AI

At GoDataDriven, we build strong data & AI practices to deliver value to our clients and their customers. In the past, our team of data professionals has predicted the daily demand for millions of loaves of bread, built advanced energy-saving algorithms to nationwide scale, and set up data innovation labs at large multinational corporations. We have already enjoyed great success in making top companies AI-driven -- just think of what more we can achieve when YOU join our team!

As senior data scientist, you are responsible for the creation of business value using data & AI. You are capable to rapidly learn about the domain of our customers and apply your experience with getting data-driven applications into production; not only by yourself but also by coaching and mentoring other people in your team.

What you will do

to make data intensive-applications work effectively and securely.

You start by assessing the value-driven use cases at the client and a good sense of what success looks like. Then you apply your skills in mathematics, statistics, machine learning and programming to analyze and model data. You work mostly with notebooks in Python and are also able to translate your notebooks into a working prototype. Together with a machine learning engineer or data engineer, you help to get the model into production and assess the value it creates. If required, you also set up a good way of working for your team, with a proper dev-ops for AI approach.

When you're working on-site with a client, you eventually come across something really difficult to solve. Luckily, every few weeks everyone from GDD comes to our office to work remotely on their projects and you have the opportunity to discuss and even solve your problems with the help of the hive mind of GDD. And if that would take too long, everybody at GDD is just a quick message away and ready to help you at any time.

Who Are We Looking For?

THIS IS YOUR DREAM JOB IF…

if you like working with new data processing tools, like Airflow, Spark, Flink, and Druid.

if you understand the importance of cloud and know your way around or want to learn that.

if you like working for different clients and enjoy the excitement of regularly getting to learn new environments and know new people.

You speak German at a minimum B2 level

THIS IS NOT YOUR DREAM JOB IF…

if you do not like working under pressure to get things done in the best way possible with limited time you have to finish it.

if you do not like working with open source technology.

if you do not like coding, scripting, templating.

Benefits

The GoDataDriven Way
At GoDataDriven, we treat each other with respect, cooperation, and a view towards creating an enthusiastic, self-empowered, dynamic working community. Our culture exudes creativity and ambition, and our colleagues share an insatiable thirst for knowledge. We’re especially proud of our generous training budget and our “Hack-What-You-Want” Fridays.

In addition to a great culture, we provide competitive primary benefits:

competitive salary;

mobility budget;

pension plan;

5k educational budget. And please, do spend every bit of it.

extended insurance;

pick whatever laptop or MacBook you like

choose your phone;

and, of course, your own pair of custom GoDataDriven blue Nikes when you join!

Our core values are people first, quality without compromise, sharing knowledge, and customer intimacy. At GoDataDriven, you’ll find like-minded colleagues at the forefront of their fields with the courage to veer from the beaten path; they are the people who put organizations into motion

About Xebia With over 20 years of experience, our global network of passionate technologists and pioneering craftsmen deliver cutting-edge technology and game-changing consulting to companies on the brink of transformation.",,,Entre 1''001 et 5''000 salariés,Services d’assistance informatique,Informatique,Entre 100 et 500 millions de dollars US,3.9,81 %,89 %,,4.0,3.8,3.9,3.7,3.8,,,400,,
"Roche
4.3",Data Scientist,Bâle,Suisse (French),"The Position
Purpose:
PTE is a new organization within Roche that will catalyze the development of Roche’s manufacturing digital strategy to work towards a factory of the future. We will build a strong cross-functional and inclusive community, put the power of data into the hands of our people, further develop the Lean and Digital skills across PT, and scale up our Digital and Advanced Analytics solutions, for the benefit of our colleagues and patients.
We aim to activate data citizenship and digital mindset, revolutionize our FAIR data ecosystem and systems landscape, re-design excellent processes, and generate transformative insights. We collaborate closely with global functions to deliver impactful value to our patients.
Data Science plays a key role in transforming vast amounts of structured and unstructured data into insights, building predictive analytics and machine learning (ML) models for complex business problems that enable the organization in data-driven decision making. This is why we have recently created an analytics chapter within our Data and Digital Organization, to take advantage of analytics across our digital products.",,,Plus de 10''000 employés,Biotechnologies et pharmaceutique,Pharmaceutique et biotechnologie,Plus de 10 milliards de dollars US,4.3,88 %,96 %,4.4,3.9,4.1,4.2,3.7,4.1,,,400,https://fr.glassdoor.ch/Avis/Roche-Avis-E3480.htm,https://fr.glassdoor.ch/Benefits/Roche-Benefits-E3480.htm
