Company Name,Job Title,Location,Country,Job Description,Salary Estimate,Avg Salary,Size,Industry,Sector,Revenue,Rating,Recommend,CEO,Benefits,Opportunities,Comp Benefits,Culture,Management,WorkLife Balance,Pros,Cons,Num Listings,Reviews URL,Benefits URL
"NHS Employers
3.4",Data Scientist,Remote,United Kingdom,"Job title: Data Scientist
Location: Agile working with regular travel to our base in Leeds. Occasional travel to London and other areas of the UK.
Role: Full time / part time – Permanent role
Salary: £39,073
As a Data Scientist you will:
Extract, analyse and interpret large amounts of data from a range of sources using statistical tools, in order that it can be used to inform policy decisions about pay and workforce issues and support national pay negotiations.",£39K (Employer Est.),"£39,073",201 to 500 Employees,,,,3.4,N/A,N/A,,1.0,1.0,1.0,1.0,1.0,,,1093,https://www.glassdoor.co.uk/Reviews/NHS-Employers-Reviews-E4376019.htm,
"Rolls-Royce
3.9",Data Scientist,"Derby, England",United Kingdom,"Job Description
Data Scientist
Working Pattern: Full-Time
Working Location: Derby/Hybrid (or) Bristol/Hybrid
Why Rolls-Royce?
We have an exciting opportunity for a Data Scientist to join our team in Derby. This is an opportunity to work on development of the capability and application of business knowledge, mathematics, technology, design thinking and behavioural sciences to enable better decision support solutions within our data services.
In Civil Aerospace, we’re proud of our history. We’re ready for our future. We’re powering net zero in civil aviation. Connecting people now, building a better future together.
Work with us and we’ll welcome you into an inclusive culture, one that invests in your continuous learning and development, and gives you access to a wide breadth and depth of experience.
In this role, you will address business problems that are ill defined and shifting where factors affecting the problem are not completely understood. You will be expert in analysis, visualisation and algorithmic / mathematical computations that extract insights from data in response to these business problems, questioning and hypothesising using the data available from our customers.


Digital
12 Oct 2022; 00:10",£39K (Employer Est.),"£40,996",10000+ Employees,Aerospace & Defence,Aerospace & Defence,$10+ billion (USD),3.9,81 %,69 %,3.6,3.7,3.6,3.8,3.1,4.0,,,1093,https://www.glassdoor.co.uk/Reviews/Rolls-Royce-Reviews-E3505.htm,https://www.glassdoor.co.uk/Benefits/Rolls-Royce-Benefits-E3505.htm
"Reqiva Ltd
4.5",Data Scientist | Remote,"Oxford, England",United Kingdom,"Reqiva have partnered with an expanding Agritech company funded to catalyse the UK agri-food industry through big data and advanced analytics.

They are looking for a Data Scientist to join their growing team and working within a mixture of their agri-food, life sciences and Earth Observation domain.

This is a remote first opportunity, however they do have two offices open where you can go into the office if that is something you prefer. These are located in Reading and North London.

For this role they are looking for someone with proven experience but with this they are looking to pay between £50,000 - £60,000 per annum (Depending on experience).

Proven data science experience and competency:
This role is only for UK residence and doesn't offer sponsorship.

Email - K.Lambourn@reqiva.com
Number - 01189595552",£39K (Employer Est.),"£55,000",1 to 50 Employees,HR Consulting,Human Resources & Staffing,$1 to $5 million (USD),4.5,85 %,90 %,5.0,4.3,4.3,4.4,4.4,4.1,,,1093,https://www.glassdoor.co.uk/Reviews/Reqiva-Reviews-E1459125.htm,https://www.glassdoor.co.uk/Benefits/Reqiva-Benefits-E1459125.htm
"Yelp
3.5",Data Scientist (Remote),Remote,United Kingdom,"At Yelp, it’s our mission to connect people with great local businesses. Yelp’s unique dataset contains billions of interactions between users and local businesses around the globe, from a user reviewing a neighborhood coffee shop to requesting a repair quote with a photo of a leaky faucet. Data Scientists at Yelp work to make sense of these interactions to deliver impactful analyses and products to our users, business partners, and the general public.

The Data Science team performs analyses, builds models, and designs experiments that directly impact Yelp’s business and users. Our centralized team is the most wide-ranging consumer of data at Yelp, adept at tasks from modeling content growth and user behavior to sharing insights about the health of local economies. With varied backgrounds and expertise, we strive for learning and growth in a collaborative environment.

This opportunity requires you to be located in the United Kingdom.

We’d love to have you apply, even if you don't feel you meet every single requirement in this posting. At Yelp, we’re looking for great people, not just those who simply check off all the boxes.",£39K (Employer Est.),,5001 to 10000 Employees,Internet & Web Services,Information Technology,$2 to $5 billion (USD),3.5,62 %,74 %,4.4,3.6,3.7,3.9,3.5,3.9,,,1093,https://www.glassdoor.co.uk/Reviews/Yelp-Reviews-E43314.htm,https://www.glassdoor.co.uk/Benefits/Yelp-Benefits-E43314.htm
Twinn Health,Data Scientist,Remote,United Kingdom,"About us
We are professional, agile, innovative, and our goal is to we are passionate about helping doctors detecting potential diseases early.
Our work environment includes:
Work-from-home days
Growth opportunities
Responsibilities:
Be able to write code in any one of (R, Python, R.NET, SAS).
Be familiar with SQL, MySQL or PostgreSQL.",£39K (Employer Est.),,,,,,,,,,,,,,,,,1093,,
"NatWest Group
3.9",Data & Analytics - Graduate Programme,"London, England",United Kingdom,"Our people work differently depending on their jobs and needs. From home working to job sharing, visit the remote and flexible working page on our website to find out more.
This role is based in the United Kingdom and as such all normal working days must be carried out in the United Kingdom.
Data & Analytics - Graduate Programme
Locations: London, 250 Bishopsgate
About you
To be eligible for our Data and Analytics graduate programme, you’ll need to have, or be on course to achieving a 2:1 in your degree",£39K (Employer Est.),"£33,500",10000+ Employees,Banking & Lending,Finance,$10+ billion (USD),3.9,79 %,90 %,3.8,3.6,3.4,4.1,3.5,4.1,,,1093,https://www.glassdoor.co.uk/Reviews/NatWest-Group-Reviews-E10222.htm,https://www.glassdoor.co.uk/Benefits/NatWest-Group-Benefits-E10222.htm
"Frontier Economics Limited
4.4",Junior Data Scientist - London,"London, England",United Kingdom,"About The Junior Data Scientist role

A key role across our practice areas, the Junior Data Scientist will help support these practices with continuing growth. The successful candidate will work across a number of projects working closely with the wider team.

Analysis and Problem Solving: Work independently to develop and deliver analysis, within an overall project framework set by others, using more sophisticated tools where relevant. Help others team members to develop their own technical skills.

Communication Skills: Ability to flex style in day to day contact internally and with clients, in addition to clearly structured written work.",£39K (Employer Est.),"£46,679",201 to 500 Employees,Business Consulting,Management & Consulting,$25 to $50 million (USD),4.4,88 %,N/A,4.3,4.2,4.1,4.5,4.0,4.3,,,1093,https://www.glassdoor.co.uk/Reviews/Frontier-Economics-Reviews-E582656.htm,https://www.glassdoor.co.uk/Benefits/Frontier-Economics-Benefits-E582656.htm
"Alexander Mann Solutions for Public Sector Resourcing
4.1",Data Scientist,Remote,United Kingdom,"Contracting Authority: UKHSA
Location: Remote working
At UKHSA our mission is to provide health security for the nation by protecting from infectious disease and external hazards.
The UKHSA mission is challenging, innovative and in the spotlight. We work to ensure our people have the diverse skills, experiences and backgrounds we need to thrive, and that staff members feel valued and enabled to play their part in delivering our work.
Creating our working culture is an ongoing process which we are developing by listening and learning together, hearing and acting upon diverse voices and opinions. The work will continue through the first months and years of the organisation to develop a common sense of identity and effective ways of working.
As a Data Scientist your main responsibilities would be:",£39K (Employer Est.),,1001 to 5000 Employees,HR Consulting,Human Resources & Staffing,$500 million to $1 billion (USD),4.1,84 %,92 %,3.7,3.9,3.6,4.2,3.9,4.1,,,1093,https://www.glassdoor.co.uk/Reviews/AMS-Reviews-E296892.htm,https://www.glassdoor.co.uk/Benefits/AMS-Benefits-E296892.htm
"Marks & Spencer
3.7",Data Science Graduate Programme 2023,"London, England",United Kingdom,"Want to build yourself a legacy you’ll always be proud of? Our most innovative grad scheme yet is your chance to do just that. Intentionally designed to help you shape the fast-moving world of retail, it’s a masterclass in technical training, structured mentorship, and 360-feedback. Spanning 18-24 months, you’ll rotate around our business up to four times – each time earning, learning and experiencing it all. It’s all about giving you exposure to a variety of projects and the talented people driving them – so you come to realise that there’s infinite ways to the top at M&S. If you’re ready to become an M&S Legend of Tomorrow, it’s time to begin.
Take your place in our Data Science teams and you’ll find everything you need to begin shaping the world of retail – your way. From access to in-house development programmes to external Decoded Data Science courses that’ll help you become an expert in your field, this is a springboard on to big things.
Our teams apply data science across the whole business – from solving customer problems like offer personalisation and online recommendation, to enterprise challenges like buying optimisation, sales forecasting, and labour planning. We use a wide variety of the core data science techniques and more to deliver millions of pounds in extra profit to the business every year. Want to be a part of some of the most innovative teams in British retail?",£39K (Employer Est.),"£63,886",10000+ Employees,"Department, Clothing & Shoe Stores",Retail & Wholesale,$10+ billion (USD),3.7,70 %,75 %,3.6,3.3,3.5,3.6,3.2,3.4,,,1093,https://www.glassdoor.co.uk/Reviews/Marks-and-Spencer-Reviews-E3278.htm,https://www.glassdoor.co.uk/Benefits/Marks-and-Spencer-Benefits-E3278.htm
"Somerset NHS Foundation Trust
4.5",Data Scientist Apprentice,"Taunton, England",United Kingdom,"Apprentice Data Scientist

Do you have strong statistical or mathematical experience and want to use and develop those skills to help shape healthcare in Somerset?

If so we have an exciting new level 6 apprenticeship in the field of Data Science which will give you the opportunity to develop your career in this field. As a Data Scientist Apprentice you will assist the Lead Data Scientist in all manner of operational investigations, predictive data analytics and modelling, providing evidence for strategic and operational decisions.

In return you will be provided mentorship from our Lead Data Scientist as well as be supported in studying for a BSC in Data Science with Exeter College in partnership with Exeter University.

In order to undertake the BSC in Data Science you must meet the entry requirements:
**If you do not have these qualifications, you will be invited to complete a maths assessment. This is used to establish your current mathematical abilities and suitability for the Level 6 project content.

Data Science (BSc Hons) (exe-coll.ac.uk)

The Data Scientist Apprentice will assist the Lead Data Scientist in all manner of operational investigations, predictive data analytics and modelling, providing evidence for strategic and operational decisions, and supporting the Improvement Team / Somerset Collaboration Hub in shaping healthcare in Somerset.

They will be supported to study a Level 6 Degree Apprenticeship:
Providing statistical insight about healthcare in Somerset, including robust analytics surrounding activity and performance.

Supporting the translation of analytical findings into real-world processes and as such provide evidence for service redesign.

Supporting projects to design, develop, test and validate intelligent modelling and predictive systems to improve information sharing and analysis.

Using mathematical, statistical and operational research techniques to effectively model and analyse a variety of statistical information, and make recommendations based on findings to improve operational, tactical and strategic business decisions.

Developing and refining data visualisation systems to present analytical results.

Working with local university and experts to validate new methodologies and proposed models, including contributing to proposals for additional funding.

Somerset NHS Foundation Trust endeavours to provide development opportunities for those looking to develop a career in the NHS, in both clinical and non-clinical roles.

Through our apprenticeship programmes, individuals can earn a salary, develop their skills, and achieve a nationally recognised qualification, all whilst contributing towards delivering excellent patient care.

We have six active and impactful colleague networks. These networks provide a safe space for colleagues to share their experiences and learn from one another, but also influence change across our trust:
As an organisation the NHS offers a wide range of benefits including flexible working, pension contributions, market leading annual leave allowance, career progression and regular conversations, not to mention our Blue Light Card and NHS Discounts.


Please note - Eligibility checks, and verification of qualifications will be completed by the Trust and University, and all places are conditional and subject to this confirmation.

For more specific information relating to this post, please see the attached job description and person specification.

For further information on the Apprenticeship programme please contact:

Apprentices@exe-coll.ac.uk
01392 400800",£39K (Employer Est.),"£29,995",1001 to 5000 Employees,Healthcare Services & Hospitals,Healthcare,$100 to $500 million (USD),4.5,100 %,100 %,5.0,3.7,3.9,4.4,4.3,4.4,,,1093,https://www.glassdoor.co.uk/Reviews/Somerset-Partnership-NHS-Foundation-Trust-Reviews-E902112.htm,https://www.glassdoor.co.uk/Benefits/Somerset-Partnership-NHS-Foundation-Trust-Benefits-E902112.htm
