Company Name,Job Title,Location,Country,Job Description,Salary Estimate,Avg Salary,Size,Industry,Sector,Revenue,Rating,Recommend,CEO,Benefits,Opportunities,Comp Benefits,Culture,Management,WorkLife Balance,Pros,Cons,Num Listings,Reviews URL,Benefits URL
"IBM
4.1",Data Modeler,"Baton Rouge, LA",United States,"Introduction
At IBM, work is more than a job - it's a calling: To build. To design. To code. To consult. To think along with clients and sell. To make markets. To invent. To collaborate. Not just to do something better, but to attempt things you've never thought possible. Are you ready to lead in this new era of technology and solve some of the world's most challenging problems? If so, lets talk.

Your Role and Responsibilities

The IBM Client Innovation Center in Baton Rouge is expanding and has immediate opportunities for experienced forward-thinking Data Modelers with a passion for growth and innovation. The success of IBM is in your hands as you transform vital business needs into innovation solutions to drive growth for our clients. Our clients are some of the world’s leading companies and you will be part of challenging projects to build and support technical solutions for their needs You will have access to the latest education, tools and technology, and a limitless career path with the world’s technology leader. Come to IBM and make a global impact!

As a Data Modeler. you will be responsible for the maintenance of logical and physical data models
for Client engagements. Candidate should be familiar with data warehouse design
approaches to include Dimensional Modeling and Data Vault 2.0.

Data Modelers are expected to have a basic understanding of Healthcare
(preferably Medicaid). Must be able to create source to target mappings and
provide comprehensive descriptions of objects represented within data model.
Candidate must be able to work as part of a team and will interact with technical
staff, subject matter experts, and supporting team members, as well as the
customers. This candidate must able to translate business requirements into data
requirements using logical data models, data flow diagrams and other methods.

Essential Responsibilities:
The successful candidates for this position will become members of our Client Innovation Team. You will work closely across the CIC network to delight our customers with leading edge solutions with a keen focus on quality and client satisfaction. In addition to strong collaboration across the team, you will be virtually integrated into our deep learning and knowledge program as well as employee engagement across NA. All resources in our CIC network may be requested to travel depending on specific client project needs. US Travel is typically related to knowledge transfer and client relationship building at the client site, as well as subsequent travel for key milestones or project initiatives. Travel is generally no more than 50% of the time.

Lake Charles & New Orleans LA; Mobile AL; Pensacola FL; Gulfport, Hattiesburg, Jackson & Oxford MS; Beaumont & Galveston TX",$73K - $110K (Glassdoor est.),"$89,395",10000+ Employees,Information Technology Support Services,Information Technology,$10+ billion (USD),4.1,83 %,89 %,3.7,4.0,3.5,4.1,3.7,4.1,,,1420,https://www.glassdoor.com/Reviews/IBM-Reviews-E354.htm,https://www.glassdoor.com/Benefits/IBM-Benefits-E354.htm
"Frederick National Laboratory
4.0",ATOM Fellow - Data Scientist I,United States,United States,"ATOM Fellow - Data Scientist I
Job ID: req3047
Employee Type: exempt full-time
Division: Cancer Research Technology Program
Facility: Telework: US
Location: USA
The Frederick National Laboratory is a Federally Funded Research and Development Center (FFRDC) sponsored by the National Cancer Institute (NCI) and operated by Leidos Biomedical Research, Inc. The lab addresses some of the most urgent and intractable problems in the biomedical sciences in cancer and AIDS, drug development and first-in-human clinical trials, applications of nanotechnology in medicine, and rapid response to emerging threats of infectious diseases.

Accountability, Compassion, Collaboration, Dedication, Integrity and Versatility; it's the FNL way.",$73K - $110K (Glassdoor est.),,Unknown,Pharmaceutical & Biotechnology,Unknown / Non-Applicable,,4.0,91 %,N/A,4.7,3.5,3.6,4.0,3.7,4.5,,,1420,https://www.glassdoor.com/Reviews/Frederick-National-Laboratory-for-Cancer-Research-Reviews-E2339315.htm,https://www.glassdoor.com/Benefits/Frederick-National-Laboratory-for-Cancer-Research-Benefits-E2339315.htm
"Intertape Polymer
3.9",Digital Transformation Data Scientist,Remote,United States,"Company Overview
Intertape Polymer Group (IPG) is a dynamic multinational organization that prides itself on its corporate culture of a family atmosphere that meets high achieving company performance. We are known for our competitive salaries and benefits packages and our emphasis on putting people first. Founded in 1982, and now grown to $1.5B in sales worldwide, IPG focuses on growth through organic and strategic means. Our diversified product lines support our mission to be the world leader in packaging and protective solutions. Come join the IPG family today! Find out more at our website.
Position Description
Title: Digital Transformation Data Scientist
Department: Business Transformation
Immediate Supervisor: Corporate Sr. Engineer Project Manager
Exempt
Digital Transformation Data Scientist will help drive a successful enterprise-wide adoption of a new data analytics platform to drive new process understanding and drive value through data enabled process efficiency. If being part of an effort to make AI in Manufacturing a reality excites you then please apply for this position.",$73K - $110K (Glassdoor est.),,1001 to 5000 Employees,Manufacturing,$500 million to $1 billion (USD),,3.9,72 %,100 %,4.4,3.4,3.7,3.6,3.5,3.2,,,1420,https://www.glassdoor.com/Reviews/Intertape-Polymer-Reviews-E5823.htm,https://www.glassdoor.com/Benefits/Intertape-Polymer-Benefits-E5823.htm
"Cigna
3.8","Senior Data Scientist - Risk Model Governance - Evernorth, Work At Home","New York, NY",United States,"Join our team as a Senior Data Scientist - Model Governance supporting our Evernorth business in Equity Governance. This is a role on the forefront of the new and highly adapting health equity analytics area. New regulation and policy is being drafted and developed to sign into bill across many federal, state and local regulating bodies. This team is responsible for assisting regulators and internal advisory committees in the assessment and feasibility of such bills. The position also works with internal model development organization to guide them through the adoption of regulation into their organizations to ensure compliance.

Responsibilities:
Manage model governance needs across business partners in the Data Science CoE, GD&A.
Review and provide thought leadership on model design, assumptions and performance as they relate to disparate metrics identified in our model governance framework.
Work cross-functionally to implement the model governance framework, enforce adherence and provide ongoing support for enhancements to the methodology.
Work with business partners to evaluate conceptual and technical soundness of models, including assumptions, performance, weaknesses and limitations. Provide guidance on mitigation actions.
Monitor and manage model governance KPIs of business partners around usage, disparity metrics and performance tracking
Participate in ongoing implementation of the governance procedure and various efforts in model standardization, automation, and inventory management.
Implement periodic model reviews and validation procedure for models in production.
Participate in internal audits and responses to regulatory requests.
Collaborate with Analytics Platform and Data Engineering teams to develop tools suitable for model governance needs.


MS in Quantitative fields such as Mathematics, Decision Science, Operations Research, Computer Science, Economics, Statistics, Engineering or equivalent work experience.
7+ years of strong technical skills to extract and analyze data with proficiency in SAS, Python, or R.
Deep understanding of statistics, probability theory, applied mathematics, and numerical optimization methods with broad exposure to modern machine learning models.
Strong interpersonal skills and an outstanding ability to build relationships and navigate within a complex organization.
Self-awareness, maturity, ability to collaborate as part of the multi-disciplinary team.
Passionate self-starter to collaborate with senior stakeholders to establish trust & transparency in model life-cycles.


PhD in Quantitative fields such as Mathematics, Decision Science, Operations Research, Computer Science, Economics, Statistics, or Engineering.
Experience in established institutions requiring setting up regulatory and / or consensus-driven methodology and model validation guidelines.

If you will be working at home occasionally or permanently, the internet connection must be obtained through a cable broadband or fiber optic internet service provider with speeds of at least 10Mbps download/5Mbps upload.

For this position, we anticipate offering an annual salary of 108,200 - 180,400 USD / yearly, depending on relevant factors, including experience and geographic location.

This role is also anticipated to be eligible to participate in an annual bonus plan.

We want you to be healthy, balanced, and feel secure. That’s why you’ll enjoy a comprehensive range of benefits, with a focus on supporting your whole health. Starting on day one of your employment, you’ll be offered several health-related benefits including medical, vision, dental, and well-being and behavioral health programs. We also offer 401(k) with company match, company paid life insurance, tuition reimbursement, a minimum of 18 days of paid time off per year and paid holidays. For more details on our employee benefits programs, visit Life at Cigna .

About Evernorth
Evernorth, Cigna Corporation’s health services segment, exists to elevate health for all. We're building on our legacy and redefining health care as we know it. Unbiased in how we think, we create without limitation. We partner without constraints, deliver value differently and act in the interest of humanity. Solving across silos, closing gaps in care, and empowering clients, customers, and people everywhere to move onward and upward. When you work with us, you’ll be empowered to solve the problems others don’t, won’t or can’t. Join us. What difference will you make?

Qualified applicants will be considered without regard to race, color, age, disability, sex, childbirth (including pregnancy) or related medical conditions including but not limited to lactation, sexual orientation, gender identity or expression, veteran or military status, religion, national origin, ancestry, marital or familial status, genetic information, status with regard to public assistance, citizenship status or any other characteristic protected by applicable equal employment opportunity laws.

If you require reasonable accommodation in completing the online application process, please email: SeeYourself@cigna.com for support. Do not email SeeYourself@cigna.com for an update on your application or to provide your resume as you will not receive a response.

Cigna has a tobacco-free policy and reserves the right not to hire tobacco/nicotine users in states where that is legally permissible. Candidates in such states who use tobacco/nicotine will not be considered for employment unless they enter a qualifying smoking cessation program prior to the start of their employment. These states include: Alabama, Alaska, Arizona, Arkansas, Delaware, Florida, Georgia, Hawaii, Idaho, Iowa, Kansas, Maryland, Massachusetts, Michigan, Nebraska, Ohio, Pennsylvania, Texas, Utah, Vermont, and Washington State.",$73K - $110K (Glassdoor est.),"$144,300",10000+ Employees,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),3.8,71 %,83 %,3.7,3.5,3.6,3.7,3.4,3.8,,,1420,https://www.glassdoor.com/Reviews/Cigna-Reviews-E119.htm,https://www.glassdoor.com/Benefits/Cigna-Benefits-E119.htm
"Newxel
4.5",ML Engineer,Remote,United States,"We are looking for a passionate, ambitious ML Engineer that wants to break boundaries, move mountains, and shape the future of AI. Our ideal candidate is a true expert in their field, develop cutting-edge technologies, and strives to get the best user experience and efficiency for our customers.
Requirements
5+ years of industrial experience with ML, including training, testing, deployment, and monitoring real-time (or near real-time) machine learning models in production
Proven experience with modern DL techniques and Gradient Boosting Trees
Excellent Python coding skills
Proficiency with ML libraries (TensorFlow, PyTorch, LightGBM, Scikit-learn)",$73K - $110K (Glassdoor est.),,201 to 500 Employees,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,4.5,89 %,88 %,,4.3,4.4,4.3,4.4,4.6,,,1420,https://www.glassdoor.com/Reviews/Newxel-Reviews-E2321957.htm,
"Sanofi US
3.9",mRNA - Machine Learning Principal Data Scientist - Vaccine,Remote,United States,"In the race for the future of health – The Sanofi mRNA Center of Excellence
At Sanofi, we believe in a world in which no one suffers or dies from vaccine-preventable diseases. And while the pandemic has shaken up our industry, creating new opportunities and risks, we believe the acceleration of innovation with mRNA technology means vaccines for more people faster than before.
That’s why we’re looking for bold, optimistic world-changers to join the team at our mRNA Center of Excellence. We’re investing €400m a year into the new Center, hiring a team of 400 dedicated employees for it and using it as the foundation to implement integrated end-to-end mRNA vaccine capabilities and research with R&D, digital and CMC teams.
Bring your ambition and optimism for the future to Sanofi. Join us.",$73K - $110K (Glassdoor est.),,10000+ Employees,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),3.9,78 %,87 %,4.3,3.5,3.8,3.8,3.4,3.7,,,1420,https://www.glassdoor.com/Reviews/Sanofi-Reviews-E9347.htm,https://www.glassdoor.com/Benefits/Sanofi-Benefits-E9347.htm
"Noridian Healthcare Solutions
3.7",Statistician I,"Fargo, ND",United States,"* Position is eligible for Remote / Work from Home opportunity *
Hiring Manager: Li Feng
Department: Data
Talent Partner: Elizabeth Fleming
Telecommuting Eligible: Yes
Job Grade: E12
Job Title",$73K - $110K (Glassdoor est.),"$77,452",1001 to 5000 Employees,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,3.7,63 %,78 %,3.6,3.5,3.7,3.5,3.2,3.6,,,1420,https://www.glassdoor.com/Reviews/Noridian-Healthcare-Solutions-Reviews-E248439.htm,https://www.glassdoor.com/Benefits/Noridian-Healthcare-Solutions-Benefits-E248439.htm
"Carrier
3.6",Staff Digital Data Science & AI Architect,Georgia,United States,"Date Posted:
2022-09-30-07:00
Country:
United States of America
Location:
CA6GA: Other GA US Remote Location, Remote City, GA, 06032 USA
Carrier Fire & Security is looking for a passionate and hands-on Data Science & AI architect for our global businesses to build and monetize data-driven services. This is an internally facing role, owning the overall aspects of data strategy, orchestration, governance, and industrializing AI-ML use cases. The ideal candidate would have successfully operationalized and commercialized data-driven services while having worked closely with Digital Product Managers, Solution Architects, and Engineering and Product Management teams.",$73K - $110K (Glassdoor est.),,10000+ Employees,Machinery Manufacturing,Manufacturing,$10+ billion (USD),3.6,69 %,81 %,3.8,3.4,3.4,3.5,3.1,3.4,,,1420,https://www.glassdoor.com/Reviews/Carrier-Reviews-E11042.htm,https://www.glassdoor.com/Benefits/Carrier-Benefits-E11042.htm
"CalypsoAI
4.3","Sales Engineer - Federal (MLOps, Data Science, AI/ML) - AI -Start -Up (East Coast)",Remote,United States,"Please apply directly on our career site: https://calypsoai.applytojob.com/

Software is eating the world - and AI is eating software. Just like the last two decades have seen software penetrate every industry and use case - the next two decades will see AI touch everything we do. And as more and more of the mission-critical systems that run our lives are entrusted to algorithms, reliability and safety become a real concern. This is where CalypsoAI comes in. At CalypsoAI we build tools for trusted AI.
We are growing our engineering team and are looking for an ambitious and self-driven Infrastructure Engineer to join us. As part of the Systems Engineering team, you will be responsible for designing and building our platform’s infrastructure using the latest technology. The work is technically challenging and highly rewarding. This is an exciting time to join CalypsoAI. Your work will be crucial to the success of our business, and you will have the
opportunity to grow your career with us.

This role requires US Citizenship. Active Department of Defense (DoD) security clearance (Secret or higher) is preferred.",$73K - $110K (Glassdoor est.),,1 to 50 Employees,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.3,83 %,N/A,,4.4,3.7,4.2,4.4,4.0,,,1420,https://www.glassdoor.com/Reviews/CalypsoAI-Reviews-E3402972.htm,https://www.glassdoor.com/Benefits/CalypsoAI-Benefits-E3402972.htm
"Best Buy
3.7",Senior Machine Learning Scientist - Recommender Systems - Remote,"Richfield, MN",United States,"This role is remote eligible, which means you would work virtually from home or another non-Best Buy location.

We believe that our company’s success depends on the passion and creativity of our amazing employees. To create environments in which our people can fully thrive, we turn to our guiding behaviors: Be human. Make it real. Think about tomorrow. These set the tone for Best Buy, along with our Rallying Cry: Let’s talk about what’s possible. Our supportive leaders collaborate with their teams through ongoing feedback and two-way dialogue to maintain a culture continual learning. All these factors combine to create an unbeatable experience for both customers and employees. If you like to have fun while you work, build confidence and grow your career, you’ll fit right in.

We at Best Buy work hard every day to enrich the lives of customers through technology, whether they come to us online, visit our stores or invite us into their homes. We do this by solving technology problems and addressing key human needs across a range of areas, including entertainment, productivity, communicating with coworkers and loved ones, preparing nutritious food, providing security for your home and family, and helping you take your health to the next level.
As an ML Scientist within the Applied Machine Learning - Personalization team, you will have the opportunity to work alongside industry experts researching, developing, and applying cutting algorithms to personalize Best Buy customer’s digital experience. In this role you will combine your knowledge of ML and AI algorithms with strong research expertise to contribute to a team developing and operationalizing models that help customers find the right products at the right time. The recommender systems you build will power the front-end experiences on the Bestbuy.com website and mobile app that are responsible for billions of dollars in revenues. You will help increase customer engagement by understanding the intent and intelligently optimizing the page layout, what SKUs are shown in the carousels and trading off between giving customers what they want vs allowing for serendipity.",$73K - $110K (Glassdoor est.),,10000+ Employees,Consumer Electronics & Appliances Stores,Retail & Wholesale,$10+ billion (USD),3.7,68 %,46 %,3.7,3.3,3.5,3.6,3.2,3.4,,,1420,https://www.glassdoor.com/Reviews/Best-Buy-Reviews-E97.htm,https://www.glassdoor.com/Benefits/Best-Buy-Benefits-E97.htm
