Company Name,Job Title,Location,Country,Job Description,Salary Estimate,Avg Salary,Size,Industry,Sector,Revenue,Rating,Recommend,CEO,Benefits,Opportunities,Comp Benefits,Culture,Management,WorkLife Balance,Pros,Cons,Num Listings,Reviews URL,Benefits URL
Novecom,Data Scientist,Newcastle,australia,"Novecom is seeking a person with a computer science or similar background, to develop analytic approaches for the processing of vision, sound and vibration data streams. This role would suit someone who enjoys using technology to organise, study and analyse large sets of data and solve problems.
Responsibilities
Developing and deploy models and/or adapt existing machine learning methods to meet project objectives
Building algorithms and design experiments to merge, manage, interrogate and extract data and gain insights
Using machine learning tools and statistical techniques to produce solutions to problems
Utilising various analytic and statistical methodologies to evaluate and interpret data",A$85K - A$135K (Glassdoor est.),,1 to 50 Employees,,,,,,,,,,,,,,,4120,,
"ING
4.0",Data Scientist,Sydney,australia,"At ING we put our Customers at the forefront of everything we do, through the leading products we offer, to the experience our customers have with us. A driving force behind our success is that we’re always using data to understand what it is our customers want, and helping our internal teams ensure that we’re building products and systems to meet / exceed those demands.
Which is a great segue to the role we have available, a Data Scientist, who would be joining our customer interactions team and would be responsible for establishing and developing ING’s advanced analytics capability.
We’re looking for someone who has a deep understanding of data exploration, analysis, and development of insights, with a focus specifically relating to automated decision making through machine learning. If you want to work at a place where we believe that you can make a difference by using machine learning to generate data driven products and solve the most pressing data challenges, then this role is definitely one you shouldn’t miss!
What are you going to do? You will…",A$85K - A$135K (Glassdoor est.),,10000+ Employees,Investment & Asset Management,Financial Services,$10+ billion (USD),4.0,82 %,91 %,4.0,3.8,3.9,4.0,3.5,4.0,,,4120,https://www.glassdoor.com/Reviews/ING-Reviews-E4264.htm,https://www.glassdoor.com/Benefits/ING-Benefits-E4264.htm
Children's Medical Research Institute,Data Scientist - Procan Cancer Data Science (CDS),Westmead,australia,"Make an important contribution to the health of future generations through medical research
Work with a world-leading, independent medical research institute
Located in Westmead—Sydney’s and Australia’s foremost biomedical research precinct
Children’s Medical Research Institute (CMRI) was Australia’s first dedicated paediatric research facility and is now one of the world’s most highly regarded independent medical research organisations. Our research focuses on the four key areas impacting children’s health: cancer, genomics and genetic diseases, neurobiology, and embryology. Our strong international reputation is based on decades of significant research outcomes in these areas of specialty. CMRI is also home to the world-first proteomics project, ProCan, which is changing the way cancer is diagnosed and treated. CMRI’s research programs are supported by state of the art facilities and committed research and support staff. Our achievements are made possible by a loyal network of community supporters, highly engaged donors, and the very successful Jeans for Genes® and Great Cycle Challenge fundraising campaigns.",A$85K - A$135K (Glassdoor est.),,,,,,,,,,,,,,,,,4120,,
"Murdoch Childrens Research Institute
4.1",Data Scientist,Melbourne,australia,"12-month Contract in a research institute committed to making a difference
Part time role (19 -22.8 hours per week) + Flexible working options
Attractive Salary $93,616 - $108,451 per annum (pro rata) + Super
Salary Packaging Benefits

Who We Are

Murdoch Children’s Research Institute (MCRI)

At MCRI we share a powerful vision; to re-imagine the future of child health. We are the home to many life-changing scientific discoveries. We believe that no question is too impossible to try and answer. We are renowned for our cutting edge focus on early interventions, improved diagnosis, prevention and development of potential cures. Our success is founded on a philosophy of collaboration through a multi-disciplinary approach to solving the toughest questions in child health. MCRI is committed to creating a culture of inclusivity, equity and respect that celebrates and values the diverse backgrounds and experiences of our people. We strive to foster a positive working environment that is underpinned by equal opportunity for all and consideration for the diverse voices of our people and the communities we serve. MCRI is a proud member of the Australian Network on Disability and is a committed subscriber to Science Australia Gender Equity (SAGE) and its principles.


The Health Services Research Unit (HSRU) works in partnership with the Health Services group within the Murdoch Children’s Research Institute (MCRI) and supports the development and use of the best available evidence to increase the quality, accessibility, and value of children’s healthcare. It provides real-time information to guide approaches to delivering the best and most cost-efficient care for children. Projects within the Unit aim to reduce inequity and improve health outcomes for children across Victoria and Australia.

The Data Scientist will work on a wide range of health services research projects, which are likely include the piloting and evaluation of a virtual emergency care model, evaluation of mental health services in north-western Melbourne, and evaluation of new approaches to improve outpatient clinic efficiency at The Royal Children’s Hospital.

This is an exciting opportunity for a savvy Data Scientist to employ their analytical skills and contribute to solving problems in the non for-profit sector.


Developing statistical analysis plans in collaboration with lead investigators
Data cleaning, management and analysis of hospital and linked administrative health data
Contributing to following and maintaining good data management practices including data storage and backup procedures
Creating/overseeing final annotated program files (R or Stata do‐files) that become the permanent, concise record of a coherent set of analyses
Contributing to the write‐up of reports and peer‐reviewed publications arising from the research, with co-authorship where intellectual contribution warrants


PhD/Masters qualification in Statistics, Epidemiology, Maths, Data Science or related discipline
Demonstrated quantitative statistical analysis skills, including experience with preparing and analysing health data, linked health datasets, and program language (eg. R, STATA, or Python)
Demonstrated understanding of a range of research methodologies and their application in empirical research
Understanding and experience of working on multi-faceted projects with busy health professionals
Appreciation for or experience of qualitative research methods and how they combine with quantitative analyses to inform health policy and practice

Apply Now!

You are invited to apply online via the MCRI Careers Portal. Please click the apply at the top of the page.


Cover letter
Resume
Responses to the selection criteria the via position description

Please submit your application in one combined pdf document.

Any specific questions related to this position should be directed to Prof Harriet Hiscock at harriet.hiscock@mcri.edu.au

We welcome all genders, ages, ethnicities, cultural backgrounds, abilities, religions and sexual orientations in our workplace and encourage talented people of any identity to apply to our vacancies. We will provide reasonable adjustments in our recruitment process and in the workplace, please contact the People Leader listed above if this is needed.

All applicants, please be aware that in line with the Victorian Pandemic Orders and the MCRI and VCGS COVID-19 Vaccination Policy, all MCRI and VCGS workers must be fully vaccinated (boosted), unless a valid medical exception applies.

Please note, we reserve the right to close the vacancy prior to the closing date once a sufficient number of applications have been received.

19 October 2022",A$85K - A$135K (Glassdoor est.),,1001 to 5000 Employees,Nonprofit & NGO,$25 to $100 million (USD),,4.1,76 %,N/A,,3.7,4.0,4.2,3.3,3.5,,,4120,https://www.glassdoor.com/Reviews/Murdoch-Childrens-Research-Institute-Reviews-E658557.htm,
"Qantas Airways Limited
3.8",Data Insights Analyst,Melbourne,australia,"Working on challenging and exciting initiatives
Join and shape a growing Data Science and Analytics Team in Jetstar Technology
Full time permanent opportunity based at our head office in Collingwood
Jetstar thrives on innovation! We are always looking to employ ambitious and proactive professionals to help our business work smarter and more efficiently. You will be encouraged to think innovatively whilst developing and maintaining best practice. What’s more, this role will see you working as part of a broader group Jetstar and Qantas structure.
Working within the Data Science & Analytics team, the Data Insights Analyst will be required to perform detailed reporting and deep-dive analytics to support both Commercial & Operations teams. The successful candidate will be highly organised, commercially astute with understanding of core commercial principles and practices, have previous experience in a commercial analyst role or similar.
Key responsibilities of this role will include:",A$85K - A$135K (Glassdoor est.),,10000+ Employees,"Airlines, Airports & Air Transportation",Transportation & Logistics,$10+ billion (USD),3.8,66 %,62 %,3.3,3.5,3.6,3.6,3.1,3.6,,,4120,https://www.glassdoor.com/Reviews/Qantas-Reviews-E3342.htm,https://www.glassdoor.com/Benefits/Qantas-Benefits-E3342.htm
LAND INSIGHT,Geospatial & Data Analyst,Sydney,australia,"Job description
Are you passionate about sustainability and the environment? Want to be part of a team that is bonded by a common purpose and is involved in solving one of the most complex and pressing issues of our times?? Do you like challenges and learning new things?
We have an opportunity for you!
Land Insight is systemising and enriching environmental data accessibility, helping businesses to quantify and evaluate environmental risks.
We are looking for an experienced Geospatial & Data Analyst for an immediate start. This is a full-time ongoing position, based in Sydney.",A$85K - A$135K (Glassdoor est.),,,,,,,,,,,,,,,,,4120,,
"ConocoPhillips
4.0",Computer Science Internship,Brisbane,australia,"Computer Science Internship - 00VPD
Description

Keen to elevate your tertiary computer studies with ‘real world’ experience in the energy sector? ConocoPhillips Australia is now recruiting for an eligible computer science student to join our organisation for a 12-week paid work experience placement between 28 November 2022 and 24 February 2023.
Who we are
ConocoPhillips is one of the world’s leading exploration and production companies, based on proved reserves and production of liquids and natural gas. With operations and activities in 13 countries, we explore for, develop, and produce crude oil and natural gas globally. We are challenged with an important job to safely find and deliver energy to the world. Our employees are critical to our success, and with them we power civilization.",A$85K - A$135K (Glassdoor est.),,501 to 1000 Employees,Energy & Utilities,"Energy, Mining & Utilities",$1 to $5 million (USD),4.0,80 %,82 %,,3.6,4.3,3.7,3.4,4.0,,,4120,https://www.glassdoor.com/Reviews/ConocoPhillips-Reviews-E14933.htm,
"Virgin Australia
3.7",Data Science Manager,Sydney,australia,"WORK TYPE:
Full Time
LOCATION:
Sydney
JOB TYPE:
Data & Analytics
APPLICATIONS CLOSE:
Data Science Manager",A$85K - A$135K (Glassdoor est.),,5001 to 10000 Employees,"Airlines, Airports & Air Transportation",Transportation & Logistics,Unknown / Non-Applicable,3.7,68 %,66 %,4.5,3.3,3.5,3.5,3.0,3.2,,,4120,https://www.glassdoor.com/Reviews/Virgin-Australia-Reviews-E472509.htm,https://www.glassdoor.com/Benefits/Virgin-Australia-Benefits-E472509.htm
"AGL Energy
3.2",Data Scientist,Melbourne,australia,"As the needs of our customers change, so do we.
At AGL, we believe progress is powered by our people.
If you’re set on making real change for tomorrow, we have the scale, resources and ambition to get it started today.
Now’s an extraordinary time to work with us. We’re taking the lead on renewables and expanding our products to make them more sustainable, affordable and useful for all Australians.
That’s what we call progress. To achieve it, we’re bringing together people with unique stories, perspectives, backgrounds and talent – and we need yours too!
About the Role
Flexible working arrangements – find a way that works for you
Permanent Data Scientist role – exposure to strategic projects
Great deal of autonomy in role, collaborative and trusting team culture
Analytics and Data Science",A$85K - A$135K (Glassdoor est.),,1001 to 5000 Employees,Energy & Utilities,"Energy, Mining & Utilities",$1 to $5 billion (USD),3.3,55 %,42 %,,3.1,3.5,3.4,2.7,3.8,,,4120,https://www.glassdoor.com/Reviews/AGL-Energy-Reviews-E37991.htm,
"Carma
3.8",Head of Data Science,Sydney,australia,"Backed by an ambitious team, the latest technology, first-class customer service and a state of the art test facility, Carma makes buying pre-loved cars a seamless, hassle-free experience. Embrace the chance to be part of a fast-growing business right from the start.

About the Role
Ever wanted the chance to join a start-up just before it gets big, and really make your mark? This is it. We’re looking for a Head of Data Science to design, execute and manage our data insights capability, and help us gain a competitive edge.

Who we’re looking for
In a nutshell, we’re seeking an empathetic, over-achieving mathematician with strong analytics experience.
Responsibilities include",A$85K - A$135K (Glassdoor est.),,1 to 50 Employees,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,3.8,56 %,58 %,,3.5,3.1,4.0,3.3,3.7,,,4120,https://www.glassdoor.com/Reviews/GoCarma-Reviews-E945677.htm,
AssetFuture,Data Analyst,Sydney,australia,"SYDNEY, NSW / Brisbane, Eagle Farm, QLD AUSTRALIA
About AssetFuture
AssetFuture is a global leader in asset optimisation. Our SaaS Solution works behind-the-scenes to make complex decisions simpler. Our vision is to improve communities by enabling a range of organisations to make significant cost savings, reduce risk and increase performance of physical assets across the entire portfolio, through evidence-based decision making.
Reporting to the Data Excellence Manager, as Data Analyst you will validate, manage and analyse the AssetFuture database. As an integral part of the data team, you will liaise closely with the project management and communications teams and the field assessors.
The objective of the role is to draw insights to enable clients and management to deliver effective operational business decisions.",A$85K - A$135K (Glassdoor est.),,,,,,,,,,,,,,,,,4120,,
