Company Name,Job Title,Location,Country,Job Description,Salary Estimate,Avg Salary,Size,Industry,Sector,Revenue,Rating,Recommend,CEO,Benefits,Opportunities,Comp Benefits,Culture,Management,WorkLife Balance,Pros,Cons,Num Listings,Reviews URL,Benefits URL
ZEISS Group,Data Scientist,,china,"Service as a technical expert/lead on big data and machine learning algorithom development and manage the medical big data system within the team. Also provide technical supports to line manager and other digital projects.
Lead the data relevant tasks in digital product development
Processing, cleansing, and verifying the integrity of data used for analysis
Design and develop the database and algorithms for projects/products
Build the process that transform digital projects to be data-driven projects
Lead big data or machine learning algorithm development in digital projects/products, including chatbot development and optimization
Build and manage the machine learning or big data lifecycle system
Lead the algorithm development together with internal or external partners
Arrow Wu （吴佳艳）, Magin Yang （杨晓君）",,,,,,,,,,,,,,,,,,182,,
达能,Nutrition Epidemiology Scientist,,china,"招聘类型：社招
工作性质：全职
职位描述
The Nutrition Epidemiology Scientist is responsible for drive innovation through big data mining and historical data mining addressing nutrition and health needs and impact factors throughout life span aligning with cooperate strategy. He or she will be responsible for networking together with external academic bodies and institutions, maintaining relationship with top KOLs.
Drive external nutrition related database identification and evaluation. Drive deep mining on nutrition and health information and algorithm development align with business visions. Priority areas include human milk and feeding experience impacts on infant and child health, nutrition and health performance across life cycle.",,,,,,,,,,,,,,,,,,182,,
The Trade Desk,Data Scientist II,,china,"The Trade Desk is a global technology company with a mission to create a better, more open internet for everyone through principled, intelligent advertising. Handling over 600 billion queries per day (more than 100 times the query volume of search globally), our platform operates at an unprecedented scale. We have also built something even stronger and more valuable: an award-winning culture based on trust, ownership, empathy, and collaboration. We value the unique experiences and perspectives that each person brings to The Trade Desk, and we are committed to fostering inclusive spaces where everyone can bring their authentic selves to work every day.
Do you have a passion for solving hard problems at scale? Are you eager to join a dynamic, globally-connected team where your contributions will make a meaningful difference in building a better media ecosystem? Come and see why Fortune magazine consistently ranks The Trade Desk among the best small-medium-sized workplaces globally.
The Trade Desk does not accept unsolicited resumes from search firm recruiters. Fees will not be paid in the event a candidate submitted by a recruiter without an agreement in place is hired; such resumes will be deemed the sole property of The Trade Desk. The Trade Desk is an equal opportunity employer. All aspects of employment will be based on merit, competence, performance, and business needs. We do not discriminate on the basis of race, color, religion, marital status, age, national origin, ancestry, physical or mental disability, medical condition, pregnancy, genetic information, gender, sexual orientation, gender identity or expression, veteran status, or any other status protected under federal, state, or local law.",,,,,,,,,,,,,,,,,,182,,
Hitachi Energy,Scientist,,china,"At Hitachi Energy our purpose is advancing a sustainable energy future for all. We bring power to our homes, schools, hospitals and factories. Join us and work with fantastic people, while learning and developing yourself on projects that have a real impact to our communities and society. Bring your passion, bring your energy, and be part of a global team that appreciates a simple truth: Diversity + Collaboration = Great Innovation
Our R&D engineers and scientists develop breakthrough technologies that change the way the world works, and industries do business. We constantly push the limits of convention, while retaining our focus on delivering solid returns for our customers and shareholders. We are looking for candidates for the position of R&D Scientist to perform research in the field of battery technology. The specific areas may include electrochemistry, electrode materials, electrolyte, battery manufacturing or battery aging modeling. You will be part of the Hitachi Energy Research team to develop cutting edge material technologies for power transmission and distribution products to realize the vision of a “net zero” world.",,,,,,,,,,,,,,,,,,182,,
LexisNexis,Data Scientist II,,china,"Join a team of driven software engineers to design, prototype, implement, deploy, and maintain features for our NLP or search related projects. Conduct experiments on large datasets to evaluate the feasibility, results, and performance of NLP technology Make sound engineering decisions and improve software development practices with an eye for performance and reliability

LexisNexis Legal & Professional (
www.lexisnexis.com
) is a leading global provider of content and technology solutions that enable professionals in legal, corporate, tax, government, academic and non-profit organizations to make informed decisions and achieve better business outcomes. As a digital pioneer, the company was the first to bring legal and business information online with its Lexis« and Nexis« services. Today, LexisNexis Legal & Professional harnesses leading-edge technology and world-class content, to help professionals work in faster, easier and more effective ways. Through close collaboration with its customers, the company ensures organizations can leverage its solutions to reduce risk, improve productivity, increase profitability and grow their business. Part of RELX Group plc, LexisNexis Legal & Professional serves customers in more than 100 countries with 10,000 employees worldwide.",,,,,,,,,,,,,,,,,,182,,
NVIDIA,"Deep Learning Scientist, Prediction - Autonomous Vehicles",,china,"We are looking for a Deep Learning Scientist for our Autonomous Vehicles team to work on multi-agent prediction. Intelligent machines powered by Artificial Intelligence computers that can learn, reason and interact with people are no longer a science fiction. Today, a self-driving car powered by AI can meander through a country road at night and find its way. An AI-powered robot can learn motor skills through trial and error. The era of AI has begun. NVIDIA's GPUs run Deep Learning algorithms, simulating human intelligence, and acts as the brain of computers, robots and self-driving cars that can perceive and understand the world. Just as human imagination and intelligence are linked, computer graphics and AI come together in our architecture. This may explain why.
NVIDIA GPUs are used broadly for Deep Learning, and NVIDIA is increasingly known as “the AI company”. Make your choice to join us today. We are training Deep Neural Networks for NVIDIA's Autonomous Vehicles effort, with the goal to enable autonomous driving as well as mapping. We are seeking Deep Learning/Machine Learning scientists & engineers who are passionate about solving problems in perception, prediction, planning and control for self-driving cars to achieve full autonomy. Are you interested in inventing human level AI for navigation in the unconstrained world under any conditions? If so, join us!
#deeplearning",,,,,,,,,,,,,,,,,,182,,
BeiGene,ADA Scientist,,china,"BeiGene continues to grow at a rapid pace with challenging and exciting opportunities for experienced professionals. When considering candidates, we look for scientific and business professionals who are highly motivated, collaborative, and most importantly, share our passionate interest in fighting cancer.
Job Description:
The DMPK department of BeiGene is seeking a highly motivated individual for therapeutic protein ADA at Shanghai Research Center. The successful candidate should have in depth knowledge of immunoassays for therapeutic protein.

Job Description
Responsible for ADA method development, sample bioanalysis and statistic analysis of data to support therapeutic protein projects such as BsAb and ADC etc;
Conduct ADA, PK and in vitro stability studies to support drug discovery efforts;",,,,,,,,,,,,,,,,,,182,,
Momentive,Staff Scientist,,china,"Position Title:
Staff Scientist

Position Summary:
Closely working with technology, sales, marketing, ADE team to develop innovative HDC/WSC products/solutions

Job Description:
Development of new acrylate coating materials with a focus on weathering resistant, anti-fogging, scratch resistant etc. within global coating team
New product development directed at the hardcoats market: creative input to the design and promotion of differentiated new products that meet the needs of the Coatings Market to drive business growth",,,,,,,,,,,,,,,,,,182,,
Roche,Computer-Aided Drug Design (CADD) Scientist - AIDD,,china,"The Position
Computer-Aided Drug Design (CADD) Scientist

Responsibilities:
. Apply computational chemistry techniques to advance small-molecule drug discovery programs (Work collaboratively with chemists, biologists and multidisciplinary project team members from target assessment to hit identification, compound optimization towards clinical candidates)
. A key contributor to compound design and optimization from molecular modeling and data analysis viewpoints (Devise and implement testable hypotheses to formulate compound design strategies)
. Generate knowledge and insights at the molecular level and help to assist biophysics and biochemical assay interpretation
. Help with new target assessment through druggability, selectivity and/or tool compound analysis
. Conduct scientific method development in specific cheminformatics/AI (on-target potency or property prediction model building) or molecular modeling (SBDD or binding free energy calculation) areas applicable to drug discovery
. Apply existing machine learning or deep learning models in projects, or further develop with better algorithm if appropriate",,,,,,,,,,,,,,,,,,182,,
Grab,Senior Data Scientist,,china,"Job Description:
Life at Grab
At Grab, every Grabber is guided by The Grab Way, which spells out our mission, how we believe we can achieve it, and our operating principles - the 4Hs: Heart, Hunger, Honour and Humility. These principles guide and help us make decisions as we work to create economic empowerment for the people of Southeast Asia.
Get to know the team:
The data science team develops data mining, machine learning and various algorithms to optimize user experience and the efficiency of the platform. The technologies are also externalized as SaaS products.
Get to know the role:",,,,,,,,,,,,,,,,,,182,,
