Company Name,Job Title,Location,Country,Job Description,Salary Estimate,Avg Salary,Size,Industry,Sector,Revenue,Rating,Recommend,CEO,Benefits,Opportunities,Comp Benefits,Culture,Management,WorkLife Balance,Pros,Cons,Num Listings,Reviews URL,Benefits URL
"Regroup Mass Notification
3.3",Data Scientist,Costa Rica,costa-rica,"Regroup Mass Notification — a global company with headquarters in Dallas — is growing! We currently have openings for a Data Scientist. Regroup believes in working with talented yet humble people who care about our core mission: Keeping communities and organizations safe and informed.

We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help guide and improve our decision making process. We will rely on you to build data products to extract valuable business insights.

Responsibilities:",CRC 17M - CRC 29M (Employer est.),,51 to 200 Employees,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.3,59 %,54 %,1.0,2.9,2.8,3.1,3.2,3.5,,,30,https://www.glassdoor.com/Reviews/Regroup-Mass-Notification-Reviews-E1104972.htm,https://www.glassdoor.com/Benefits/Regroup-Mass-Notification-Benefits-E1104972.htm
"Hakkoda
5.0",Data Engineer,Heredia,costa-rica,"We are looking for a savvy Data Engineer to join our growing team of experts. This position will work in the design and development of Snowflake Data Cloud solutions. The work includes data ingestion pipelines, data architecture, data governance and security. The ideal candidate is an experienced data pipeline builder and data wrangler who enjoys optimizing data systems and building them from the ground up. The Data Engineer will support our database architects, data analysts and data scientists on data initiatives and will ensure optimal data delivery architecture is consistent throughout ongoing customer projects. This role will require you to be self-directed and comfortable supporting the data needs of multiple teams, systems and products. The right candidate will be excited by the prospect of working for a start-up company to support our customers next generation of data initiatives.
Job Type: Full-time
Pay: ₡16,900,000.00 - ₡29,100,000.00 per year",CRC 17M - CRC 29M (Employer est.),,1 to 50 Employees,,,,5.0,100 %,N/A,,5.0,5.0,5.0,5.0,4.0,,,30,https://www.glassdoor.com/Reviews/Hakkoda-Reviews-E7015791.htm,
"Hangar Worldwide
4.2",Data Scientist - HG0466,Heredia,costa-rica,"Show the world what you can do.

We’re looking for an inspired, motivated, and experienced Data Scientist Engineer to join our team. The Data Scientist is an individual who is curious, intellectually driven, and has a passion for breaking down abstract problems into understandable and measurable parts. Part anthropologist, part mathematician, part hacker, the Data Scientist will help our clients understand the segment of the population that buys their products and the segment that does not. Data scientists don’t have “typical” days –you will be responsible for complex deliverables and be expected to prioritize your team towards the most effective tasks without constant supervision. These may include writing scripts to automate data cleanup, tweaking predictive models, or contributing to a brainstorming session.",CRC 17M - CRC 29M (Employer est.),,201 to 500 Employees,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.2,90 %,N/A,,4.2,3.9,4.3,3.8,4.2,,,30,https://www.glassdoor.com/Reviews/The-Hangar-Interactive-Reviews-E930245.htm,
"Emerson
3.9",Business Intelligence/Data Scientist,Escazú,costa-rica,"Duties and Responsibilities
Interacting with the high Management and internal stakeholders to deep-dive outlier events and provide actionable insights, analyzing business requirements and processes and recommending them to the management and executives for implementation
Develop custom data models and algorithms to apply to data sets
Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes
Communicate analytic solutions to stakeholders and identify process and system improvement opportunities by monitoring existent metrics, analyzing data, and partnering with internal teams
Develop processes and tools to monitor and analyze model performance and data accuracy
Presents information using data visualization techniques (executive dashboards creation)",CRC 17M - CRC 29M (Employer est.),,10000+ Employees,Electronics Manufacturing,Manufacturing,$10+ billion (USD),3.8,80 %,91 %,3.6,3.6,3.4,3.9,3.4,3.8,,,30,https://www.glassdoor.com/Reviews/Emerson-Reviews-E225.htm,https://www.glassdoor.com/Benefits/Emerson-Benefits-E225.htm
"Connect Assistance
4.0",Data Scientist,San Jose,costa-rica,"Connect Assistance es una compañía de tecnología líder en la industria de Asistencia en Carretera y Hogar con presencia en Puerto Rico, Costa Rica, Panamá y Colombia. Nuestra misión es resolver problemas ordinarios con soluciones extraordinarias.

Estamos buscando un(a) profesional en el área de la ciencia de datos, que desee unirse a nuestro equipo de trabajo para que juntos sigamos impulsando nuestro continuo crecimiento.

Algunas funciones y responsabilidades
Implementar la infraestructura de Machine Learning en Connect (incluyendo la organización de código fuente y despliegues productivos de modelos) y derivar “insights” para el negocio basado en data. Implementar algoritmos avanzados de Machine Learning y Data Mining (incluyendo duplicación de récords, clustering, clasificación, entre otros). Apoyar al equipo de “Data Engineering” con proyectos de inteligencia de negocio. Velar por la integridad de los datos, modelos y predicciones en Connect. Presentar visualizaciones del desempeño de modelos y de análisis de datos.",CRC 17M - CRC 29M (Employer est.),,1 to 50 Employees,,,,4.0,N/A,N/A,,1.0,5.0,3.0,3.0,3.0,,,30,,
"Storyblok
4.7",Data Engineer,Cartago,costa-rica,"Company Description

From the start, we have seen unbelievable growth in community and usage on a global scale, empowering people and companies in 131 countries to build sustainable and reliable projects faster.
As a company, we’ve grown from 20 people to 175 right now, across 40 countries, with 42% identifying as female. Our goal is to reach 300 employees by the end of 2022! We recently secured a Series B funding of $47 million. With that said, there’s plenty of room for personal career advancements. It might come faster than you think.
We are a growing Developer Experience team in a company with a flat hierarchy. This means we promise you will have lots of autonomy and accessibility on meaty projects. Hopefully, this is your idea of career progression.
Many companies talk at length about their company, we will let the results speak for themselves. In the last 3 years, only one person has left.
Yes, we are fast-paced, and our team is passionate and driven to become the defacto standard in headless CMS. If you want to influence the future of Storyblok, and how businesses manage their content, join us as our Data Engineer.",CRC 17M - CRC 29M (Employer est.),,51 to 200 Employees,Enterprise Software & Network Solutions,Information Technology,$25 to $100 million (USD),5.0,100 %,N/A,,5.0,4.6,5.0,5.0,5.0,,,30,https://www.glassdoor.com/Reviews/Storyblok-Reviews-E4523274.htm,
"Western Union
3.9",Associate Decision Scientist,Santa Ana,costa-rica,"Associate Decision Scientist – Santa Ana, Costa Rica
Are you ready to join an advanced team in a global company that customers depend on to prevent fraudulent transactions? Are you energized by thinking analytically while working with others to tackle problems and improve processes? Join Western Union as an Associate Decision Scientist.

Motivated by our values: purpose driven, globally minded, and trustworthy & respectful
We’re a FinTech that’s using insight from customers and colleagues worldwide to improve financial services for families, small businesses, multinational corporations, and non-profit organizations. We’re a team of over 8,000 people spanning 200 countries and territories. We believe when money moves, better things happen.",CRC 17M - CRC 29M (Employer est.),,10000+ Employees,Financial Transaction Processing,Financial Services,$5 to $10 billion (USD),3.9,77 %,83 %,4.1,3.6,3.8,3.9,3.5,3.8,,,30,https://www.glassdoor.com/Reviews/Western-Union-Reviews-E14655.htm,https://www.glassdoor.com/Benefits/Western-Union-Benefits-E14655.htm
"Amazon Web Services Costa Rica
3.8",Data Engineer,San Jose,costa-rica,"Bachelor’s degree in Computer Science or related technical field, or equivalent work experience.
4+ years of work experience with ETL, Data Modeling, optimizing ETL, and Data Architecture.
2+ years of scripting experience in Python, Scala or other languages.
2+ experience with AWS services including S3, Redshift, EMR, Kinesis and RDS.
2+ years of work experience with Big Data Technologies (Hadoop, Hive, Hbase, Pig, Spark, etc.)
Knowledge of distributed systems as it pertains to data storage and computing

Job summary
Kumo (pronounced ‘Koo-mo’, the Japanese word for ""cloud"") is the global product and engineering organization for AWS Support, a multi-billion $ business. Kumo’s products, used by AWS customers and the internal Amazonian teams that help them, are vital to ensuring exceptional customer experiences on AWS. Kumo has a broad portfolio of customer-facing and internal services. Our public-facing properties include AWS Trusted Advisor, AWS Health, Automation, Recommendations & Insights, AWS Support Center, AWS Knowledge center, and many more. Our internal AWS Support teams rely on Kumo services to interact with AWS customers, diagnose and resolve customer issues, and safely share information across AWS teams. These services must work seamlessly, and be available when AWS services are not. Any changes to these tools has a force multiplicative effect on how customers experience AWS and the efficiencies of the internal workforce.

We are looking for an exceptional Data Engineer who is passionate about data and the insights that large amounts of data sets can provide. The ideal candidate will possess both a data engineering background and a strong business acumen that enables him/her to think strategically. He/she will experience a wide range of problem solving situations requiring extensive use of data collection and analysis. The successful candidate will work in lock-step with BI Engineers, Data scientists, ML scientists, Business analysts, Product Managers and other stakeholders across organization. He/she will:",CRC 17M - CRC 29M (Employer est.),,10000+ Employees,Internet & Web Services,Information Technology,$10+ billion (USD),3.8,74 %,80 %,4.0,3.9,3.9,3.7,3.5,3.4,,,30,https://www.glassdoor.com/Reviews/Amazon-Reviews-E6036.htm,https://www.glassdoor.com/Benefits/Amazon-Benefits-E6036.htm
"OnProcess Technology
3.6",Azure Data Architect III,San Jose,costa-rica,"Job Overview:
We’re on a bit of a mission at OnProcess. We are helping the world’s service supply chains get a whole lot better. Why? Because we believe that great customer service is a necessity, digital innovation is a game-changer and a new approach towards the ‘circular’ supply chain will drive dramatic sustainability benefits to the world – and we are making all this happen.
OnProcess are market leaders in the provision of innovative, engaging and value driven parts supply chain solutions across a diverse range of sectors. Solutions provided by OnProcess span Service Parts Planning, Delivery and Recovery services and comprise multiple technical and non-technical components.
The Azure Data Architect III will be part of a team responsible for designing, building, optimizing, and maintaining our data processing and data pipeline architecture specifically supporting our cloud based, Microsoft Azure environment. The ideal candidate is experienced bringing project requirements together using Azure services to enable data analysis, decision making and business data processing. The Azure Data Architect III will be responsible that data is accessible, durable, scalable, and secure while leveraging a cloud first architecture. The Azure Data Architect III must be comfortable supporting multiple teams, systems, and projects.",CRC 17M - CRC 29M (Employer est.),,1001 to 5000 Employees,Business Consulting,Management & Consulting,$25 to $100 million (USD),3.6,72 %,80 %,2.6,3.4,2.8,3.4,3.2,3.3,,,30,https://www.glassdoor.com/Reviews/OnProcess-Technology-Reviews-E378337.htm,https://www.glassdoor.com/Benefits/OnProcess-Technology-Benefits-E378337.htm
"National Instruments
3.9",Technical Support Representative,Costa Rica,costa-rica,"This is a pipeline requisition for potential future openings. It does not indicate that a job opening currently exists at NI for this position. When a position becomes available that fits your background and experience, someone from our recruiting team will be in contact.
Technical Support Representatives partner with customers to ensure their success through broad-based technical support of NI Products. Technical Support Representatives respond to technical needs to help maintain or accelerate our customers' development schedule, building customer loyalty and gaining a reputation as trusted technical partners.
Key Responsibilities
Resolve customers’ single incidents during installation, implementation, and/or maintenance of NI products.",CRC 17M - CRC 29M (Employer est.),,5001 to 10000 Employees,Electronics Manufacturing,Manufacturing,$1 to $5 billion (USD),3.9,76 %,75 %,3.7,3.6,3.3,4.2,3.5,4.1,,,30,https://www.glassdoor.com/Reviews/National-Instruments-Reviews-E4030.htm,https://www.glassdoor.com/Benefits/National-Instruments-Benefits-E4030.htm
