Company Name,Job Title,Location,Country,Job Description,Salary Estimate,Avg Salary,Size,Industry,Sector,Revenue,Rating,Recommend,CEO,Benefits,Opportunities,Comp Benefits,Culture,Management,WorkLife Balance,Pros,Cons,Num Listings,Reviews URL,Benefits URL
"Banco Pichincha
3.9",DATA SCIENTIST,Quito,ecuador,"Definir, desarrollar e identificar la técnica particular, relación entre variables, desarrollo del código del modelo, optimización de la solución y algoritmos usando analítica descriptiva y prescriptiva a fin de garantizar el funcionamiento de la solución matemática desarrollada, la escalabilidad y repetibidad de las soluciones y mejoras operacionales tangibles de acuerdo a políticas, procedimientos y lineamientos del CDO.

En Banco Pichincha nos estamos transformando; por eso, queremos incorporar el mejor talento a nuestro equipo. Buscamos profesionales amantes de la innovación, la tecnología y el mundo digital que estén dispuestos a asumir nuevos desafíos. Nuestros 116 años de trayectoria nos ratifican que contar con personas comprometidas y con un alto desempeño es imprescindible para lograr nuestros objetivos. ¡Tú puedes ser el próximo! El esfuerzo, la responsabilidad, la coherencia y la trascendencia son valores que marcan la labor diaria de los 5.400 colaboradores que formamos parte de la mayor institución financiera del país. Empezamos a escribir la primera página de nuestra historia en 1906. Hoy contamos con filiales en seis países. En cada uno de esos mercados, defendemos la idea de una banca con propósito porque la tecnología, por sí misma, no es suficiente para favorecer la inclusión financiera. Nuestro liderazgo se afianza más en el nuevo humanismo y la ética empresarial, dos principios que contribuyen a mejorar la vida de nuestros clientes y a aportar al desarrollo de la sociedad.

Requisitos

EDUCACIÓN Título en áreas con un alto componente analítico (Economía, Estadística, Ingeniería Matemática o afines) o en Ingeniería de Sistemas De Preferencia máster en áreas como Data Science, Computer Science, Econometrics, Artificial Intelligence o afines EXPERIENCIA Modelación analítica (modelos predictivos o prescriptivos) Manejo de Big Data (grandes volúmenes de datos) Concursos CONOCIMIENTO Programación orientada a objetos Agrupar, ordenar y analizar grandes bases de datos (Big Data) vía SQL/MemSQL/Otros Entendimiento de matemáticas aplicadas, inteligencia artificial y operaciones matriciales Modelamiento de datos y entendimiento de diferentes estructuras de datos Software Open Source (R, Python, Jupyter, Anaconda, Mongo DB) Modelos estadísticos y econométricos (teoría y aplicaciones) Métricas de evaluación estadística/econométrica

Beneficios

Te ofrecemos un sin número de oportunidades para poner en práctica tu conocimiento, proponer ideas nuevas y diferentes en una institución que se transforma en beneficio de sus clientes y colaboradores. Contamos con un atractivo paquete salarial con beneficios monetarios y no monetarios, entre ellos capacitaciones constantes que te ayudarán a desarrollar tus habilidades esenciales y conocimiento técnico. Si cumples con todos los requisitos, esperamos tu postulación. Nos encantará acompañarte en tu crecimiento profesional. ¡Súmate a este nuevo desafío!",,,Unknown,,,,3.9,85 %,72 %,5.0,3.6,3.8,3.7,3.5,3.4,,,12,https://www.glassdoor.com/Reviews/Banco-Pichincha-Reviews-E3137816.htm,https://www.glassdoor.com/Benefits/Banco-Pichincha-Benefits-E3137816.htm
"Cargill
4.1",Research Scientist II,Eloy Alfaro,ecuador,"Want to build a stronger, more sustainable future and cultivate your career? Join Cargill's global team of 160,000 employees who are committed to safe, responsible and sustainable ways to nourish the world. This position is in Cargill’s animal nutrition and health business, where we improve lives through better nutrition. Our team researches, innovates and creates solutions that deliver healthy results for our customers.
Job Purpose and Impact
The Research Scientist II will apply innovative technology to help drive the development of new products and improved processes for the food, feed and industrial segments. In this role, you will support the team and provide analytical knowledge to generate and analyze critical data. Key Accountabilities

May present ongoing work and findings to external audiences at conferences including the summaries and the nature and methodology of the research.
Identify and resolve first line troubleshooting analytical instrumentation.
Execute sample loading, processing and chromatographic trouble shooting prior to effectively communicate results to diverse scientific teams.
Conduct analytical samples, experiments following standards including the proposal disposal of wastes according to environmental health and safety guidelines in a high safety focused environment.
Build and conduct scientific experiments and process and analyze results of experiments and records data.
Independently solve moderately complex issues with minimal supervision, while escalating more complex issues to appropriate staff.
Other duties as assigned Qualifications
Minimum Qualifications
Bachelor's degree in a related field or equivalent experience
Minimum of two years of related work experience
Advanced english Preferred Qualifications Beginning-to-working knowledge of research techniques Experience in shrimp nutrition or production One or more year of related work experience",,,10000+ Employees,Crop Production,Agriculture,Unknown / Non-Applicable,4.0,83 %,90 %,3.9,3.8,4.0,4.0,3.6,3.7,,,12,https://www.glassdoor.com/Reviews/Cargill-Reviews-E2739.htm,https://www.glassdoor.com/Benefits/Cargill-Benefits-E2739.htm
"Cargill
4.1",Senior Scientist - CQN,Eloy Alfaro,ecuador,"Want to build a stronger, more sustainable future and cultivate your career? Join Cargill's global team of 160,000 employees who are committed to safe, responsible and sustainable ways to nourish the world. This position is in Cargill’s animal nutrition and health business, where we improve lives through better nutrition. Our team researches, innovates and creates solutions that deliver healthy results for our customers.
Job Purpose and Impact

Are you looking for opportunity to give to state-of-the-art scientific research? Join our team as a Senior Scientist , a key member of Cargill Aqua Nutrition (CQN) R&D team, where you will be responsible for innovating shrimp nutrition technology to help drive the development of shrimp projects and improved processes aligned with our CQN business objectives, generating value for our customers and preparing CQN pipeline for the future Key Accountabilities

Lead research projects and/or being a main contributor to projects delivering an offering or capability from exploring to implementation, including defining scope, organizing resources, and delivering a research project on time.
Work closely with R&D director, technology application leader to generate research trial pipeline which fits business needs and overall global shrimp research strategy
Designing, supervising and managing research trials internally and externally with scientific expertise and methodology to validate research hypothesis and innovate new solutions.
Work closely with trail leaders at R&D center to ensure research excellence with execution, and delivery research outcome which meets expectation.
Deliver scientific findings by preparing and presenting scientific works/reports/reviews both internally and externally Qualifications
Minimum Qualifications
Master’s degree in a related field or equivalent experience
Ability to communicate effectively with peers, supervisors, and managers
Confirmed working knowledge of scientific research principles, concepts, practices, and standards
Minimum of five years of related work experience
Ability to work with international/ regional/global teams independently Preferred Qualifications
PhDs in shrimp nutrition, shrimp health, or biological sciences plus 5+ years of research experience
Expertise with shrimp trial design, protocol and data analysis with different culture model and systems
Good understanding of scientific trial design fits into different culture model and country application
Knowledge of emerging technologies
Strong projects management and collaboration both internal and external parties
Strong analytical skill and high intellectual capacity, ability to deal with complexity and synthesize innovative solutions
Familiar with global mindset to connect and understand different countries requirements and cultures
Compelling and authentic communication, public presentation skills/engaging and approachable manner
Demonstrated disciplined approach to execution, successful experience in project management and scientific rigor
Agility to work across countries, globally in a virtual environment

“At Cargill, everyone matters and everyone counts. Cargill is committed to creating and sustaining an inclusive and diverse work environment where all employees are treated with dignity and respect. As such and in alignment with our Guiding Principles, Cargill's long-standing equal employment opportunity policy prohibits discrimination and harassment against any employee or applicant based on race, ethnicity, color, religion, national origin, ancestry, sex, gender, gender identity, gender expression, sexual orientation, age, disability, pregnancy, genetic information, marital status, family status, citizenship status, veteran status, military status, union affiliation, or any other status protected by law. Cargill also complies with all applicable national and local laws and regulations pertaining to non-discrimination and employment”.",,,10000+ Employees,Crop Production,Agriculture,Unknown / Non-Applicable,4.0,83 %,90 %,3.9,3.8,4.0,4.0,3.6,3.7,,,12,https://www.glassdoor.com/Reviews/Cargill-Reviews-E2739.htm,https://www.glassdoor.com/Benefits/Cargill-Benefits-E2739.htm
"Banco Pichincha
3.9",DATA SCIENTIST -UIO,Quito,ecuador,"En Banco Pichincha nos estamos transformando; por eso, queremos incorporar el mejor talento a nuestro equipo. Buscamos profesionales amantes de la innovación, la tecnología y el mundo digital que estén dispuestos a asumir nuevos desafíos. Nuestros 116 años de trayectoria nos ratifican que contar con personas comprometidas y con un alto desempeño es imprescindible para lograr nuestros objetivos. ¡Tú puedes ser el próximo!
El esfuerzo, la responsabilidad, la coherencia y la trascendencia son valores que marcan la labor diaria de los 5.400 colaboradores que formamos parte de la mayor institución financiera del país.
Empezamos a escribir la primera página de nuestra historia en 1906. Hoy contamos con filiales en seis países. En cada uno de esos mercados, defendemos la idea de una banca con propósito porque la tecnología, por sí misma, no es suficiente para favorecer la inclusión financiera. Nuestro liderazgo se afianza más en el nuevo humanismo y la ética empresarial, dos principios que contribuyen a mejorar la vida de nuestros clientes y a aportar al desarrollo de la sociedad.


Requisitos:












Beneficios",,,Unknown,,,,3.9,85 %,72 %,5.0,3.6,3.8,3.7,3.5,3.4,,,12,https://www.glassdoor.com/Reviews/Banco-Pichincha-Reviews-E3137816.htm,https://www.glassdoor.com/Benefits/Banco-Pichincha-Benefits-E3137816.htm
"Banco Pichincha
3.9",DATA SCIENTIST SENIOR - UIO,Quito,ecuador,"Desarrollar y gestionar el ciclo técnico de vida de modelos de analítica avanzada (definición, desarrollo, despliegue y monitoreo), utilizando algoritmos eficientes que permitan abordar problemas de tipo predictivo, prescriptivo y/o descriptivo avanzado. Aportar en la consolidación técnica de los productos de la gerencia de analítica avanzada, haciendo Peer Reviewing de los modelos construidos, consolidando buenas prácticas de código y participando en la definición de artefactos usados para registrar los avances técnicos de los equipos.

En Banco Pichincha nos estamos transformando; por eso, queremos incorporar el mejor talento a nuestro equipo. Buscamos profesionales amantes de la innovación, la tecnología y el mundo digital que estén dispuestos a asumir nuevos desafíos. Nuestros 116 años de trayectoria nos ratifican que contar con personas comprometidas y con un alto desempeño es imprescindible para lograr nuestros objetivos. ¡Tú puedes ser el próximo! El esfuerzo, la responsabilidad, la coherencia y la trascendencia son valores que marcan la labor diaria de los 5.400 colaboradores que formamos parte de la mayor institución financiera del país. Empezamos a escribir la primera página de nuestra historia en 1906. Hoy contamos con filiales en seis países. En cada uno de esos mercados, defendemos la idea de una banca con propósito porque la tecnología, por sí misma, no es suficiente para favorecer la inclusión financiera. Nuestro liderazgo se afianza más en el nuevo humanismo y la ética empresarial, dos principios que contribuyen a mejorar la vida de nuestros clientes y a aportar al desarrollo de la sociedad.

Requisitos

EDUCACION Título en áreas con un alto componente analítico (Economía, Estadística, Ingeniería Matemática o afines) o en Ingeniería de Sistemas / Electrónica / Industrial Máster en áreas como Data Science, Computer Science, Applied Mathematics, Econometrics, Artificial Intelligence o afines EXPERIENCIA Modelación analítica (modelos predictivos o prescriptivos) de al menos 2 años Manejo de grandes volúmenes de datos (decenas de GB) Al menos 2 años en industrias de alto consumo de datos (Banca, Telco, Otros) Desarrollo integral de soluciones (definición de problema, preparación de datos, modelamiento analítico, despliegue de producto, presentación de resultados y monitoreo) CONOCIMIENTO ALTO en: Agrupación, ordenación y análisis de grandes bases de datos (Big Data) vía SQL Entendimiento de matemáticas aplicadas, inteligencia artificial, teoría de la probabilidad y operaciones matriciales Uso de lenguajes de programación Python y Spark Modelos estadísticos y econométricos (teoría y aplicaciones), incluyendo menú de modelos Machine Learning, Deep Learning y Reinforcement Learning Conocimiento sobre protocolos de CI/CD y calidad de datos DESEABLE conocimiento de programación orientada a objetos COMPETENCIAS Capacidad de agrupar, ordenar y analizar grandes bases de datos Manejo de fuentes de datos con alto niveles de datos faltantes Pensamiento algorítmico Trabajo bajo presión Curiosidad intelectual para estarse actualizando constantemente Orientación al cliente

Beneficios

Te ofrecemos un sin número de oportunidades para poner en práctica tu conocimiento, proponer ideas nuevas y diferentes en una institución que se transforma en beneficio de sus clientes y colaboradores. Contamos con un atractivo paquete salarial con beneficios monetarios y no monetarios, entre ellos capacitaciones constantes que te ayudarán a desarrollar tus habilidades esenciales y conocimiento técnico. Si cumples con todos los requisitos, esperamos tu postulación. Nos encantará acompañarte en tu crecimiento profesional. ¡Súmate a este nuevo desafío!",,,Unknown,,,,3.9,85 %,72 %,5.0,3.6,3.8,3.7,3.5,3.4,,,12,https://www.glassdoor.com/Reviews/Banco-Pichincha-Reviews-E3137816.htm,https://www.glassdoor.com/Benefits/Banco-Pichincha-Benefits-E3137816.htm
"BairesDev
4.2",Data Scientist Senior - Remote,Guayaquil,ecuador,"Who We are
BairesDev is proud to be the fastest-growing company in America. With people in five continents and world-class clients, we are only as strong as the multicultural teams at the heart of our business. To consistently deliver the highest quality solutions to our clients, we only hire the Top 1% of the best talents and nurture their professional growth on exciting projects.
Data Scientist Senior at BairesDev
We are looking for Data Science Seniors to join our Development team and participate in different projects made up of multicultural teams distributed throughout the world. We are looking for proactive people, team players passionate about programming in this language and oriented to provide the best experience to the end user. This is an excellent opportunity for those professionals looking to develop in one of the fastest growing companies in the industry!

- Flexible hours - make your schedule.",,,1001 to 5000 Employees,Information Technology Support Services,Information Technology,$25 to $100 million (USD),4.2,86 %,90 %,4.4,4.0,3.7,4.1,4.0,4.3,,,12,https://www.glassdoor.com/Reviews/BairesDev-Reviews-E864485.htm,https://www.glassdoor.com/Benefits/BairesDev-Benefits-E864485.htm
"Banco Pichincha
3.9",PRODUCT OWNER ANALITICA & INSIGHTS DE CANALES,Quito,ecuador,"Dirigir, desarrollar la estrategia y visión de cómo la data y los modelos analíticos pueden ayudar a mejorar los objetivos del banco y la satisfacción de nuestros clientes a través de los canales del banco.

En Banco Pichincha nos estamos transformando; por eso, queremos incorporar el mejor talento a nuestro equipo. Buscamos profesionales amantes de la innovación, la tecnología y el mundo digital que estén dispuestos a asumir nuevos desafíos. Nuestros 116 años de trayectoria nos ratifican que contar con personas comprometidas y con un alto desempeño es imprescindible para lograr nuestros objetivos. ¡Tú puedes ser el próximo! El esfuerzo, la responsabilidad, la coherencia y la trascendencia son valores que marcan la labor diaria de los 5.400 colaboradores que formamos parte de la mayor institución financiera del país. Empezamos a escribir la primera página de nuestra historia en 1906. Hoy contamos con filiales en seis países. En cada uno de esos mercados, defendemos la idea de una banca con propósito porque la tecnología, por sí misma, no es suficiente para favorecer la inclusión financiera. Nuestro liderazgo se afianza más en el nuevo humanismo y la ética empresarial, dos principios que contribuyen a mejorar la vida de nuestros clientes y a aportar al desarrollo de la sociedad.

Requisitos

Título Tercer Nivel Marketing, Administración, Ingeniería Comercial, Finanzas, Economía, Ing. Industrial, Matemáticos, Sistemas o carreras afines. MBA, Cuarto Nivel Experiencia: • Acompañar en la ejecución y velar por los productos analíticos ( modelos avanzados y analítica descriptiva) en lo referente a la ciencia de datos e ingeniería de los mismos, garantizando su usabilidad y el valor agregado generado. • Traducir los principales dolores y oportunidades de los canales del banco en soluciones y productos analíticos. • Coordinar la ingeniería y flujos de data para que la misma esté disponible y actualizada. • Acompañar a gobierno de datos para que la data tenga definiciones claras y únicas. • Liderar al equipo de analítica de la tribu de canales, apoyando en el desarrollo de todos los miembros de la célula • Comunicar de manera eficaz los avances y beneficios de los desarrollos Conocimiento: Microsoft office intermedios Productos y Servicios financieros Manejo de presupuestos e indicadores financieros Data Data Scientist Metodología de proyectos

Beneficios

Te ofrecemos un sin número de oportunidades para poner en práctica tu conocimiento, proponer ideas nuevas y diferentes en una institución que se transforma en beneficio de sus clientes y colaboradores. Contamos con un atractivo paquete salarial con beneficios monetarios y no monetarios, entre ellos capacitaciones constantes que te ayudarán a desarrollar tus habilidades esenciales y conocimiento técnico, así como: Seguro médico privado Tarjeta de crédito como parte de tu bienvenida Acceso a créditos de consumo, de vivienda, de educación, entre otros, con tasas diferenciadas Planes de ahorro con beneficios especiales Somos la primera institución a nivel nacional en contar con la Certificación de Empresa Familiarmente Responsable. Si cumples con todos los requisitos, esperamos tu postulación. Nos encantará acompañarte en tu crecimiento profesional",,,Unknown,,,,3.9,85 %,72 %,5.0,3.6,3.8,3.7,3.5,3.4,,,12,https://www.glassdoor.com/Reviews/Banco-Pichincha-Reviews-E3137816.htm,https://www.glassdoor.com/Benefits/Banco-Pichincha-Benefits-E3137816.htm
"BairesDev
4.2",Data Scientist Architect - REMOTE WORK,Guayaquil,ecuador,"Who We are
BairesDev is proud to be the fastest-growing company in America. With people in five continents and world-class clients, we are only as strong as the multicultural teams at the heart of our business. To consistently deliver the highest quality solutions to our clients, we only hire the Top 1% of the best talents and nurture their professional growth on exciting projects.
Data Scientist Architect at BairesDev
We are looking for a Data Science Architects to join our Development team and participate in different projects made up of multicultural teams distributed throughout the world. We are looking for proactive people, team players passionate about programming in this language and oriented to provide the best experience to the end user. This is an excellent opportunity for those professionals looking to develop in one of the fastest growing companies in the industry!

- Flexible hours - make your schedule.",,,1001 to 5000 Employees,Information Technology Support Services,Information Technology,$25 to $100 million (USD),4.2,86 %,90 %,4.4,4.0,3.7,4.1,4.0,4.3,,,12,https://www.glassdoor.com/Reviews/BairesDev-Reviews-E864485.htm,https://www.glassdoor.com/Benefits/BairesDev-Benefits-E864485.htm
"BairesDev
4.2",Data Science / Data Engineer - Remote Work,Guayaquil,ecuador,"Who We are
BairesDev is proud to be the fastest-growing company in America. With people in five continents and world-class clients, we are only as strong as the multicultural teams at the heart of our business. To consistently deliver the highest quality solutions to our clients, we only hire the Top 1% of the best talents and nurture their professional growth on exciting projects.
Data Science / Data Engineer at BairesDev
We are looking for a Data Scientist / Data Engineers to join our Development team and participate in different projects made up of multicultural teams distributed throughout the world.

What You’ll Do:
- Flexible hours - make your schedule.",,,1001 to 5000 Employees,Information Technology Support Services,Information Technology,$25 to $100 million (USD),4.2,86 %,90 %,4.4,4.0,3.7,4.1,4.0,4.3,,,12,https://www.glassdoor.com/Reviews/BairesDev-Reviews-E864485.htm,https://www.glassdoor.com/Benefits/BairesDev-Benefits-E864485.htm
"BairesDev
4.2",Data Science Specialist - Remote,Guayaquil,ecuador,"BairesDev is the leading software development company in the Americas. With more than 1300 employees working on projects around the world, a sustained average annual growth of over 50%, and recognized by Inc. in the Top 10 Silicon Valley fastest-growing private companies, BairesDev is guiding the digital transformation of some of the top companies in the world, such as Google, Rolls-Royce, Pinterest, EY, SiriusXM, Motorola, ViacomCBS and Chime.
Recognized by Clutch.co as a Top B2B Technology Services Company, BairesDev has offices across the United States, Canada, Europe, and Latin America and offers an exceptional work environment in which employees can thrive, working in multicultural teams, with flexible schedules and endless growth opportunities.
BairesDev is on a mission to offer world-class Custom Software Development services. The company employs only the Top 1% IT Talent to create solid engineering teams that provide end-to-end delivery of Technology Solutions. Be prepared to work alongside industry leaders on cutting-edge projects in a fast-paced, innovative environment.
If you are interested in being part of a team composed of the best professionals and working 100% goal-oriented in an innovative environment, but with the structure and resources of a multinational market leader, do not hesitate to apply!",,,1001 to 5000 Employees,Information Technology Support Services,Information Technology,$25 to $100 million (USD),4.2,86 %,90 %,4.4,4.0,3.7,4.1,4.0,4.3,,,12,https://www.glassdoor.com/Reviews/BairesDev-Reviews-E864485.htm,https://www.glassdoor.com/Benefits/BairesDev-Benefits-E864485.htm
