Company Name,Job Title,Location,Country,Job Description,Salary Estimate,Avg Salary,Size,Industry,Sector,Revenue,Rating,Recommend,CEO,Benefits,Opportunities,Comp Benefits,Culture,Management,WorkLife Balance,Pros,Cons,Num Listings,Reviews URL,Benefits URL
"ArabyAds
4.4",Data Scientist,Egypt,egypt,"Job Description:
Data Scientist responsibilities include:
 Undertaking data collection, preprocessing and analysis
 Building models to address business problems
 Presenting information using data visualization techniques
Job brief
We are looking for a Data Scientist to analyze large amounts of raw
information to find patterns that will help improve our company. We will",,,51 to 200 Employees,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable,4.4,94 %,N/A,,4.0,4.3,4.1,4.0,4.1,,,34,https://www.glassdoor.com/Reviews/ArabyAds-Reviews-E1742538.htm,
"Dell Technologies
4.3",5G Senior Data Scientist,Cairo,egypt,"5G Senior Data Scientist
From applied research to advanced engineering, Dell’s Technology Development team is designing and developing ground-breaking projects. You will be part of a unique team that gets to work on a different project with a vast variety of cutting-edge technologies. Working at Dell Technologies, you will gain access to endless learning resources and great opportunities to develop your technical and interpersonal skills.
We are looking for a Data Scientist to join our creative talented team. Candidates should come with a willingness to learn and explore different technologies.
Join us to take part in a once in a career opportunity to be part of building something from scratch and make a profound impact.
What you’ll achieve:",,,10000+ Employees,Information Technology Support Services,Information Technology,$10+ billion (USD),4.3,89 %,96 %,4.0,4.1,3.9,4.4,4.0,4.3,,,34,https://www.glassdoor.com/Reviews/Dell-Technologies-Reviews-E1327.htm,https://www.glassdoor.com/Benefits/Dell-Technologies-Benefits-E1327.htm
"CyShield
4.6",Data Scientist,Cairo,egypt,"Data Science
Responsibilities
Formulating, suggesting, and managing data-driven projects which are geared at furthering the business's interests.
Collating and cleaning data from various entities for later use by Junior Data Scientists.
Selecting and employing advanced statistical procedures to obtain actionable insights.
Cross-validating models to ensure their generalizability.
Producing and disseminating non-technical reports that detail the successes and limitations of each project.
Suggesting ways in which insights obtained might be used to inform business strategies.",,,Unknown,,,,4.6,100 %,N/A,,3.7,4.5,4.2,4.2,4.1,,,34,https://www.glassdoor.com/Reviews/CyShield-Reviews-E3061453.htm,
"Raisa Energy
4.9",Senior Data Scientist,Cairo,egypt,"We are looking for a Senior Data Scientist to join our team in Cairo.


Summary

Raisa is an energy fintech company that uses proprietary technologies (in-house tech, machine learning microservices, securitization) to manage large investments in the United States. With over $2 billion of private funding, Raisa has built a diverse portfolio of oil and gas assets. We are passionate about innovation that leverages our team’s capabilities via proprietary technology and creates extraordinary results for all stakeholders.

We are looking for a with a passion for both theory and technology to join our growing Data Science team in Cairo. This group designs, implements, and tests models that are subsequently productized and tightly integrated into our systems. You will be working closely with different teams including product management, subject matter experts, data engineering, and software development. You will provide technical mentoring for other team members, and you will guide and review technical design decisions across projects as well as perform code reviews.",,,51 to 200 Employees,Energy & Utilities,"Energy, Mining & Utilities",Unknown / Non-Applicable,4.9,100 %,N/A,,4.5,4.9,4.9,4.8,4.2,,,34,https://www.glassdoor.com/Reviews/Raisa-Energy-Reviews-E2404487.htm,
"Teradata
3.9",Data Scientist,Cairo,egypt,"Introduction

Data Science teams at Teradata deliver business insights and value to clients through big data analytics. Our data solutions integrate into engineering and decision-making processes. Additionally, we offer advisory services to our clients including use case prioritization, tool selection, training, and capability definitions.

Teradata is expanding its data science team in Cairo.

We are looking for data scientists that are…

Highly self-motivated

Independent

Keen on learning and continuous self-development

Challengers of assumptions and status quo

Job Responsibilities

As a data scientist, you will independently and as part of a team:

business understanding, data understanding and preparation, exploratory analysis, modeling, model evaluation, communicating results and business value of a model to the client and finally deploying your data product.

Follow team development processes .

Based on the nature of the project and the available tools, quickly learn and adapt to different technologies and tools than the ones you are used to.

Qualifications

Sc. or equivalent working experience in data science / machine learning

Analytical rigor

Proficient in Python

Intermediate level in either C, Java, C++, or C#

Intermediate level in SQL

Basic software engineering knowledge

Excellent verbal and written communication skills

Excellent technical presentation skills

Teradata highly values diversity and equal opportunity in all aspects of our business. We are excited by the unique qualities, abilities and perspectives each person brings, and candidates are considered on all the attributes they may bring to the role and the team.",,,10000+ Employees,Computer Hardware Development,Information Technology,$1 to $5 billion (USD),3.9,74 %,86 %,3.8,3.5,3.7,4.0,3.4,4.0,,,34,https://www.glassdoor.com/Reviews/Teradata-Reviews-E14638.htm,https://www.glassdoor.com/Benefits/Teradata-Benefits-E14638.htm
"Microsoft
4.4",Data & Applied Scientist II,Cairo,egypt,"The Egypt Development Center (EgDC) is Microsoft’s premier technology hub in the Middle-East and North Africa region. Spanning two Microsoft divisions (Cloud + AI / Experiences + Devices), our team works on cutting edge products and services including Azure Cognitive Services (Machine Translation, Language Understanding and Speech Processing), Shopping and Commerce, News and Feeds as well as Advertisement Platforms. Come be part of this dynamic start-up like environment, aspiring to be more than a technology hub for Microsoft in the region.

We seek mid-level Applied Scientists to help us deliver the next generation data-driven features across a slew of specialized domains. Such features are key for our customers to make informed and accurate decisions, to take their experience and business to the next level. Successful candidates should have a strong background in state-of-the-art machine learning techniques. They should have a passion for building solutions and insights from seemingly complex data, as well as work on ideas at various stages of development. We promise a fast-paced learning environment and are looking for fast learners and go-doers.",,,10000+ Employees,Computer Hardware Development,Information Technology,$10+ billion (USD),4.4,91 %,97 %,4.5,4.2,4.1,4.4,4.1,4.2,,,34,https://www.glassdoor.com/Reviews/Microsoft-Reviews-E1651.htm,https://www.glassdoor.com/Benefits/Microsoft-Benefits-E1651.htm
"Zeal
4.5",Data Engineer,Cairo,egypt,"About ZealPay: ZealPay is an innovative Cairo-based technical startup backed by global strategic investors to empower brands with the next generation of payments, loyalty, and AI-powered insights. We provide our merchants with world-class data, analytics & tools to predict consumer behavior using Artificial Intelligence. Merchants can unlock the full potential of the customers in the most convenient user experience.
Our Mission: ZealPay is on a mission to create a digital ecosystem for transactions & consumer behavioral insights
About the role: We are looking for a skilled Data Engineer who will help us analyze large amounts of raw information to find patterns and use them to optimize our performance. You will build data products to extract valuable business insights, analyze trends and help us make better decisions.
We expect you to be highly analytical with a knack for analysis, math and statistics, and a passion for machine-learning and research.",,,1 to 50 Employees,Information Technology,Less than $1 million (USD),,4.5,80 %,N/A,,4.4,4.1,4.7,4.4,4.7,,,34,https://www.glassdoor.com/Reviews/Zeal-Reviews-E1441818.htm,
"Envision Employment Solutions
5.0",Senior Data Scientist,Cairo,egypt,"Ready and hungry for a new adventure? You are definitely in the right place! We at Envision Employment Solutions are always on the look for top talents around the globe and matching them with our partners' hiring needs, to help them build and scale!

Our partners offer awesome work environment, competitive salaries, full benefits, and many others.

Our Hiring Process:
1. After filling your online application, you will receive a psychometric assessment automatically from Criteria Corp., please try to complete it within 48 hours from receiving the link.
2. Our team will review your application and your psychometric assessment's results, if you fit any of the open roles we have even if it wasn't the one you applied for, one of our team members will reach out to you to schedule an HR interview.
3. During the call we will go through your resume and discuss the opportunities we have for you in details. We would love to learn a little bit about you, about your work experience and your career's goal. We will also be able to answer any questions you might have.",,,1 to 50 Employees,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,5.0,100 %,100 %,,4.4,4.4,5.0,5.0,5.0,,,34,https://www.glassdoor.com/Reviews/Envision-Employment-Solutions-Reviews-E1194669.htm,
"Microsoft
4.4",Principal Data & Applied Scientist,Cairo,egypt,"Bing Web Data and Index Quality team is looking for Data scientists and software engineers in the areas of Machine Learning, Deep Learning and Natural Language Processing. We develop next-generation products that change experience for billions of users on the web and in apps. Our team empowers intelligence for Web search, Content recommendation, Question answering, Personal assistants, and impacts variety of products in Bing, Office, Skype, and Windows.

The team works with cutting edge technologies in large-scale distributed computing, IR, NLP, ML, DL. Our mission is to build the world's freshest, richest, spam-free, and the most comprehensive and intelligent model of the Web.

We are looking for data scientists and engineers that have strong technical skills and are passionate about Web and Big Data. We have open positions from junior to principal both in platform and machine learning/natural language processing areas.",,,10000+ Employees,Computer Hardware Development,Information Technology,$10+ billion (USD),4.4,91 %,97 %,4.5,4.2,4.1,4.4,4.1,4.2,,,34,https://www.glassdoor.com/Reviews/Microsoft-Reviews-E1651.htm,https://www.glassdoor.com/Benefits/Microsoft-Benefits-E1651.htm
"Vodafone
4.0","Big Data Academy - Data Scientist ""Contractor""",Cairo,egypt,"Role Purpose

Vodafone Egypt Big Data Academy is a 6-months program aims to provide data science hands-on experience for fresh graduates by providing real use cases with clear deliverables.

Description

As part of Big Data Academy, you will work alongside data scientists, big data engineers, and business stakeholders. You will be responsible for implementing and maintaining use case pipelines, and communicating results to scientists, product managers, and customers.
Your work will directly impact millions of our customers in the form of products, services and offers. You will gain hands on experience with Vodafone’s huge volume of data and large-scale computing resources.",,,10000+ Employees,"Cable, Internet & Telephone Providers",Telecommunications,$10+ billion (USD),4.0,80 %,91 %,4.2,3.6,3.7,4.0,3.5,3.8,,,34,https://www.glassdoor.com/Reviews/Vodafone-Reviews-E5775.htm,https://www.glassdoor.com/Benefits/Vodafone-Benefits-E5775.htm
