Company Name,Job Title,Location,Country,Job Description,Salary Estimate,Avg Salary,Size,Industry,Sector,Revenue,Rating,Recommend,CEO,Benefits,Opportunities,Comp Benefits,Culture,Management,WorkLife Balance,Pros,Cons,Num Listings,Reviews URL,Benefits URL
株式会社ファーストリテイリング,データサイエンティスト / Data Scientist,,japan,"ブランド
FAST RETAILING

勤務地
有明本部：東京都江東区有明1丁目6-7 UNIQLO CITY
Ariake Office: UNIQLO CITY, 1-6-7 Ariake, Koto-ku, Tokyo 135-0063, Japan.

更新日
2022/10/14

職務内容 Job Description
English follows Japanese
ファーストリテイリンググループは、従来の小売業という枠組みを超え、""情報製造小売業""(Digital Consumer Retail Company)へと業態を変革するため、全社改革”有明プロジェクト”を推進しています。その実現に向けて、我々デジタル業務改革サービス部は、最新のテクノロジーを活用したグローバル化、クラウド化、モバイル化の推進に留まらず、利益を創出するIT=“攻めのIT”として、全社の業務改革をリードしています。本ポジションでは、1) データサイエンティスト、2) データサイエンティスト(リーダー職)として、当社内のデータ分析をリード頂く方を募集します。

デジタル業務改革サービス部は、常にお客様視点で業務の”あるべき姿”を定義し、最新のIT技術を活用した業務改革をリード、実現することをミッションとしています。”有明プロジェクト”実現のため、EC・店舗システムの他、サプライチェーンを中心とする基幹システムの内製開発も加速度的に進めており、プロジェクトマネージャーの他、内製開発エンジニア、データサイエンティスト、UI/UXデザイナー等、幅広い職種の人材が活躍しています。当部門のデータ分析チームでは、高い専門性を持つデータサイエンティストが一体となり、商品企画の高度化、需要予測の精緻化、サプライチェーンの最適化等に取り組んでいます。

1)データサイエンティスト
データ分析組織に所属し、データ分析プロジェクトにおいて、分析設計、データ解析、アルゴリズム開発、レポーティングのパートを主に担当いただきます。
ビジネスの各業務プロセスを理解し、プロジェクトの各メンバーと連携を取りながら、ビジネス課題解決のための分析設計、データ収集、前処理、データ解析および結果の評価を行います。

2)データサイエンティスト(リーダー職)
リーダー職の方には、データサイエンティストとしての職務に加えて、データ分析組織のチームビルディングやマネジメント、メンバー育成などもご担当いただき、チームとしての成果を追求していただきます。
また、チームマネジメント業務だけでなく、プレイングマネジャーとしてご自身でも実務に取り組んでいただきます。

補足1: ファーストリテイリングの分析プロジェクトは、主に以下のメンバーがアサインされます。
( )内は役割:
・事業側担当者(分析結果を実際に事業で活用する)
・ビジネスアナリスト(事業側とIT組織を繋ぐ)
・プロジェクトマネージャ(プロジェクトの立ち上げ・管理・運営)
・データサイエンティスト(分析設計・アルゴリズム開発・データ解析・レポーティング)
・データエンジニア・インフラエンジニア(データ分析環境・データベース整備)
・システムエンジニア(分析結果のシステム連携・実装)

補足2: データ分析環境に関して
データベースおよび計算環境としてGCP、AWSを利用しています。また、一般的なものであれば、SQLクライアントや分析ソフトウェアなどに制約はなく、必要に応じて導入いただけます。

・データサイエンティストとして担当領域での専門性を高めることに加えて、同チーム内で取扱う様々なテーマを担当することで、キャリアの幅を広げることが出来ます。
・データエンジニアリングチームを始めとする部門内異動の他、協働関係にある商品企画・生産・物流・デジタルマーケティング等、他部門への異動機会も豊富にあります。

Fast Retailing co., ltd. will transform our business format into a “Digital Consumer Retail Company” to provide new services to our customers, regardless of the framework of retail business. The Digital Business Transformation Services Department, being at the very core of achieving our goals by not only promoting globalization, cloud migration, and mobilization using the leading-edge technology, is the proactive IT itself. We are looking for a Data Scientist or Data Scientist (Leader) to lead our data analysis efforts.

The mission of the Digital Business Transformation Services Department is to define the ""ideal"" form of business from the customer's perspective and to lead and realize business innovation using the latest IT technologies. In order to realize the ""Ariake Project"", in addition to EC and store systems, in-house development of enterprise systems is also being promoted at an accelerated pace. In addition to project managers, we have a wide range of professionals including in-house engineers, data scientists, and UI/UX designers. The data analysis team is a team of highly skilled data scientists working together to improve the sophistication of product planning, refine demand forecasts, and optimize the supply chain, and so on.

1) Data Scientist
You will belong to the data analytics team and engage in the analysis design, data analysis, algorithm development, and reporting to each project.
Specifically, you will be responsible for understanding each business process and collaborating with each member of the project to design analysis, data collection, pre-processing, data analysis, and evaluation of the results to solve business issues.
In addition, depending on the status of the project, the candidate's wishes, and the mission grade, you will be responsible for tasks beyond the role of data scientist (project manager, business analyst, etc.).

2) Data Scientist (Leader Position)
In addition to the responsibilities as a data scientist, the leader will be responsible for team building, management, and member training for the data analytics team, and will pursue results as a team.
You will also be responsible for team building, management, and member training of the data analysis organization, as well as team management.


We use GCP and AWS as our database and computing environment. There are no restrictions on SQL clients or analysis software, as long as they are common, and you can implement them as needed.

・In addition to developing your expertise in your area of responsibility, you will be able to broaden your career by working on various topics within the team.
・In addition to transfers within the department, such as to the data engineering team, there are many opportunities to transfer to other departments, such as product planning, production, logistics, and digital marketing.",,,,,,,,,,,,,,,,,,92,,
Dupont,Data Scientist,,japan,"To be the best science company in the world, we need more than scientists. We need passionate people who are the best at finance, human resources, law, logistics, and so much more. While we’re deeply rooted in science, DuPont careers span a wide range of skills and disciplines. Our teams are focused on achieving the best results for our customers and the business. They're inspired by innovation, excited by collaboration, and strive to achieve more agile ways of moving the business forward. Learn more about us here: https://www.dupont.com
The data scientist/engineer will work with DuPont manufacture teams and Continuous Improvement teams. They are going to be part of a project team to develop an end-to-end solution for manufacture operators to enhance or improve their operation efficiency and effectiveness by optimize the process monitoring, prediction and decrease failure rate. In a data scientist role, you will be responsible for modeling complex manufacturing process problems, discovering insights and identifying opportunities through the use of statistical, machine learning, mining and visualization techniques.",,,,,,,,,,,,,,,,,,92,,
Dupont,R&D Analytical Scientist,,japan,"Our industry-leading innovations, deep materials science expertise, and best-in-class manufacturing make next-generation technology a reality for our customers.
We’re pursuing new technologies and performance materials that enable your designs to be smaller, more complex, more reliable, and more powerful than you could ever imagine. DuPont is a technology leader, serving the semiconductor, circuit board, industrial, display, digital and flexographic printing, healthcare, aerospace, industrial and transportation industries. Every day, we’re solving our customers’ biggest challenges and are honored to be their partner of choice.
Learn more about our Featured solutions here: https://www.dupont.com/about/our-businesses.html
DuPont Electronics and Industrial business group has an exciting opportunity for a R&D Analytical Scientist in the DuPont Electronic Polymers (DEP) business. This role will be based in Utsunomiya (UTC), Japan and it resides within the R&D organization of DEP business focused on the development of electronic polymers for advanced lithography applications and associated polymer process technologies. DEP is an established and inclusive organization with core competency in developing and manufacturing electronic grade polymers for lithographic applications in semiconductor manufacturing industry.",,,,,,,,,,,,,,,,,,92,,
Takeda Pharmaceutical,"Scientist, Process Development - Cell Therapy",,japan,"By clicking the “Apply” button, I understand that my employment application process with Takeda will commence and that the information I provide in my application will be processed in line with Takeda’s Privacy Notice and Terms of Use. I further attest that all information I submit in my employment application is true to the best of my knowledge.
Job Description
タケダの紹介
タケダでは、常に患者さんを中心に考え、その生活を豊かにするためにイノベーションを推進しています。そして、従業員一人ひとりにそれぞれの能力と熱意に応じた成長の機会を提供することにも組んで取り組んでいます。私たちと一緒に、世界中の人々のいのちに貢献し、さらなる成長と活躍を目指しませんか。














Fujisawa, Japan
Employee
Regular
Full time",,,,,,,,,,,,,,,,,,92,,
オルグロー株式会社,Data Engineer/Scientist,,japan,"給与
経験、スキルによって協議のうえ決定（月給制）
待遇
通勤費全額支給、各種社会保険完備、昇給査定 年1回、在宅勤務制度有

雇用形態
正社員
業務内容
データ分析基盤、分析モデルの設計と構築。
必須条件
データエンジニア/データサイエンティストとしての実務経験
歓迎条件
心理統計学分野におけるデータ分析の経験。ピープルアナリティクスなど人事経営部門と連携したデータ分析の経験。営業職の採用選考に関わった経験。",,,,,,,,,,,,,,,,,,92,,
Synspective,Applied Scientist,,japan,"Responsibilities:
Research and develop innovative geo-solutions, including:
Deeply investigate the latest advances in relevant fields (machine learning, computer vision, and remote sensing) and design your own methods by handpicking, customizing, combining, or devising algorithms
Choose, combine, and process appropriate satellite/geographic datasets depending on tasks
Perform experiments to check the feasibility/validity of your own methods and dataset
Summarize and report results in a clear and easy-to-understand manner
Implement statistical and machine learning technologies and help software engineers deploy them into production",,,,,,,,,,,,,,,,,,92,,
中外製薬グループ,バイオマーカーサイエンティスト / Biomarker Scientist,,japan,"／Job duties
募集背景：
開発テーマ数の増大と早期開発段階における自社プロジェクトの価値最大化に向けたバイオマーカー臨床研究機能の強化方針に伴い、バイオマーカーサイエンティスト職の募集を行います。IHC、ELISA、LC-MS/MS、フローサイトメトリー、NGS、PCRなどによる、様々なバイオマーカーの臨床測定について、Fit-For-Purposeに基づいた開発とバリデーションの検討を行い、信頼性を確保したデータを創出するというミッションを担う人財を募集します。

Background to recruitment:
We are recruiting for the position of Biomarker Scientist in accordance with our policy to strengthen our biomarker clinical research functions in order to increase the number of development themes and maximize the value of our own projects in the early development stage. Human resources are recruited for the mission of developing and validating clinical sample assays of various biomarkers, using IHC, ELISA, LC-MS/MS, flow cytometry, NGS, and PCR, based on a fit-for-purpose basis, and creating reliable data.

仕事内容：
・バイオマーカー（BM）を測定するための新規技術のベンチマーキング
・新規および既存の測定技術を自社プロジェクトに適用し、BM戦略の推進に貢献する
・IHC、ELISA、LC-MS/MS、フローサイトメトリー、NGS、PCRなどによるBMの臨床測定について、Fit-For-Purposeに基づいた開発とバリデーション試験を実施
・GCP下におけるBMの測定管理（解析に使う前までのデータ創出のプロセス管理）
・信頼性を確保したデータを創出し、BM解析に供する
・BM測定系に関する治験開始時の規制当局対応
・社内外のステークホルダーとの協働/ネットワーキングをプロアクティブに行う

Description of work:
・Benchmarking of novel technologies for measuring biomarkers (BM)
・Apply new and existing bioanalytical technologies to our own projects and contribute to the promotion of BM strategy
・Fit-For-Purpose assay development and validation studies for clinical sample assays of BM, using IHC, ELISA, LC-MS/MS, flow cytometry, NGS, and PCR
・Bioanalytical management of BM under GCP (process management of data generation before use for analysis)
・Create reliable data for BM analysis
・Regulatory response at the start of clinical trials for BM assays
・Proactive collaboration and networking with internal and external stakeholders",,,,,,,,,,,,,,,,,,92,,
アフラック,Data Scientist,,japan,"求人カテゴリー
07.IT・デジタル部門
職種名
Data Scientist
職務内容
Mission
・データ分析、アナリティクスに関する高度な専門スキル・知識を活用し、Aflacのビジネスパフォーマンスを向上させる
・Aflac内の様々なデータを活用しビジネス課題を特定し解決に導く

Scope of responsibilities（責任範囲）
・データサイエンスの知識を活用し、様々な側面でAflacのビジネス価値向上に貢献する
・Aflac社内におけるデータアナリティクスに関するプロジェクトを幅広く実施する
・データの観点からAflacの解決すべき課題をCDOやビジネス部門など関連するステークに提言し、新たな価値創出機会を提供する
・データアナリティクスのエバンジェリストとしてDI推進のケイパビリティについての社内認知やプレゼンスを向上させる
・トレーニングや勉強会などを開くことによって社内のケイパビリティを底上げする
・最新のアナリティクスの動向を把握し、Aflacへの適用機会を検討し新たな価値創出に貢献する",,,,,,,,,,,,,,,,,,92,,
Qualtrics,"XM Scientist, Employee Experience",,japan,"The Qualtrics XM Platform™ is a system of action that helps businesses to attract customers who stay longer and buy more, to engage and empower employees to do the best work of their lives, to develop breakthrough products people love, and to build a brand people can’t imagine living without.

Joining Qualtrics means becoming part of a team bold enough to chase breakthrough experiences - like building a technology that will be a force for good. A team committed to diversity, equity, and inclusion because of a conviction that every voice holds value, with a vision for representation that matches the world around us and inclusion that far exceeds it. You could belong to a team whose values center on transparency, being all in, having customer obsession, acting as one team, and operating with scrappiness. All so you can do the best work of your career.

We believe every interaction is an opportunity. Are we yours?",,,,,,,,,,,,,,,,,,92,,
Indeed,Staff Data Scientist - Search Machine Learning Platform,,japan,"Your Job
The Search Machine Learning Platform team builds the end-to-end machine learning platform that supports Indeed’s most mission and performance critical products. The team’s mission is to provide the machine learning platform that leverages Indeed’s massive volume of data and incorporates the latest machine learning trends and technologies to power critical products like job search and recommendation teams. We strive to enable teams across Indeed to match every job seeker with the most relevant jobs. The team also ‘dogfoods’ the platform to serve and iteratively improve machine learning models used in all aspects of the job search experience.

As the Staff Data Scientist for this team, you will partner with your team and lead the machine-learning platform evolution that will serve Indeed for years to come. You will lean on the team’s and your technical expertise to serve Indeed’s unique machine learning challenges. You will partner with both engineers and data scientists on your team, and across Indeed products to this end.",,,,,,,,,,,,,,,,,,92,,
