Company Name,Job Title,Location,Country,Job Description,Salary Estimate,Avg Salary,Size,Industry,Sector,Revenue,Rating,Recommend,CEO,Benefits,Opportunities,Comp Benefits,Culture,Management,WorkLife Balance,Pros,Cons,Num Listings,Reviews URL,Benefits URL
GGT DIAGNOSTICS LTD,MEDICAL LABORATORY SCIENTIST,Lagos,nigeria,"Your expected duties will be to:
· perform laboratory tests in order to produce reliable and precise data to support scientific investigations
· carry out routine tasks accurately and following strict methodologies to carry out analyses
· prepare specimens and samples
· construct, maintain and operate standard laboratory equipment, for example centrifuges, titrators, pipetting machines and pH meters
· keep equipment in a clean and serviceable condition and ensure the safe removal of waste
· record, and sometimes interpret, results to present to senior colleagues",,,,,,,,,,,,,,,,,,86,,
IPMC,Data Scientist,Lagos,nigeria,"Full Job Description
Our client requires the skills of a data science specialist with hands-on experience in planning, developing and management of predictive and prescriptive analytics projects/solutions. Provides balanced analytical research by turning raw data into valuable insights that help to drive the Bank’s actions and strategies. Also interprets and analyses data from multiple sources to come up with imaginative solutions to problems. Conduct analyses, formulate insights, and summarize and synthesize findings for presentation to line of business management. Develop timely, innovative, and objective analysis which leads to fact-based solutions for strategic business issues.
*
Responsibilities:
Develop programming in R, SAS, SQL or similar analytical development tools",,,,,,,,,,,,,,,,,,86,,
VANTEGRAL CONSULTING,DATA SCIENTIST,Lagos,nigeria,"Our company is seeking an innovative, forward-thinking Data Scientist to help us uncover new insights into our products and client demographics. The ideal candidate will have a solid understanding of numerical analytics and an ability to interpret results and make recommendations based on these findings. This individual will collaborate closely with other members of the organization to identify key opportunities and develop new insights that will help shape our product strategy.
Job Type: Full-time
Ability to commute/relocate:
Lagos: Reliably commute or planning to relocate before starting work (Required)",,,,,,,,,,,,,,,,,,86,,
"NielsenIQ
3.9",Senior Data Scientist,Lagos,nigeria,"Company Description

Overview
As the world's largest research organization, Nielsen is powered by talented creative scientists. Our Data Scientist Business Leaders come from diverse disciplines such as statistics, research methodology, mathematics, psychology, business, engineering, physics and demography. These professionals drive innovation, new product ideation, develops complex analysis and delivery of data insights to measure what consumers buy.

Job Description

➢Own Data Science solutions for client request and provide initial recommendation for complex client raised issues.",,,10000+ Employees,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.9,81 %,89 %,4.0,3.8,3.2,4.2,3.7,3.7,,,86,https://www.glassdoor.com/Reviews/NielsenIQ-Reviews-E4796509.htm,https://www.glassdoor.com/Benefits/NielsenIQ-Benefits-E4796509.htm
"Blue Sky Analytics
4.2",Data Scientist,Nigeria,nigeria,"Data Scientist
Blue Sky Analytics
Software & Data
Remote (Work From Home) Full Time
IT & Telecoms NGN Confidential
New
3 weeks ago
Job Summary",,,1 to 50 Employees,,,,4.2,87 %,N/A,,4.1,4.1,4.5,4.4,4.3,,,86,https://www.glassdoor.com/Reviews/Blue-Sky-Analytics-Reviews-E2933782.htm,
"Tezza Business Solutions
3.5",Mid Level Data Scientist,Lagos,nigeria,"Job Purpose
l The candidate will apply data mining techniques and conduct statistical analysis to large, structured and unstructured data sets to understand and analyse phenomena. Model complex business problems, discovering insights and opportunities through statistical, algorithmic, machine learning and visualisation techniques, working closely with clients, data and technology teams to turn data into critical information used to make sound business decisions. Execute intelligent automation and predictive modelling.
Responsibilities:
l Gathering of data for use in Data Science models, ensuring that chosen data sets best reflect the organisations goals.
l Performs data pre-processing including data manipulation, transformation, normalisation, standardisation, visualisation and derivation of new variables/features.",,,51 to 200 Employees,,,,3.5,74 %,N/A,5.0,3.3,2.6,3.4,2.8,3.7,,,86,https://www.glassdoor.com/Reviews/Tezza-Business-Solutions-Reviews-E1158720.htm,https://www.glassdoor.com/Benefits/Tezza-Business-Solutions-Benefits-E1158720.htm
"GVA Partners
3.7",Data scientist,Lagos,nigeria,"Our client requires the skills of a data science specialist with hands-on experience in planning, developing and management of predictive and prescriptive analytics projects/solutions. Provides balanced analytical research by turning raw data into valuable insights that help to drive the Bank’s actions and strategies. Also interprets and analyses data from multiple sources to come up with imaginative solutions to problems. Conduct analyses, formulate insights, and summarize and synthesize findings for presentation to line of business management. Develop timely, innovative, and objective analysis which leads to fact-based solutions for strategic business issues.
*
Responsibilities:
Develop programming in R, SAS, SQL or similar analytical development tools
Maintain knowledge in statistics, mathematics and/or comparable quantitative area of expertise",,,Unknown,,,,3.7,100 %,N/A,,2.2,3.2,3.8,3.8,3.2,,,86,https://www.glassdoor.com/Reviews/GVA-PARTNERS-Reviews-E5223841.htm,
RIGHTRESULTS DIAGNOSTIC CENTRE,MEDICAL LABORATORY TECHNICIAN,Lekki,nigeria,"Phlebotomy
Data entry, retrieval and analysis
Ensuring quality control throughout the lab
Supervising inventory
Teaching proper laboratory practices to students and healthcare personnel.
Must have a MLT license.
Working closely with the scientist.
Job Type: Full-time
Salary: ₦70,000.00 per month",,,,,,,,,,,,,,,,,,86,,
Pariti Inc,Senior Data Scientist,Lagos,nigeria,"Pariti is a venture-backed startup building the infrastructure for entrepreneurship in emerging markets.
We are looking for a Senior Data Scientist that can support us as we build out our community platform. We raised our seed round late last year and have been busy executing on our strategy to develop the African startup ecosystem. We are looking for hungry, committed and talented individuals to join our team and need support across product, operations, strategy, marketing and finance. We have tons of work for you to get involved with and if you're the right fit, we're confident you can add value.
The ideal candidate will have extensive experience in ML & AI and a background in a highly quantitative field (computer science, math, statistics, actuarial science, engineering, or related technical field), and should be able to design and run data science projects.

Here's what you'll be working on",,,1 to 50 Employees,,,,,,,,,,,,,,,86,,
"Tek Experts
3.0",Senior Data Scientist,Lagos,nigeria,"Overview:
Tek Experts is looking for a Senior Data Scientist who will be a key player in our Product Development Outsourcing business. Our data scientists love to learn and have a passion for technology. They’re known for their expertise in solving the most complex tech challenges while having fun and being part of a dynamic and collaborative team.
In this role, you’ll join a team creating the financial services and banking industry of tomorrow, helping an innovative fintech company that is committed to transforming the retail space in Africa. Based at our clients’ location on Victoria Island, you’ll build next-generation analytics engines and services.

A career in tech. Work with the biggest and best names in technology.

For more than a decade, we’ve been growing, learning, and helping talented people like you advance their technology careers. At Tek Experts, you’ll build your expertise while your achievements are elevated and celebrated.
We’ll be with you from the start with the training and tools to ensure you succeed. Plus, you’ll get ongoing learning and development opportunities, and thrive as part of our supportive work culture.
Being a part of Tek Experts means you can develop your career across multiple clients and technologies and be at the leading edge of development now, and in the future.
We know diverse teams make the strongest teams. Our team members come from all cultures, perspectives, and experiences. Sound like you? Keep reading to see the details of the role and take the next step in your career by applying today.



We’re seeking a diligent data scientist to design, prototype, and build next-generation analytics engines and services. You’ll communicate complex data-related requirements and be involved in building new, bespoke advanced analytics tools.
Responsibilities:
Qualifications:",,,5001 to 10000 Employees,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.0,49 %,55 %,3.3,3.4,2.3,3.1,2.5,2.6,,,86,https://www.glassdoor.com/Reviews/Tek-Experts-Reviews-E985594.htm,https://www.glassdoor.com/Benefits/Tek-Experts-Benefits-E985594.htm
"Jobberman (Third Party Recruitment)
3.9",Data Scientist,Lagos,nigeria,"Data Scientist
Jobberman (Third Party Recruitment)
Software & Data
Lagos Full Time
Banking, Finance & Insurance NGN Confidential
New Featured
2 weeks ago
Job Summary",,,51 to 200 Employees,Internet & Web Services,Information Technology,Unknown / Non-Applicable,3.8,86 %,N/A,,4.1,3.9,4.1,4.1,4.2,,,86,https://www.glassdoor.com/Reviews/Jobberman-Reviews-E841887.htm,
"Okra
4.7",Data Scientist (Machine Learning Engineer),Lagos,nigeria,"Who we are
Our mission is to digitize financial services. We are building the tools and services that will enable developers launch, optimize, & scale financial platforms and services. Our thesis is simply the fact that — financial innovation cannot exist without an Open Finance infrastructure. Essentially, the growth of the African Fintech industry is intrinsically tied to the success of an infrastructure like Okra.
Okra powers the tools that millions of people rely on to plan and manage their finances today. We are proudly working with hundreds of companies like Interswitch and D-local, and many of the largest financial institutions to make it easy for people to securely connect their accounts to the apps and services they choose. Okra's network covers over 100 banks and financial institutions across Nigeria, South Africa, Kenya, and Ghana.
We believe that by building Africa's Open Finance infrastructure, we enable developers to create better, fairer financial services for everyone. We are dedicated to removing the complexity around accessing financial information and payment infrastructure for everyone.",,,Unknown,,,,4.7,100 %,100 %,,5.0,3.8,4.8,4.8,4.1,,,86,https://www.glassdoor.com/Reviews/Okra-Reviews-E3432542.htm,
"GVA Partners
3.7",senior data scientist,Lagos,nigeria,"JOB DESCRIPTION
Our client requires the skills of a Senior data science specialist with hands-on experience in planning, developing and management of predictive and prescriptive analytics projects/solutions. Provides balanced analytical research by turning raw data into valuable insights that help to drive the Bank’s actions and strategies. Also the primary focus will be in applying Artificial Intelligence (AI) / Machine Learning (ML) / Data Mining (DM) techniques, doing Statistical Analysis (SA), and building high quality prediction models/systems integrated with our platforms to bring Business Value, discover the information hidden in vast amounts of data, make smarter decisions to deliver even better products, services, improve our customer relationship as well as optimize our business processes.
*
RESPONSIBILITIES:",,,Unknown,,,,3.7,100 %,N/A,,2.2,3.2,3.8,3.8,3.2,,,86,https://www.glassdoor.com/Reviews/GVA-PARTNERS-Reviews-E5223841.htm,
Licht Tech Limited,GIS Expert,Lagos,nigeria,"Vacancy vacancy
A consulting firm in Abuja is seeking to recruit an GIS Expert with ability to join a team on a data enumeration project across Nigeria.
REQUIREMENTS
1. The management of GIS-related functions
2. Ability to work within a multidisciplinary team of scientists and engineers
3. Organisational skills..
4. Minimum of 5-10 years experience.",,,,,,,,,,,,,,,,,,86,,
"WIZELINE
4.5",Data Engineer,Lagos,nigeria,"The Company
Wizeline is a global technology services provider that partners with Fortune 500 companies and startups to build high-quality digital products and platforms that accelerate time-to-market. Our diverse and adaptive teams provide the right combination of solutions and methodologies to deliver results while collaborating with our customers' teams to foster innovation through continuous learning.
Our People
At Wizeline, we understand that great people and teams build great software. All team members are empowered to take ownership, raise their hands, and develop innovative solutions to our customers' most challenging problems. To retain and develop top talent, we foster a working environment that celebrates creativity, encourages skill development, and allows for multidisciplinary collaboration.",,,1001 to 5000 Employees,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),4.5,92 %,96 %,4.4,4.5,4.5,4.6,4.2,4.5,,,86,https://www.glassdoor.com/Reviews/Wizeline-Reviews-E868055.htm,https://www.glassdoor.com/Benefits/Wizeline-Benefits-E868055.htm
Borderless HR,Full Stack Developer,Lagos,nigeria,"We are looking for a remote Full Stack Developer has high interest in working on Web3 and blockchain technology like Ethereum. Knowledge of IPFS is a major plus which would be responsible for the full software development life cycle, from conception to deployment.
As a Full Stack Developer, you should be comfortable around both front-end and back-end coding languages, development frameworks and third-party libraries. You should also be a team player with a knack for visual design and utility.
If you’re also familiar with Agile methodologies, we’d like to meet you.
Responsibilities
Work with development teams and product managers to ideate software solutions
Design client-side and server-side architecture",,,,,,,,,,,,,,,,,,86,,
Platform Lead Limited,Data Scientist,Ibadan,nigeria,"Data Scientist
Platform Lead Limited
Software & Data
Ibadan & Oyo State Full Time
Advertising, Media & Communications NGN 75,000 - 150,000
1 month ago
Job Summary",,,,,,,,,,,,,,,,,,86,,
"Chipper Cash
4.1",Senior Risk Data Analyst,Lagos,nigeria,"Chipper Cash is looking for a Senior Risk Data Analyst to join our Risk Analytics team as we continue our amazing growth trajectory.
Chipper Cash is Africa's modern mobile payments platform. We're helping friends, families and loved ones stay connected and securely send money across Africa with incredible ease and peace of mind. Our cross-border payments infrastructure also helps merchants and businesses in Africa accept payments on the internet with no friction. Over 3 million users have joined so far, growing very fast. We have raised a total of $152.2M from Jeff Bezos, Joe Montana, and some of the world's most reputable fintech Venture Capital firms to accelerate the growth of financial services within Africa.
We are a small team. You will be encouraged to engage in high-level technical decision making, and there will be a lot of room for growth for early hires as the company continues to expand.
The Chipper team is truly global on a daily basis, you might be interacting with team members in San Francisco, Los Angeles, New York City, London, Accra, Lagos, and Nairobi",,,201 to 500 Employees,Financial Transaction Processing,Financial Services,Unknown / Non-Applicable,4.1,78 %,N/A,4.0,4.0,3.9,4.0,3.7,4.0,,,86,https://www.glassdoor.com/Reviews/Chipper-Cash-Reviews-E3589405.htm,https://www.glassdoor.com/Benefits/Chipper-Cash-Benefits-E3589405.htm
