Company Name,Job Title,Location,Country,Job Description,Salary Estimate,Avg Salary,Size,Industry,Sector,Revenue,Rating,Recommend,CEO,Benefits,Opportunities,Comp Benefits,Culture,Management,WorkLife Balance,Pros,Cons,Num Listings,Reviews URL,Benefits URL
"Standard Bank Group
4.1",Junior Data Scientist,Johannesburg,south-africa,"Company Description Standard Bank Group is a leading Africa-focused financial services group, and an innovative player on the global stage, that offers a variety of career-enhancing opportunities – plus the chance to work alongside some of the sector’s most talented, motivated professionals. Our clients range from individuals, to businesses of all sizes, high net worth families and large multinational corporates and institutions. We’re passionate about creating growth in Africa. Bringing true, meaningful value to our clients and the communities we serve and creating a real sense of purpose for you.
Job Description

To assist with advanced analytics and deep insight by:
providing customer centric data analytics, including alternative methods of aggregating raw data (internal and external), which will ultimately influence the way in which we view and act on customer behaviour and customer health, i.e. identifying risks and opportunities; and",ZAR 32K (Employer est.),,10000+ Employees,Banking & Lending,Financial Services,Unknown / Non-Applicable,4.2,92 %,96 %,4.0,4.0,3.9,4.2,3.7,3.6,,,145,https://www.glassdoor.com/Reviews/Standard-Bank-Group-Reviews-E8036.htm,https://www.glassdoor.com/Benefits/Standard-Bank-Group-Benefits-E8036.htm
"Shoprite Group
3.4",Data Scientist (People),Brackenfell,south-africa,"Closing Date
2022/10/20

Reference Number
SHO221013-4

Job Title
Data Scientist (People)

Job Type
Permanent

Location - Country
South Africa


































"", ""datePosted"":""2022-10-13"", ""validThrough"":""2022-10-20"", ""identifier"":{ ""@type"":""PropertyValue"", ""name"":""Shoprite Group"", ""value"":""SHO221013-4"" }, ""hiringOrganization"":{ ""@type"":""Organization"", ""name"":""Shoprite Group"", ""sameAs"":""https://shoprite.erecruit.co/candidateapp/?source=GoogleJobs"" }, ""jobLocation"":{ ""@type"":""Place"", ""address"":{ ""@type"":""PostalAddress"", ""addressLocality"":""Brackenfell, Cape Town"", ""addressRegion"":"""", ""addressCountry"":"""" } } }",ZAR 32K (Employer est.),,201 to 500 Employees,Retail & Wholesale,$5 to $25 million (USD),,3.4,55 %,66 %,2.9,3.1,2.8,3.2,3.0,3.1,,,145,https://www.glassdoor.com/Reviews/Shoprite-Supermarkets-Reviews-E346610.htm,https://www.glassdoor.com/Benefits/Shoprite-Supermarkets-Benefits-E346610.htm
Job Masters (Pty) Ltd Staff Recruitment Co,Jr. Data Scientist,Centurion,south-africa,"IT Junior Data Scientist – AA/EE – JHB North
Contribute to the design, analysis, development and delivery of sophisticated large scale cloud data processing, data analysis, industry leading data science and machine learning solutions and products in telematics and 4IR engineering environment
Minimum requirements:
BEng or BSc (Computer Science)
Working experience with the following : Python, Jupyter Notebooks (or related), SciKit Learn (or related) ML library use
SQL and Databases
Minimum 6 months hands-on analysis / ML / Data science experience with technologies listed above
Software programming in technologies listed above",ZAR 32K (Employer est.),,Unknown,,,,,,,,,,,,,,,145,,
"MultiChoice Group
3.7",Data Scientist,South Africa,south-africa,"Designation:
Data Scientist
Category:
General Entertainment & Connected Video
Level:
Senior
Closing date:
21 Oct 2022
Position Type:
Permanent",ZAR 32K (Employer est.),,5001 to 10000 Employees,Broadcast Media,Media & Communication,Unknown / Non-Applicable,3.7,80 %,80 %,5.0,3.4,3.7,3.8,3.1,3.3,,,145,https://www.glassdoor.com/Reviews/MultiChoice-Group-Reviews-E445554.htm,https://www.glassdoor.com/Benefits/MultiChoice-Group-Benefits-E445554.htm
"Accenture
4.1",REPL Graduate Programme - Grad Data Scientist,Cape Town,south-africa,"Our Data Science Practice is growing and we’re looking for Graduates passionate about all things data to join us from February 2023! Our Data Science Team is part of the delivery consulting team, delivering a data science consulting offering across a wide portfolio of clients and services. As such, we are working on a broad spectrum of activities, ranging from algorithms development, data analysis, and software development support.

Throughout the Graduate Programme, you’ll be working side-by-side with clients worldwide to provide bespoke data science consultations across all areas of retail in Supply Chain, Workforce Management, and Customer Experience. You’ll have the opportunity to rotate throughout the main areas of the data program on data analysis, statistical hypothesis testing, machine learning development, and data engineering.

From day 1, you’ll be part of our supportive graduate community which offers a combination of training and development opportunities as well as graduate days and socials. Throughout the graduate consultant programme, we’ll review your progress, with regular salary increments to reflect your development and depth of experience.",ZAR 32K (Employer est.),,10000+ Employees,Business Consulting,Management & Consulting,$10+ billion (USD),4.1,82 %,90 %,4.2,4.1,3.8,4.1,3.8,3.7,,,145,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm,https://www.glassdoor.com/Benefits/Accenture-Benefits-E4138.htm
Latitude Resource,Junior Data Scientist,Stellenbosch,south-africa,"An established niche agricultural consultancy, analytics and software development company based in Stellenbosch is seeking to employ a Junior Data Scientist on permanent basis.
The successful candidate must have strong data analysis skills as their day-to-day responsibilities will be to build and enhance data models, support consultants and clients with data related analytical tasks, data capturing and cleansing, extracting insights from data, supporting the tech team with script coding and enhancements, plus ad-hoc project management.
Must have requirements
Diploma/Degree in data science, data engineering, computer science, agriculture or related.
Advanced Microsoft Excel data modelling
VBA",ZAR 32K (Employer est.),,1 to 50 Employees,"Energy, Mining & Utilities",Less than $1 million (USD),,,,,,,,,,,,,145,,
"RELX
3.9",Data Scientist I,Durban,south-africa,"BASIC FUNCTIONS: This entry-level position performs basic software development assignments within a specific software functional area or product line.

QUALIFICATIONS:
BS Engineering/Computer Science or equivalent experience required

TECHNICAL SKILLS:
Basic knowledge of software development methodologies (e.g., Agile, Waterfall).
Basic knowledge of data manipulation languages.
Basic understanding of data modeling principles.
Knowledge of data storage subsystems.

ACCOUNTABILITIES:",ZAR 32K (Employer est.),,10000+ Employees,Information Technology Support Services,Information Technology,$10+ billion (USD),3.9,81 %,91 %,3.6,3.5,3.6,3.9,3.4,4.0,,,145,https://www.glassdoor.com/Reviews/RELX-Reviews-E1023378.htm,https://www.glassdoor.com/Benefits/RELX-Benefits-E1023378.htm
"Momentum Metropolitan Holdings
4.2",Statistical Data Scientist,Centurion,south-africa,"Introduction
Through our client-facing brands Metropolitan and Momentum, with Multiply (wellness and rewards programme), and our other specialist brands, including Guardrisk and Eris Property Group, the group enables business and people from all walks of life to achieve their financial goals and life aspirations.
We help people grow their savings, protect what matters to them and invest for the future. We help companies and organisations care for and reward their employees and members. Through our own network of advisers or via independent brokers and utilising new platforms Momentum Metropolitan provides practical financial solutions for people, communities and businesses. Visit us at www.momentummetropolitan.co.za


Role Purpose",ZAR 32K (Employer est.),,5001 to 10000 Employees,Financial Services,Unknown / Non-Applicable,,4.2,92 %,N/A,,3.9,3.4,4.2,3.6,3.6,,,145,https://www.glassdoor.com/Reviews/Momentum-Metropolitan-Holdings-Reviews-E484281.htm,
"The Foschini Group
3.7",Data Scientist,Parow,south-africa,"Job ID: 13055
Position Type: Full-Time
Job Function: Information Technology
Workplace Type: Head Office
Division: TFG Infotec
Province: Western Cape
Location: Cape Town North
Suburb: Parow (Parow)

Position Description:",ZAR 32K (Employer est.),,5001 to 10000 Employees,"Department, Clothing & Shoe Stores",Retail & Wholesale,$1 to $5 billion (USD),3.7,74 %,89 %,4.0,3.4,3.1,3.5,3.1,3.0,,,145,https://www.glassdoor.com/Reviews/The-Foschini-Group-Reviews-E40154.htm,https://www.glassdoor.com/Benefits/The-Foschini-Group-Benefits-E40154.htm
Talent Tree,Data Scientist,Cape Town,south-africa,"Our Client, one of the most prominent groups of companies in SA is looking for a Data Scientist to solve real business problems and see solutions through to the end by applying state-of-the-art machine learning operations principles.
The primary focus will be to build and maintain data pipelines, machine learning solutions and produce bespoke analytics reports and dashboards.
Requirements:
Ph.D./Masters in a quantitative field: Statistics, Mathematics, Computer Science, Engineering, Operations Research. This is an absolute requirement.
3+ Years of experience in predictive modeling and at least one of the fields of mathematical programming, combinational optimization, or operations research",ZAR 32K (Employer est.),,Unknown,,,,,,,,,,,,,,,145,,
"dLocal
3.7",Data Scientist (Remote),Cape Town,south-africa,"Why you should join dLocal

dLocal enables the biggest companies in the world to collect payments in 37 countries in emerging markets. Global brands rely on us to increase conversion rates and simplify payments expansion effortlessly. As both a payments processor and a merchant of record where we operate, we make it possible for our merchants to make inroads into the world’s fastest-growing, emerging markets.

By joining us you will be a part of an amazing global team who makes it all happen, in a flexible, remote-first dynamic culture with travel, health and learning benefits, among others. Being a part of dLocal means working with 600+ teammates from 25+ different nationalities and developing an international career that impacts millions of people’s daily lives. We are builders, we never run from a challenge, we are customer centric, and if this sounds like you, we know you will thrive in our team.

Data Scientist’s role is to solve business problems with machine learning and statistics solutions.",ZAR 32K (Employer est.),,51 to 200 Employees,,,,3.7,71 %,N/A,,3.7,3.3,3.5,3.2,3.5,,,145,https://www.glassdoor.com/Reviews/Dlocal-Reviews-E2114999.htm,
"The Foschini Group
3.7",Data Scientist : Credit Risk,Parow,south-africa,"Job ID: 13970
Position Type: Full-Time
Job Function: Financial Services / Analytics
Workplace Type:
Division: TFG Financial Services
Province: Western Cape
Location: Cape Town North
Suburb: Parow (Parow)

Position Description:",ZAR 32K (Employer est.),,5001 to 10000 Employees,"Department, Clothing & Shoe Stores",Retail & Wholesale,$1 to $5 billion (USD),3.7,74 %,89 %,4.0,3.4,3.1,3.5,3.1,3.0,,,145,https://www.glassdoor.com/Reviews/The-Foschini-Group-Reviews-E40154.htm,https://www.glassdoor.com/Benefits/The-Foschini-Group-Benefits-E40154.htm
"Flash
2.6",Data Scientist,Cape Town,south-africa,"In this role, you should be highly analytical with a knack for analysis, math’s and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for machine-learning and research.
Your goal will be to help our company analyze trends and assist in the implementation of our Data Science strategy.
Responsibilities:
Identifying and integrating new datasets that can be leveraged to improve the detection processes and strengthen the overall business functions.
Work closely with the technical team to strategize and execute the development of data orientated products
Enhance data collection procedures to include information that is relevant for building analytic systems
Processing, cleansing, and verifying the integrity of data used for analysis
Doing ad-hoc analysis and presenting results in a clear manner
Analyze data for trends and patterns, and interpret data
Develop machine learning models for a variety of applications, including automation, personalization, optimization, forecasting, recommender systems and geo-spatial analytics
Collaborate with software developers and machine learning engineers to optimize and operationalize your models",ZAR 32K (Employer est.),,201 to 500 Employees,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,2.6,33 %,36 %,,2.9,3.1,2.4,2.5,2.6,,,145,https://www.glassdoor.com/Reviews/Circ-Reviews-E2476631.htm,
"Shoprite Group
3.4",Senior Data Scientist (People),Brackenfell,south-africa,"Closing Date
2022/10/20

Reference Number
SHO221013-3

Job Title
Senior Data Scientist (People)

Job Type
Permanent

Location - Country
South Africa





































"", ""datePosted"":""2022-10-13"", ""validThrough"":""2022-10-20"", ""identifier"":{ ""@type"":""PropertyValue"", ""name"":""Shoprite Group"", ""value"":""SHO221013-3"" }, ""hiringOrganization"":{ ""@type"":""Organization"", ""name"":""Shoprite Group"", ""sameAs"":""https://shoprite.erecruit.co/candidateapp/?source=GoogleJobs"" }, ""jobLocation"":{ ""@type"":""Place"", ""address"":{ ""@type"":""PostalAddress"", ""addressLocality"":""Brackenfell, Cape Town"", ""addressRegion"":"""", ""addressCountry"":"""" } } }",ZAR 32K (Employer est.),,201 to 500 Employees,Retail & Wholesale,$5 to $25 million (USD),,3.4,55 %,66 %,2.9,3.1,2.8,3.2,3.0,3.1,,,145,https://www.glassdoor.com/Reviews/Shoprite-Supermarkets-Reviews-E346610.htm,https://www.glassdoor.com/Benefits/Shoprite-Supermarkets-Benefits-E346610.htm
"LexisNexis
4.0",Data Scientist I,Durban,south-africa,"BASIC FUNCTIONS: This entry-level position performs basic software development assignments within a specific software functional area or product line.

QUALIFICATIONS:
BS Engineering/Computer Science or equivalent experience required

TECHNICAL SKILLS:
Basic knowledge of software development methodologies (e.g., Agile, Waterfall).
Basic knowledge of data manipulation languages.
Basic understanding of data modeling principles.
Knowledge of data storage subsystems.

ACCOUNTABILITIES:",ZAR 32K (Employer est.),,5001 to 10000 Employees,Business Consulting,Management & Consulting,$1 to $5 billion (USD),3.9,78 %,86 %,3.8,3.7,3.7,4.0,3.7,4.2,,,145,https://www.glassdoor.com/Reviews/LexisNexis-Legal-and-Professional-Reviews-E4146.htm,https://www.glassdoor.com/Benefits/LexisNexis-Legal-and-Professional-Benefits-E4146.htm
Lite Communications,Senior Data Engineer,Johannesburg,south-africa,"We are looking for an experienced data engineer to join our team. You will use various methods to transform raw data into useful data systems. For example, you’ll create algorithms and conduct statistical analysis. Overall, you’ll strive for efficiency by aligning data systems with business goals.
To succeed in this data engineering position, you should have strong analytical skills and the ability to combine data from different sources. Data engineer skills also include familiarity with several programming languages and knowledge of learning
Analyze and organize raw data
Build data systems and pipelines
Evaluate business needs and objectives
Interpret trends and patterns",ZAR 32K (Employer est.),,,,,,,,,,,,,,,,,145,,
