Company Name,Job Title,Location,Country,Job Description,Salary Estimate,Avg Salary,Size,Industry,Sector,Revenue,Rating,Recommend,CEO,Benefits,Opportunities,Comp Benefits,Culture,Management,WorkLife Balance,Pros,Cons,Num Listings,Reviews URL,Benefits URL
Applied Materials,Data Scientist,,south-korea,"Are you inspired by how data analytics can be used to diagnose, improve and add value to hardware and process?
Are you a natural team player who loves to solve complex problems?
If yes, then you’ll fit right in here at Applied Materials. We are a fast-growing team of doers who are bringing domain knowledge-aided data analytics to our semiconductor equipment.
We are working passionately to transform our customers’ experiences in ground-breaking ways new to this industry. Recently we released our vision of AI empowered platform, Applied AIX TM.
You will be part of exciting journey with us that is rewarding, fulfilling and fun!
Position Overview
Master's Degree
7 - 10 Years
No",,,,,,,,,,,,,,,,,,115,,
현대자동차그룹,[IT] Data Scientist - 자연어처리[매니저],,south-korea,"회사
현대자동차

유형
경력

고용형태
정규직

직급
매니저

부문
IT",,,,,,,,,,,,,,,,,,115,,
Hewlett Packard Enterprise,Hewlett Packard Labs - Silicon Photonics Research Scientist,,south-korea,"Hewlett Packard Labs - Silicon Photonics Research Scientist

Job Description:

Hewlett Packard Enterprise is the global edge-to-cloud company advancing the way people live and work. We help companies connect, protect, analyze, and act on their data and applications wherever they live, from edge to cloud, so they can turn insights into outcomes at the speed required to thrive in today’s complex world. Our culture thrives on finding new and better ways to accelerate what’s next. We know diverse backgrounds are valued and succeed here. We have the flexibility to manage our work and personal needs. We make bold moves, together, and are a force for good. If you are looking to stretch and grow your career our culture will embrace you. Open up opportunities with HPE.
At HPC, MCS and Hewlett Packard Labs, we focus on cutting edge, high-performance, high-scale customer solutions serving a wide range of industries and end-users. Our organization includes High Performance Computing (HPC), Artificial Intelligence (AI), Mission Critical Solutions (MCS), Edgeline, Moonshot and Hewlett Packard Labs.
Engineering
Specialist",,,,,,,,,,,,,,,,,,115,,
No deviation Pte Ltd,Data Scientist (KOREA),,south-korea,"Process Data Scientist plays an important role within the process development team and the company by supporting process development and industrialization of new products, process optimization, investigations and problem solving, building predictive models, etc.

The right candidate will have a passion for discovering solutions hidden in data and working with stakeholders to develop, improve and industrialize product and processes.

Key Accountabilities:
Partner with internal stakeholders from different teams to identify opportunity for applying data science to solve complex business challenges such as yield improvement, process robustness, proactive identification of potential issues.
Support the team in design of experiments (DOE) using QbD approach, analyze and interpret the results and provide recommendations.
Extract, transform and analyze data from multiple data sources ensuring data quality and integrity is maintained from source to the final output.
Develop and implement algorithms and mathematical methods and models.
Recommend and lead implementation of Process Analytical Technologies to enable data capture for use in quantitative analysis and improved level of process understanding.
Provide clear and concise oral and written communication.
Promote a strong quality mindset with a strong focus on data integrity, validation and data governance.


MS or PhD in Process or Industrial Engineering
Experience in statistical analysis, data science, process modeling or a similar technical field
Minimum 1- 3 years of relevant industrial experience
Experience with MVDA, DOE, SPC and statistics
Strong experience in delivering insights through statistical data analysis, data modeling and data visualization
Experience using tools such as SAS JMP, Python, Matlab, KNIME, and SIMCA
Experience with developing business requirements, use cases and user stories in a data analytics context
Exposure to best practices in data management and data governance practices
Ability to deliver projects with complex requirements and a strong customer focus
Ability to influence and communicate with a diverse group of stakeholders from multiple levels of management
Ability to succeed in a team-oriented environment under very dynamic conditions
Knowledge of Industrial Internet of Things
Able to converse in Korean will be an advantage
Location Korea
Perm

R2094147 EA License No : 19C9587",,,,,,,,,,,,,,,,,,115,,
Ever Better Recruitment (EBR),Customer Facing Data Scientist,,south-korea,"Our client is seeking a passionate individual with excellent communication skills and a deep knowledge of Machine Learning.
To be successful you will need to be able to showcase your strong communication skills. You will be exposed to the actual data in various fields and coordinate with the business team to plan and implement the user’s training in order to promote the use of a product after the introduction.
Major experience / Skill
Experience of data analysis at the business site for more than 3 years
The research experience more than PhD and two or more years of business experience
Practical experience in the production and realization of prediction models (especially machine learning models)

jobref: MSMV1712-002A",,,,,,,,,,,,,,,,,,115,,
씨제이올리브네트웍스,[CJ AI Center/경력] Marketing Data Scientist,,south-korea,"[CJ AI Center/경력] Marketing Data Scientist
인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>빅데이터|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>데이터분석|인터넷·IT·통신·모바일·게임>ERP·시스템분석·설계>빅데이터|인터넷·IT·통신·모바일·게임>ERP·시스템분석·설계>데이터분석",,,,,,,,,,,,,,,,,,115,,
야놀자,[DIA유닛] Data Scientist,,south-korea,"[Data Scientist 포지션 소개]
데이터가 주도하는 야놀자 테크놀러지는 모든 사람들이 여가시장에서 마음 편히 놀 수 있는 문화를 만드는 것을 비전으로 삼고 있습니다. 숙박을 넘어서 레저, 문화 시설에 이르는 사용자들에게 다양하고 복잡하면서도 개인화 된 경험을 제공하기 위해서는, 방대한 데이터로부터의 초고도화 된 분석이 핵심 기술력으로 필요합니다.Data Scientist 포지션은, 야놀자가 가지고 있는 방대하고도 복잡한 데이터들로부터, 데이터 분석, 실험 설계, 측정, 고도화된 기계학습 모델링을 통하여서, 다양한 야놀자 사용자들에게 최고의 맞춤 경험을 제공합니다. 시스템 플랫폼 팀뿐만이 아니라, 데이터 엔지니어링, 오퍼레이션, 세일즈 등 다양한 팀들과의 파트너십을 통하여, 복잡하고 종합적인 문제들을 발견하고 풀어서, 모든 여가 활동들을 초연결하고, 야놀자의 비전에 한 걸음 더 가까이 나가는데 핵심적인 역할을 수행하게 됩니다.데이터 사이언스 분야의 전문성을 살려서, 검색, 추천 등의 분야를 더욱 고도화 시키기 위해서, 데이터 모델링을 위한 아키텍쳐를 디자인하고, 실험을 설계하고, 파이프라인을 구현하는데, 핵심적인 역할을 하게 됩니다. 더 나아가, 사용자의 피드백을 자동적으로 분석하고, 활용할 수 있는, 분석Tool 제안 뿐만 아니라 구현하는 역할을 하게 됩니다.
[담당업무]
• 야놀자 및 야놀자멤버사의 방대하고 복잡한 데이터로부터 새로운 가치와 성장을 창출합니다.• 문제를 해결하기 위해, 데이터 수집, 요구사항 정의, 데이터 처리, 분석, 모델링, 적용 과정에서 분석하고 계획을 수립합니다.• 야놀자 내부의 데이터 형식, 인프라스트럭쳐등을 활용하여, 분석, 모델링을 할 수 있는, 파이프라인의 프로토타입을 정립합니다.• 다양한 팀과 협업을 통해, 다양한 야놀자 비즈니스 (예, 다이나믹 프라이싱, 검색, 인벤토리 관리 등) 영역(직군)의 이해관계자에게, 정량적인 분석을 통하여 최적의 결정을 내릴 수 있도록 도와줍니다.• 야놀자의 사용자가 직접 경험할 수 있는 제품에 맞추어 분석, 예측, 최적화 모델을 연구하고 개발합니다.",,,,,,,,,,,,,,,,,,115,,
회사명,중견기업 Data Scientist,,south-korea,"중견기업 Data Scientist
회사소개
- 코스닥 상장 중견기업 / 700명 이상 / 7000억 이상 매출
- 여의도 소재
업무내용
- 미디어 및 전자상거래 등 대고객 서비스의 데이터 분석 및 인사이트 도출
- 영업, 물류, 스마트팩토리 등의 기업내 데이터 분석 및 비즈니스 인사이트 도출
자격요건
- 통계학/수학과, 데이터사이언스학과, 산업공학과, 컴퓨터 공학과 전공자 필수 (학교는 4년대졸이고 크게 무관)
- 통계학 및 기계학습에 대한 이해가 있는 분
- 데이터 분석 업무를 위한 프로그래밍 언어 Python 및 R, SQL 등 사용 가능한 분
- Hive, Impala, Spark 등 빅데이터 분석 플랫폼을 활용할 수 있는 분
- 데이터 기반으로 비즈니스 혁신을 이루는데 기여하고 싶은 분
- 개발 및 현업 부서와 커뮤니케이션을 통해 문제를 해결하는 데 관심있는 분
- 나이제한을 두면 안되지만 이번 포지션은 대리 과장급으로서 30대 중반 크게 선호됩니다.
- 연봉 7000만원 이하",,,,,,,,,,,,,,,,,,115,,
노벨리스코리아,[데이터 사이언티스트] Data Scientist,,south-korea,"직무 개요
노벨리스 생산 공정의 효율적 운영을 위하여 파이썬 등을 활용하여 생산 조건 예측 또는 대응 아이템 발굴데이터 분석을 통한 상황 시퀀스 또는 알고리즘 연구데이터 프로젝트에 참여하여 생산팀과의 협업을 통해 기술적 문제를 정의하고 테스트 할 가설 분석[Job Responsibility]Predict or response items for efficient operation of the Novelis production processResponsible for applying advanced analytic tools to explain operating behaviors and build algorithmsCollaboration with Operation teams, define technical problem statement, determine hypothesis and test
책임 및 자격
인터넷·IT·통신·모바일·게임>응용프로그래머>Python|인터넷·IT·통신·모바일·게임>전산·IT기술지원>IT기술지원",,,,,,,,,,,,,,,,,,115,,
Hewlett Packard Enterprise,Big Data and AI Presales consultant,,south-korea,"Big Data and AI Presales consultant

This role has been designated as ‘Edge’, which means you will primarily work outside of an HPE office.
Job Description:

Hewlett Packard Enterprise is the global edge-to-cloud company advancing the way people live and work. We help companies connect, protect, analyze, and act on their data and applications wherever they live, from edge to cloud, so they can turn insights into outcomes at the speed required to thrive in today’s complex world. Our culture thrives on finding new and better ways to accelerate what’s next. We know diverse backgrounds are valued and succeed here. We have the flexibility to manage our work and personal needs. We make bold moves, together, and are a force for good. If you are looking to stretch and grow your career our culture will embrace you. Open up opportunities with HPE.

Sales
Expert",,,,,,,,,,,,,,,,,,115,,
