Company Name,Job Title,Location,Country,Job Description,Salary Estimate,Avg Salary,Size,Industry,Sector,Revenue,Rating,Recommend,CEO,Benefits,Opportunities,Comp Benefits,Culture,Management,WorkLife Balance,Pros,Cons,Num Listings,Reviews URL,Benefits URL
"Sabre
4.0",Sr Data Analytics,Montevideo,uruguay,"Job Family:
Business Operations / Data
Sabre Corporation is a leading technology provider to the global travel and tourism industry. Headquartered in Southlake, Texas, USA, Sabre operates offices in approximately 60 countries around the world. At Sabre, we make travel happen. Positioned at the center of the business of travel, our platform connects people with experiences that matter in their lives. Today, Sabre is creating a new marketplace for personalized travel. It is our people who develop and deliver powerful solutions that meet the current and future needs or our airline, hotel and travel agency customers. Join our journey!
Sabre Corporation is a leading technology provider to the global travel and tourism industry. Headquartered in Southlake, Texas, USA, Sabre operates offices in approximately 60 countries around the world. At Sabre, we make travel happen. Positioned at the center of the business of travel, our platform connects people with experiences that matter in their lives. Today, Sabre is creating a new marketplace for personalized travel. It is our people who develop and deliver powerful solutions that meet the current and future needs or our airline, hotel and travel agency customers. Join our journey!


#LI-Hybrid#LI-AP1",,,5001 to 10000 Employees,Enterprise Software & Network Solutions,Information Technology,$1 to $5 billion (USD),4.0,77 %,85 %,3.9,3.6,3.7,3.9,3.5,4.0,,,98,https://www.glassdoor.com/Reviews/Sabre-Reviews-E6269.htm,https://www.glassdoor.com/Benefits/Sabre-Benefits-E6269.htm
"Roche
4.3",GxP Quality Specialist,Montevideo,uruguay,"The Position
Mission
The GxP Quality Specialist will collaborate with Affiliate and Global colleagues to proactively enable
Affiliate business while maintaining a healthy Affiliate QMS (GCP, GVP) & PQS (GMP, GDP, GLP)that protects patient safety, product quality and ensures reliability of Roche’s data , in order to maintain the company’s license to operate while driving continuous improvement.
Supports the maintenance of the Affiliate Quality Management System (QMS) and collaborates with the Local Quality Responsible in order to guarantee that local Medical Compliance related activities are delivered in accordance with the applicable Roche standards, global and local quality strategy,- and regulatory requirements.
Provides support to the Uruguay, Bolivia and Paraguay operations, ensuring that the relevant operations (warehousing, delivering, QC testing, etc) comply with Roche’s internal standards and local regulatory requirements.",,,5001 to 10000 Employees,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),4.3,88 %,96 %,4.5,3.9,4.1,4.3,3.7,4.1,,,98,https://www.glassdoor.com/Reviews/Roche-Reviews-E3480.htm,https://www.glassdoor.com/Benefits/Roche-Benefits-E3480.htm
"EPAM Systems
4.3",Data Resource Manager,Uruguay,uruguay,"The Senior Data Engineer is responsible for overseeing junior data engineering activities and aiding in building the business’ data collection systems and processing pipelines. The role of the Senior Data Engineer is responsible for building and maintaining optimized and highly available data pipelines that facilitate deeper analysis and reporting by the Data and Analytics department. You will build data processing frameworks that handle the business’s growing database. And work alongside with senior data science leadership as well as other Data and Analytics teams in leveraging data with reporting and scientific tools.
OUR VALUE, OUR PEOPLE

We aim to deliver truly transformative solutions around the world, with top-notch technologies, in high-performance professional teams. But none of these would be possible without our people, and that’s where you come in.

As an EPAMer you will always be expanding your knowledge, facing, and addressing the biggest challenges, and becoming the best version of yourself, both personally and professionally. We care about your development and to support your growth in the company, there are many career paths you can follow. Some of the positions you can grow into are or .",,,10000+ Employees,Information Technology Support Services,Information Technology,$1 to $5 billion (USD),4.1,85 %,92 %,4.1,4.0,3.5,4.1,3.9,4.0,,,98,https://www.glassdoor.com/Reviews/EPAM-Systems-Reviews-E15544.htm,https://www.glassdoor.com/Benefits/EPAM-Systems-Benefits-E15544.htm
"RELX
3.9",Data Scientist II,Río Negro,uruguay,"O profissional contratado para essa posição irá trabalhar com manipulação de dados e análise/modelagem estatística para necessidades de avaliações de risco de crédito e fraude aplicados a identidade digital. Aceitamos candidatos de diferentes senioridades para preencher a vaga que pode variar entre junior a um profissional sênior, dependendo da formação (graduação), tipo e tempo de experiência e complexidade de atuação do candidato em mineração de dados, métodos técnicos múltiplos de modelagem/pontuação, liderança/direção tática e supervisão do trabalho da equipe do projeto etc.
Job Description:
This position exists to conduct both data handling, combine data reported by a consumer in a proposal (like email, name, address) and information’s collected by transaction The level will be further refined ranging from entry level of an Associate to senior depending on the university degrees, seniority, experience, and complexity of the applicant in data mining, statistical methods, multiple modeling/scoring techniques, lead/provide tactical direction and oversight of project team's work, etc.
LexisNexis Risk Solutions is the trusted data analytics provider for organizations seeking actionable insights to manage risks and improve results. Our Risk Business Analytics family contains over 100 data scientists in fast-paced environment. We are innovators, passionate about challenging the status quo, and improving outcomes.",,,10000+ Employees,Information Technology Support Services,Information Technology,$10+ billion (USD),3.9,81 %,91 %,3.6,3.5,3.6,3.9,3.4,4.0,,,98,https://www.glassdoor.com/Reviews/RELX-Reviews-E1023378.htm,https://www.glassdoor.com/Benefits/RELX-Benefits-E1023378.htm
"Búsquedas IT
5.0",DATA ANALYST (TABLEAU) - REMOTO PARA USA,Montevideo,uruguay,"ABIERTO
Confidencial REF: #1311

Headquartered in midtown Manhattan and Washington DC, we are surrounded by startups and technological innovation. The entrepreneurial atmosphere drives us to challenge ourselves personally and mentally. Our projects are breaking new ground using the latest technologies in machine learning and AI. Data Analytics is evolving rapidly and we’re a group of passionate data nerds excited to work with other talented data practitioners.
Description
We are looking for a Senior Data Analyst to join a talented multi-disciplinary team. The ideal candidate will have a passion for data analytics and quality. The ideal candidate will be well versed in SQL and modern data technologies, understand how to drive the extraction of business requirements for data visualizations & reporting, assess data quality, and have great communications skills. This candidate will work on analyzing and extracting information from source data, help interpret and visualize data, define data quality needs, and help make sure they are met.",,,1 to 50 Employees,Research & Development,Management & Consulting,Unknown / Non-Applicable,5.0,100 %,N/A,,3.0,3.0,3.0,3.0,3.0,,,98,,
"FullStack Labs
4.7",Data Engineer - Remote - Latin America,Uruguay,uruguay,"FullStack Labs is the fastest-growing software consultancy in the Americas. We help organizations like Uber, GoDaddy, MGM, Siemens, Stanford University, and the State of California, build distributed software development teams, and deliver transformational digital solutions. As an employee-first company, we focus on hiring the most talented software designers and developers in the western hemisphere, by creating a positive, respectful, and supportive work environment where they can achieve their greatest potential.

We’re most proud of:
Offering life-changing career opportunities to talented software professionals across the Americas.
Building highly-skilled software development teams for hundreds of the world’s greatest companies.
Having delivered hundreds of successful custom software solutions, which have positively impacted the lives and careers of millions of users.
Our 4.7-star rating on GlassDoor.",,,201 to 500 Employees,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.7,94 %,93 %,4.5,4.4,4.1,4.5,4.4,4.3,,,98,https://www.glassdoor.com/Reviews/Fullstack-Labs-Reviews-E1296491.htm,https://www.glassdoor.com/Benefits/Fullstack-Labs-Benefits-E1296491.htm
"Bluelight Consulting
4.9","Data Engineer - Remote, Full-Time",Montevideo,uruguay,"Bluelight Consulting is a leading software consultancy seeking a skilled Data Engineer to join our fast-growing team. Our mission is to design and develop technology that improves the lives of its users while providing an exceptionally high level of service to our clients.

We are looking for Data Engineer who wants to be part of a fast-paced, dynamic environment, where everyone’s opinions and efforts are valued. We hire outstanding individuals and give them the opportunity to thrive in a collaborative atmosphere that values learning, growth, and hard work.

Our team is distributed across the United State and Central / South America. If you have the desire to be a part of an exciting, challenging, and rapidly-growing software development consultancy, and if you are passionate about software development and creating the finest apps in the marketplace, please apply below.
What We Are Looking For",,,1 to 50 Employees,Information Technology Support Services,Information Technology,$1 to $5 million (USD),4.9,100 %,100 %,,4.8,4.7,4.9,4.8,5.0,,,98,https://www.glassdoor.com/Reviews/Bluelight-Consulting-Reviews-E5389158.htm,
"BairesDev
4.2",Business & Data Science Analyst - REMOTE WORK,Montevideo,uruguay,"Who We are
BairesDev is proud to be the fastest-growing company in America. With people in five continents and world-class clients, we are only as strong as the multicultural teams at the heart of our business. To consistently deliver the highest quality solutions to our clients, we only hire the Top 1% of the best talents and nurture their professional growth on exciting projects.
Business & Data Science Analyst at BairesDev
We are looking for a Business & Data Science Analyst to join our team to propose changes and improvements in the main business processes.This is an excellent opportunity to be one of the key members of our Engineering team and position yourself for unique career growth opportunities.



- Flexible hours - make your schedule.",,,1001 to 5000 Employees,Information Technology Support Services,Information Technology,$25 to $100 million (USD),4.2,86 %,90 %,4.4,4.0,3.7,4.1,4.0,4.3,,,98,https://www.glassdoor.com/Reviews/BairesDev-Reviews-E864485.htm,https://www.glassdoor.com/Benefits/BairesDev-Benefits-E864485.htm
"Trafilea
3.8",Process Analyst (she/he/they),Uruguay,uruguay,"About Trafilea
Trafilea is a global company that builds communities and transformative brands. We own the brands and take care of the entire customer journey, to deliver wow-worthy experiences that influence and empower millions of people globally.

Our culture is fast-paced and dynamic. We are data-driven enthusiasts, passionate about marketing, exponential technologies, and innovation.
We have over 300 hundred employees working around the world, connected by the same purpose and core values. Our support for this new way of working has led to being featured in Forbes and FlexJobs as one of the Top 25 Companies for Remote Workers.",,,51 to 200 Employees,Advertising & Public Relations,Media & Communication,$25 to $100 million (USD),3.9,77 %,75 %,4.0,3.9,4.1,3.9,3.7,3.4,,,98,https://www.glassdoor.com/Reviews/Trafilea-Reviews-E1750787.htm,https://www.glassdoor.com/Benefits/Trafilea-Benefits-E1750787.htm
"Easy2Parts GmbH
5.0",Initiativbewerbung (m/w/d),Durazno,uruguay,"Initiativbewerbung (m/w/d)
Wir revolutionieren die Zusammenarbeit zwischen Einkäufern und Fertigungsunternehmen und brauchen dich zur Unterstützung als Full-Stack Developer zum nächstmöglichen Eintrittsdatum!
Wir verwenden Build- und Entwicklertools (Visual Studio, GitLab etc.), Cloud-Dienste (Azure) und arbeiten mit Programmiersprachen wie C#, Python und Datenbanken wie MS-SQL.
Bei erfolgreicher Zusammenarbeit besteht die Möglichkeit einer Unternehmensbeteiligung.
Deine Aufgaben
Bei Easy2Parts entwickelst Du spannende Machine Learning Projekte in den Bereichen Computer Vision, Natural Language Processing und Predictive Analytics",,,1 to 50 Employees,Computer Hardware Development,Information Technology,$1 to $5 million (USD),5.0,100 %,N/A,,5.0,5.0,5.0,5.0,4.7,,,98,,
